1	0	0	19	5	148	349	我是菜鸟	FZ-0_F3-0	0	1	哥只是个传说	2024-06-08 20:10:06
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:10:09
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:10:12
1	0	0	13	F004	34	46	三好	金币	2000	1	购买商铺物品	2024-06-08 20:10:21
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:10:21
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:10:27
1	0	0	13	F004	28	40	三好	金币	2000	1	购买商铺物品	2024-06-08 20:10:36
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:10:39
1	0	0	13	Q004	8	12	HEiyAa	金币	1000	1	购买商铺物品	2024-06-08 20:10:42
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:10:42
1	0	0	23	0	0	0	autosave	金币	2000000	1	0	2024-06-08 20:10:42
1	0	0	111	hl002	83	112	青苹果	元宝	1	-	Map	2024-06-08 20:10:51
1	0	0	111	hl002	83	112	青苹果	元宝	1	-	Map	2024-06-08 20:10:51
1	0	0	13	F004	34	40	三好	金币	2000	1	购买商铺物品	2024-06-08 20:10:51
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:10:51
1	0	0	111	hl002	81	114	青苹果	元宝	1	-	Map	2024-06-08 20:10:51
1	0	0	111	hl002	77	118	青苹果	元宝	1	-	Map	2024-06-08 20:10:51
1	0	0	111	hl002	77	120	青苹果	元宝	1	-	Map	2024-06-08 20:10:54
1	0	0	111	hl002	79	122	青苹果	元宝	1	-	Map	2024-06-08 20:10:57
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:10:57
1	0	0	111	hl002	81	122	青苹果	元宝	1	-	Map	2024-06-08 20:10:57
1	0	0	111	hl002	81	118	青苹果	元宝	1	-	Map	2024-06-08 20:10:57
1	0	0	111	hl002	79	116	青苹果	元宝	1	-	Map	2024-06-08 20:10:57
1	0	0	111	hl002	79	112	青苹果	元宝	1	-	Map	2024-06-08 20:11:00
1	0	0	111	hl002	81	112	青苹果	元宝	1	-	Map	2024-06-08 20:11:00
1	0	0	111	hl002	77	112	青苹果	元宝	1	-	Map	2024-06-08 20:11:03
1	0	0	111	hl002	75	116	青苹果	元宝	1	-	Map	2024-06-08 20:11:03
1	0	0	111	hl002	75	120	青苹果	元宝	1	-	Map	2024-06-08 20:11:03
1	0	0	111	hl002	77	122	青苹果	元宝	1	-	Map	2024-06-08 20:11:06
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:11:06
1	0	0	111	hl002	83	116	青苹果	元宝	1	-	Map	2024-06-08 20:11:06
1	0	0	111	hl002	81	114	青苹果	元宝	1	-	Map	2024-06-08 20:11:09
1	0	0	111	hl002	77	114	青苹果	元宝	1	-	Map	2024-06-08 20:11:09
1	0	0	111	hl002	77	120	青苹果	元宝	1	-	Map	2024-06-08 20:11:09
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:11:09
1	0	0	111	hl002	79	120	青苹果	元宝	1	-	Map	2024-06-08 20:11:12
1	0	0	13	F004	37	32	三好	金币	2000	1	购买商铺物品	2024-06-08 20:11:12
1	0	0	111	hl002	81	118	青苹果	元宝	1	-	Map	2024-06-08 20:11:12
1	0	0	111	hl002	83	112	青苹果	元宝	1	-	Map	2024-06-08 20:11:15
1	0	0	111	Q004	12	15	HEiyAa	元宝	417	+	QFunction	2024-06-08 20:11:15
1	0	0	111	Q004	12	15	HEiyAa	元宝	422	+	QFunction	2024-06-08 20:11:15
1	0	0	111	hl002	81	110	青苹果	元宝	1	-	Map	2024-06-08 20:11:15
1	0	0	111	hl002	77	112	青苹果	元宝	1	-	Map	2024-06-08 20:11:15
1	0	0	111	hl002	77	116	青苹果	元宝	1	-	Map	2024-06-08 20:11:15
1	0	0	111	hl002	79	120	青苹果	元宝	1	-	Map	2024-06-08 20:11:18
1	0	0	111	hl002	83	116	青苹果	元宝	1	-	Map	2024-06-08 20:11:21
1	0	0	111	hl002	83	112	青苹果	元宝	1	-	Map	2024-06-08 20:11:21
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:11:21
1	0	0	111	hl002	81	110	青苹果	元宝	1	-	Map	2024-06-08 20:11:21
1	0	0	111	hl002	77	110	青苹果	元宝	1	-	Map	2024-06-08 20:11:21
1	0	0	111	hl002	75	114	青苹果	元宝	1	-	Map	2024-06-08 20:11:24
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:11:24
1	0	0	111	hl002	77	118	青苹果	元宝	1	-	Map	2024-06-08 20:11:24
1	0	0	111	hl002	81	118	青苹果	元宝	1	-	Map	2024-06-08 20:11:27
1	0	0	111	hl002	83	116	青苹果	元宝	1	-	Map	2024-06-08 20:11:27
1	0	0	13	F004	39	30	三好	金币	2000	1	购买商铺物品	2024-06-08 20:11:27
1	0	0	111	hl002	81	110	青苹果	元宝	1	-	Map	2024-06-08 20:11:27
1	0	0	111	hl002	79	110	青苹果	元宝	1	-	Map	2024-06-08 20:11:30
1	0	0	111	hl002	75	114	青苹果	元宝	1	-	Map	2024-06-08 20:11:30
1	0	0	111	hl002	77	120	青苹果	元宝	1	-	Map	2024-06-08 20:11:33
1	0	0	111	hl002	81	116	青苹果	元宝	1	-	Map	2024-06-08 20:11:33
1	0	0	111	hl002	83	113	青苹果	元宝	1	-	Map	2024-06-08 20:11:33
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:11:33
1	0	0	111	hl002	79	112	青苹果	元宝	1	-	Map	2024-06-08 20:11:36
1	0	0	111	hl002	77	114	青苹果	元宝	1	-	Map	2024-06-08 20:11:36
1	0	0	111	hl002	77	118	青苹果	元宝	1	-	Map	2024-06-08 20:11:39
1	0	0	111	hl002	79	116	青苹果	元宝	1	-	Map	2024-06-08 20:11:39
1	0	0	111	hl002	81	116	青苹果	元宝	1	-	Map	2024-06-08 20:11:39
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:11:39
1	0	0	111	hl002	81	112	青苹果	元宝	1	-	Map	2024-06-08 20:11:39
1	0	0	111	hl002	77	112	青苹果	元宝	1	-	Map	2024-06-08 20:11:42
1	0	0	111	hl002	77	116	青苹果	元宝	1	-	Map	2024-06-08 20:11:42
1	0	0	111	hl002	81	120	青苹果	元宝	1	-	Map	2024-06-08 20:11:45
1	0	0	111	hl002	83	118	青苹果	元宝	1	-	Map	2024-06-08 20:11:45
1	0	0	111	hl002	83	118	青苹果	元宝	1	-	Map	2024-06-08 20:11:45
1	0	0	111	hl002	83	118	青苹果	元宝	1	-	Map	2024-06-08 20:11:48
1	0	0	111	hl002	81	116	青苹果	元宝	1	-	Map	2024-06-08 20:11:48
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:11:51
1	0	0	111	hl002	79	114	青苹果	元宝	1	-	Map	2024-06-08 20:11:51
1	0	0	111	hl002	79	115	青苹果	元宝	1	-	Map	2024-06-08 20:11:51
1	0	0	111	hl002	83	113	青苹果	元宝	1	-	Map	2024-06-08 20:11:51
1	0	0	111	hl002	81	113	青苹果	元宝	1	-	Map	2024-06-08 20:11:51
1	0	0	111	hl002	75	119	青苹果	元宝	1	-	Map	2024-06-08 20:11:54
1	0	0	13	6	129	148	小猪佩奇	金币	2000	1	购买商铺物品	2024-06-08 20:11:54
1	0	0	111	hl002	75	119	青苹果	元宝	1	-	Map	2024-06-08 20:11:57
1	0	0	111	hl002	76	117	青苹果	元宝	1	-	Map	2024-06-08 20:11:57
1	0	0	111	hl002	76	117	青苹果	元宝	1	-	Map	2024-06-08 20:11:57
1	0	0	111	hl002	77	116	青苹果	元宝	1	-	Map	2024-06-08 20:11:57
1	0	0	111	hl002	76	116	青苹果	元宝	1	-	Map	2024-06-08 20:12:00
1	0	0	13	F004	16	34	三好	金币	2000	1	购买商铺物品	2024-06-08 20:12:00
