1	0	0	19	2	499	507	我是菜鸟	FZ-0_F3-0	0	1	风Vs云	2024-06-13 15:03:39
1	0	0	10	3	624	120	青苹果	金币	50000	1	QFunction	2024-06-13 15:07:33
1	0	0	10	H010	326	323	青苹果	金币	50000	1	QFunction	2024-06-13 15:07:48
1	0	0	10	D10062	22	20	青苹果	金币	50000	1	QFunction	2024-06-13 15:08:51
1	0	0	10	0	329	262	青苹果	金币	1000000	1	QFunction	2024-06-13 15:09:27
1	0	0	10	0	329	262	青苹果	金币	1000000	1	QFunction	2024-06-13 15:09:27
1	0	0	111	hl002	98	81	青苹果	元宝	1	-	Map	2024-06-13 15:09:33
1	0	0	111	hl002	98	81	青苹果	元宝	1	-	Map	2024-06-13 15:09:33
1	0	0	111	hl002	100	79	青苹果	元宝	1	-	Map	2024-06-13 15:09:36
1	0	0	111	hl002	102	75	青苹果	元宝	1	-	Map	2024-06-13 15:09:36
1	0	0	111	hl002	102	73	青苹果	元宝	1	-	Map	2024-06-13 15:09:39
1	0	0	111	hl002	102	69	青苹果	元宝	1	-	Map	2024-06-13 15:09:39
1	0	0	111	hl002	100	67	青苹果	元宝	1	-	Map	2024-06-13 15:09:39
1	0	0	111	hl002	96	63	青苹果	元宝	1	-	Map	2024-06-13 15:09:42
1	0	0	111	hl002	98	65	青苹果	元宝	1	-	Map	2024-06-13 15:09:42
1	0	0	111	hl002	100	67	青苹果	元宝	1	-	Map	2024-06-13 15:09:45
1	0	0	111	hl002	102	69	青苹果	元宝	1	-	Map	2024-06-13 15:09:45
1	0	0	111	hl002	106	73	青苹果	元宝	1	-	Map	2024-06-13 15:09:45
1	0	0	111	hl002	104	71	青苹果	元宝	1	-	Map	2024-06-13 15:09:48
1	0	0	111	hl002	104	71	青苹果	元宝	1	-	Map	2024-06-13 15:09:48
1	0	0	111	hl002	104	71	青苹果	元宝	1	-	Map	2024-06-13 15:09:51
1	0	0	111	hl002	106	72	青苹果	元宝	1	-	Map	2024-06-13 15:09:51
1	0	0	111	hl002	104	78	青苹果	元宝	1	-	Map	2024-06-13 15:09:51
1	0	0	111	hl002	102	74	青苹果	元宝	1	-	Map	2024-06-13 15:09:51
1	0	0	111	hl002	100	72	青苹果	元宝	1	-	Map	2024-06-13 15:09:54
1	0	0	111	hl002	98	68	青苹果	元宝	1	-	Map	2024-06-13 15:09:57
1	0	0	111	hl002	98	68	青苹果	元宝	1	-	Map	2024-06-13 15:09:57
1	0	0	111	hl002	98	66	青苹果	元宝	1	-	Map	2024-06-13 15:09:57
1	0	0	111	hl002	98	66	青苹果	元宝	1	-	Map	2024-06-13 15:09:57
