1	0	0	12	5	61	418031659	三好	0	0	1	0	2024-06-13 17:10:42
1	0	0	19	11	226	303	绝对嚣张の意	FZ-0_F3-0	0	1	杀死你是我错	2024-06-13 17:16:21
1	0	0	13	hero1	155	156	LLLLLLLL	金币	2000	1	购买商铺物品	2024-06-13 17:16:54
1	0	0	13	hero1	155	156	LLLLLLLL	金币	2000	1	购买商铺物品	2024-06-13 17:16:57
1	0	0	13	hero1	155	148	LLLLLLLL	金币	2000	1	购买商铺物品	2024-06-13 17:16:57
1	0	0	13	hero1	153	146	LLLLLLLL	金币	2000	1	购买商铺物品	2024-06-13 17:16:57
1	0	0	111	hero1	131	152	LLLLLLLL	元宝	10000	-	购买商铺物品	2024-06-13 17:17:06
1	0	0	111	hero1	127	148	LLLLLLLL	元宝	10000	-	购买商铺物品	2024-06-13 17:17:06
1	0	0	111	hero1	123	144	LLLLLLLL	元宝	10000	-	购买商铺物品	2024-06-13 17:17:09
1	0	0	10	hero1	119	150	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:12
1	0	0	111	hero1	119	150	LLLLLLLL	元宝	31373	+	QFunction	2024-06-13 17:17:12
1	0	0	10	hero1	117	150	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:12
1	0	0	111	hero1	117	150	LLLLLLLL	元宝	32373	+	QFunction	2024-06-13 17:17:12
1	0	0	10	hero1	117	150	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:15
1	0	0	111	hero1	117	150	LLLLLLLL	元宝	33373	+	QFunction	2024-06-13 17:17:15
1	0	0	10	hero1	117	150	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:15
1	0	0	111	hero1	117	150	LLLLLLLL	元宝	34373	+	QFunction	2024-06-13 17:17:15
1	0	0	10	hero1	117	152	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:15
1	0	0	111	hero1	117	152	LLLLLLLL	元宝	35373	+	QFunction	2024-06-13 17:17:15
1	0	0	19	11	158	325	我太无敌	FZ-0_F3-0	0	1	ぁ盼が	2024-06-13 17:17:21
1	0	0	9	hero1	110	142	LLLLLLLL	金币	200000000	1	QFunction	2024-06-13 17:17:27
1	0	0	10	hero1	106	146	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:36
1	0	0	111	hero1	106	146	LLLLLLLL	元宝	36373	+	QFunction	2024-06-13 17:17:36
1	0	0	10	hero1	106	146	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:36
1	0	0	111	hero1	106	146	LLLLLLLL	元宝	37373	+	QFunction	2024-06-13 17:17:36
1	0	0	10	hero1	106	150	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:39
1	0	0	111	hero1	106	150	LLLLLLLL	元宝	38373	+	QFunction	2024-06-13 17:17:39
1	0	0	10	hero1	105	153	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:39
1	0	0	111	hero1	105	153	LLLLLLLL	元宝	39373	+	QFunction	2024-06-13 17:17:39
1	0	0	10	hero1	105	153	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:39
1	0	0	111	hero1	105	153	LLLLLLLL	元宝	40373	+	QFunction	2024-06-13 17:17:39
1	0	0	10	hero1	105	153	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:39
1	0	0	111	hero1	105	153	LLLLLLLL	元宝	41373	+	QFunction	2024-06-13 17:17:39
1	0	0	10	hero1	105	153	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:39
1	0	0	111	hero1	105	153	LLLLLLLL	元宝	42373	+	QFunction	2024-06-13 17:17:39
1	0	0	10	hero1	105	153	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:39
1	0	0	111	hero1	105	153	LLLLLLLL	元宝	43373	+	QFunction	2024-06-13 17:17:39
1	0	0	10	hero1	104	153	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:42
1	0	0	111	hero1	104	153	LLLLLLLL	元宝	44373	+	QFunction	2024-06-13 17:17:42
1	0	0	10	hero1	105	154	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:45
1	0	0	111	hero1	105	154	LLLLLLLL	元宝	45373	+	QFunction	2024-06-13 17:17:45
1	0	0	10	hero1	105	154	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:45
1	0	0	111	hero1	105	154	LLLLLLLL	元宝	46373	+	QFunction	2024-06-13 17:17:45
1	0	0	10	hero1	105	154	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:45
1	0	0	111	hero1	105	154	LLLLLLLL	元宝	47373	+	QFunction	2024-06-13 17:17:45
1	0	0	10	hero1	105	154	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:45
1	0	0	111	hero1	105	154	LLLLLLLL	元宝	48373	+	QFunction	2024-06-13 17:17:45
1	0	0	10	hero1	101	158	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:45
