;地图号 座标X 座标Y 范围 触发标识 触发条件 触发机率 事件类型
;YXSD -1 -1 0 -1:0 5:*:0 0 1:@组员经验倍率
;YXSD -1 -1 0 -1:0 4:*:0 0 1:@组员经验倍率
;D2083 -1 -1 0 -1:0 5:*:0 0 1:@组员攻击倍率
;D2083 -1 -1 0 -1:0 4:*:0 0 1:@组员攻击倍率
D2083 -1 -1 0 -1:0 5:*:0 0 1:@火龙
D2083 -1 -1 0 -1:0 4:*:0 0 1:@火龙
hl002 -1 -1 0 -1:0 5:*:0 0 1:@火龙
hl001 -1 -1 0 -1:0 4:*:0 0 1:@火龙
hl001 -1 -1 0 -1:0 5:*:0 0 1:@火龙
hl002 -1 -1 0 -1:0 4:*:0 0 1:@火龙
hl002 -1 -1 0 -1:0 5:*:0 0 1:@火龙
hero1 -1 -1 0 -1:0 4:*:0 0 1:@经验密境
hero1 -1 -1 0 -1:0 5:*:0 0 1:@经验密境
0 -1 -1 0 -1:1 4:*:0 0 1:@MapEventWalk
2 -1 -1 0 -1:1 4:*:0 0 1:@MapEventWalk
3 -1 -1 0 -1:1 4:*:0 0 1:@MapEventWalk
4 -1 -1 0 -1:1 4:*:0 0 1:@MapEventWalk
5 -1 -1 0 -1:1 4:*:0 0 1:@MapEventWalk
6 -1 -1 0 -1:1 4:*:0 0 1:@MapEventWalk
11 -1 -1 0 -1:1 4:*:0 0 1:@MapEventWalk
F010 -1 -1 0 -1:1 4:*:0 0 1:@MapEventWalk
0 -1 -1 0 -1:1 5:*:0 0 1:@MapEventRun
2 -1 -1 0 -1:1 5:*:0 0 1:@MapEventRun
3 -1 -1 0 -1:1 5:*:0 0 1:@MapEventRun
4 -1 -1 0 -1:1 5:*:0 0 1:@MapEventRun
5 -1 -1 0 -1:1 5:*:0 0 1:@MapEventRun
6 -1 -1 0 -1:1 5:*:0 0 1:@MapEventRun
11 -1 -1 0 -1:1 5:*:0 0 1:@MapEventRun
F010 -1 -1 0 -1:1 5:*:0 0 1:@MapEventRun
0   -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
122 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
110 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
111 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
112 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
102 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
108 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
109 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
104 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
107 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
125 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
126 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
103 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
105 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
106 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
101 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
100 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
128 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
129 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
123 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
124 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
114 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
1141 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
1142 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
115 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
1152 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
113 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
1132 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
137 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
139 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
G001 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
G002 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
G003 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
G004 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
G005 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
G006 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
G007 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
G008 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
G009 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
G010 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
G011 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
G012 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
135 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
134 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
133 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
119 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
118 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
121 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
127 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
130 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
131 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
136 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
132 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
138 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
141 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
140 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D001 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D002 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
DM001 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
DM002 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D003 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D011 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D012 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
DM011 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
1 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D021 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D022 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D023 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D024 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
2 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
116 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
117 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
120 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
142 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D401 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D411 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D413 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D402 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D414 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D403 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D412 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D404 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D416 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D405 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D415 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D406 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D421 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D422 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
F001 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
F002 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
F003 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
F004 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
F005 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
F006 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
F007 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
F008 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
F009 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
F010 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
3 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
143 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
144 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
145 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
146 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
147 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
148 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
149 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
158 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
159 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
160 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
161 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
150 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
151 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
152 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
153 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
154 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
155 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
156 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
157 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D501 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D502 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D503 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D504 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D505 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5061 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5062 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5063 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5064 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5065 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5066 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5067 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5068 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5069 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5071 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5072 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5073 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D5074 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D511 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D512 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D513 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D514 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D515 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D710 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D711 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D712 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D713 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D714 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D715 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D716 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D717 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71601 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
D71602 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
