[2024/8/15 23:6:57] 物品:金创药(小量)	怪物:149DAB30稻草人	地图:0	X:282	Y:664 
[2024/8/15 23:6:58] 物品:金创药(小量)	怪物:14A126F0稻草人	地图:0	X:273	Y:661 
[2024/8/15 23:13:22] 物品:铁手镯	怪物:149E3050稻草人	地图:0	X:327	Y:615 
[2024/8/15 23:22:30] 物品:CHILD	怪物:11D5DCD0雪域领主	地图:YXSD	X:46	Y:59 
[2024/8/15 23:22:30] 物品:烈焰魔衣(女)	怪物:11D5DCD0雪域领主	地图:YXSD	X:46	Y:59 
[2024/8/15 23:22:30] 物品:CHILD	怪物:11D5DCD0雪域领主	地图:YXSD	X:46	Y:59 
[2024/8/15 23:22:30] 物品:金矿	怪物:11D5DCD0雪域领主	地图:YXSD	X:46	Y:59 
[2024/8/15 23:26:56] 物品:青铜剑	怪物:064C65E0盔甲虫0	地图:3	X:332	Y:341 
[2024/8/15 23:26:56] 物品:牛角戒指	怪物:064C65E0盔甲虫0	地图:3	X:332	Y:341 
[2024/8/15 23:26:56] 物品:金创药(小量)	怪物:064C65E0盔甲虫0	地图:3	X:332	Y:341 
[2024/8/15 23:26:56] 物品:金创药(小量)	怪物:064C65E0盔甲虫0	地图:3	X:332	Y:341 
[2024/8/15 23:26:56] 物品:金创药(小量)	怪物:064C65E0盔甲虫0	地图:3	X:332	Y:341 
[2024/8/15 23:26:56] 物品:金创药(小量)	怪物:064C65E0盔甲虫0	地图:3	X:332	Y:341 
[2024/8/15 23:26:56] 物品:魔法药(小量)	怪物:064C65E0盔甲虫0	地图:3	X:332	Y:341 
[2024/8/15 23:26:56] 物品:魔法药(小量)	怪物:064C65E0盔甲虫0	地图:3	X:332	Y:341 
[2024/8/15 23:26:56] 物品:魔法药(小量)	怪物:064C65E0盔甲虫0	地图:3	X:332	Y:341 
[2024/8/15 23:26:56] 物品:魔法药(小量)	怪物:064C65E0盔甲虫0	地图:3	X:332	Y:341 
[2024/8/15 23:27:50] 物品:幽灵盾	怪物:1829CF40尸王2	地图:Q004	X:15	Y:6 
[2024/8/15 23:27:50] 物品:隐身术	怪物:1829CF40尸王2	地图:Q004	X:15	Y:6 
[2024/8/15 23:27:50] 物品:瞬息移动	怪物:1829CF40尸王2	地图:Q004	X:15	Y:6 
[2024/8/15 23:27:55] 物品:圣言术	怪物:1829E570尸王2	地图:Q004	X:14	Y:10 
[2024/8/15 23:27:55] 物品:大火球	怪物:1829E570尸王2	地图:Q004	X:14	Y:10 
[2024/8/15 23:27:57] 物品:心灵启示	怪物:182898A0尸王2	地图:Q004	X:13	Y:12 
[2024/8/15 23:27:57] 物品:疾光电影	怪物:182898A0尸王2	地图:Q004	X:13	Y:12 
[2024/8/15 23:27:57] 物品:攻杀剑术	怪物:182898A0尸王2	地图:Q004	X:13	Y:12 
[2024/8/15 23:27:57] 物品:诱惑之光	怪物:182898A0尸王2	地图:Q004	X:13	Y:12 
[2024/8/15 23:27:57] 物品:召唤骷髅	怪物:182898A0尸王2	地图:Q004	X:13	Y:12 
[2024/8/15 23:27:59] 物品:幽灵盾	怪物:18290790尸王2	地图:Q004	X:11	Y:13 
[2024/8/15 23:27:59] 物品:爆裂火焰	怪物:18290790尸王2	地图:Q004	X:11	Y:13 
[2024/8/15 23:27:59] 物品:集体隐身术	怪物:18290790尸王2	地图:Q004	X:11	Y:13 
[2024/8/15 23:27:59] 物品:诱惑之光	怪物:18290790尸王2	地图:Q004	X:11	Y:13 
[2024/8/15 23:27:59] 物品:瞬息移动	怪物:18290790尸王2	地图:Q004	X:11	Y:13 
[2024/8/15 23:28:2] 物品:魅力戒指	怪物:182933F0尸王2	地图:Q004	X:15	Y:14 
[2024/8/15 23:28:2] 物品:召唤神兽	怪物:182933F0尸王2	地图:Q004	X:15	Y:14 
[2024/8/15 23:28:2] 物品:诱惑之光	怪物:182933F0尸王2	地图:Q004	X:15	Y:14 
[2024/8/15 23:28:2] 物品:大火球	怪物:182933F0尸王2	地图:Q004	X:15	Y:14 
[2024/8/15 23:28:2] 物品:召唤骷髅	怪物:182933F0尸王2	地图:Q004	X:15	Y:14 
[2024/8/15 23:28:57] 物品:魔法药(小量)	怪物:17FFB860僵尸4	地图:D406	X:38	Y:44 
[2024/8/15 23:29:3] 物品:太阳水	怪物:181F8F40僵尸5	地图:D406	X:37	Y:36 
[2024/8/15 23:29:3] 物品:火球术	怪物:181F8F40僵尸5	地图:D406	X:37	Y:36 
[2024/8/15 23:29:8] 物品:魔法药(小量)	怪物:18214980僵尸5	地图:D406	X:33	Y:35 
[2024/8/15 23:29:36] 物品:战神油	怪物:0648E030虎蛇0	地图:3	X:252	Y:300 
