[2024/8/16 12:11:12] 物品:金创药(小量)	怪物:13ACF9B0稻草人	地图:0	X:269	Y:607 
[2024/8/16 12:15:0] 物品:疾风药水	怪物:1433FA90多钩猫	地图:0	X:336	Y:601 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:赤月恶魔油	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:疗伤药	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:疗伤药	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:疗伤药	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:疗伤药	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效太阳水	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
[2024/8/16 12:26:54] 物品:强效金创药	怪物:2AE5A7D0赤月恶魔	地图:3	X:353	Y:336 
