[2024/8/16 18:1:21] 物品:强效金创药	怪物:2B521D70魔龙刺蛙1	地图:6	X:136	Y:171 
[2024/8/16 18:3:55] 物品:魔法药(小量)	怪物:18B721D0稻草人	地图:0	X:649	Y:629 
[2024/8/16 18:5:44] 物品:魔法药(小量)	怪物:181E3530稻草人	地图:0	X:270	Y:659 
[2024/8/16 18:7:0] 物品:魔法药(小量)	怪物:3030BA50稻草人	地图:0	X:294	Y:614 
[2024/8/16 18:9:25] 物品:金创药(小量)	怪物:18031990稻草人	地图:0	X:291	Y:559 
[2024/8/16 18:10:19] 物品:金创药(小量)	怪物:18B53B30稻草人	地图:0	X:650	Y:643 
[2024/8/16 18:11:14] 物品:魔法药(小量)	怪物:2F9391A0稻草人	地图:0	X:217	Y:600 
[2024/8/16 18:12:31] 物品:金创药(小量)	怪物:181D1640稻草人	地图:0	X:270	Y:542 
[2024/8/16 18:12:56] 物品:金创药(小量)	怪物:18039EB0稻草人	地图:0	X:261	Y:540 
[2024/8/16 18:13:9] 物品:匕首	怪物:17D48BA0稻草人	地图:0	X:648	Y:573 
[2024/8/16 18:13:14] 物品:疾风药水	怪物:1805F440稻草人	地图:0	X:317	Y:496 
[2024/8/16 18:13:26] 物品:金创药(小量)	怪物:17D739F0稻草人	地图:0	X:656	Y:566 
[2024/8/16 18:13:26] 物品:魔法药(小量)	怪物:17D739F0稻草人	地图:0	X:656	Y:566 
[2024/8/16 18:13:39] 物品:攻击力药水	怪物:17FFECF0半兽人	地图:0	X:249	Y:518 
[2024/8/16 18:14:8] 物品:乌木剑	怪物:17D5D6F0稻草人	地图:0	X:662	Y:554 
[2024/8/16 18:14:35] 物品:布衣(女)	怪物:18290BE0稻草人	地图:0	X:310	Y:521 
[2024/8/16 18:14:44] 物品:金创药(小量)	怪物:2F93A7D0稻草人	地图:0	X:262	Y:663 
[2024/8/16 18:14:47] 物品:金创药(小量)	怪物:17D41CB0稻草人	地图:0	X:663	Y:578 
[2024/8/16 18:15:21] 物品:金创药(小量)	怪物:181EFCE0稻草人	地图:0	X:240	Y:658 
[2024/8/16 18:15:52] 物品:金创药(小量)	怪物:2E7CD460稻草人	地图:0	X:227	Y:665 
[2024/8/16 18:15:57] 物品:木剑	怪物:1815BD60多钩猫	地图:0	X:331	Y:502 
[2024/8/16 18:16:37] 物品:木剑	怪物:18AD1710稻草人	地图:0	X:607	Y:569 
[2024/8/16 18:16:59] 物品:金项链	怪物:18116980多钩猫	地图:0	X:325	Y:544 
[2024/8/16 18:17:4] 物品:魔法药(小量)	怪物:181D0010稻草人	地图:0	X:255	Y:581 
[2024/8/16 18:17:19] 物品:铁手镯	怪物:18056F20稻草人	地图:0	X:332	Y:534 
[2024/8/16 18:17:43] 物品:金项链	怪物:2F9416C0钉耙猫	地图:0	X:335	Y:524 
[2024/8/16 18:18:4] 物品:魔法药(小量)	怪物:18045030稻草人	地图:0	X:346	Y:521 
[2024/8/16 18:18:10] 物品:魔法药(小量)	怪物:2FFB0D70稻草人	地图:0	X:246	Y:610 
[2024/8/16 18:18:12] 物品:金创药(小量)	怪物:18B7E980稻草人	地图:0	X:662	Y:664 
[2024/8/16 18:18:35] 物品:金创药(小量)	怪物:3081E240稻草人	地图:0	X:242	Y:620 
[2024/8/16 18:18:38] 物品:魔法药(小量)	怪物:3084D8C0稻草人	地图:0	X:242	Y:620 
[2024/8/16 18:18:40] 物品:金创药(小量)	怪物:18207610稻草人	地图:0	X:257	Y:573 
[2024/8/16 18:18:49] 物品:金创药(小量)	怪物:3084C290稻草人	地图:0	X:295	Y:641 
[2024/8/16 18:19:3] 物品:金创药(小量)	怪物:3081B5E0稻草人	地图:0	X:291	Y:605 
[2024/8/16 18:19:4] 物品:布衣(男)	怪物:1803E140稻草人	地图:0	X:344	Y:544 
[2024/8/16 18:19:4] 物品:疾风药水	怪物:1803E140稻草人	地图:0	X:344	Y:544 
[2024/8/16 18:19:9] 物品:金创药(小量)	怪物:1828F5B0稻草人	地图:0	X:343	Y:545 
[2024/8/16 18:19:12] 物品:魔法药(小量)	怪物:18064D00稻草人	地图:0	X:342	Y:546 
[2024/8/16 18:19:30] 物品:金创药(小量)	怪物:18B41AC0稻草人	地图:0	X:664	Y:669 
[2024/8/16 18:19:57] 物品:金创药(小量)	怪物:18037250稻草人	地图:0	X:348	Y:556 
[2024/8/16 18:20:47] 物品:布衣(女)	怪物:308B9B10多钩猫	地图:0	X:345	Y:568 
[2024/8/16 18:21:30] 物品:魔法药(小量)	怪物:1803B4E0稻草人	地图:0	X:340	Y:577 
[2024/8/16 18:22:3] 物品:金创药(小量)	怪物:30810460稻草人	地图:0	X:267	Y:666 
[2024/8/16 18:22:7] 物品:金创药(小量)	怪物:181F55A0稻草人	地图:0	X:327	Y:578 
[2024/8/16 18:22:11] 物品:木剑	怪物:17EE3AB0多钩猫	地图:0	X:327	Y:578 
[2024/8/16 18:22:11] 物品:乌木剑	怪物:17EE3AB0多钩猫	地图:0	X:327	Y:578 
