[2024/8/16 21:0:11] 物品:皮制手套	怪物:184849B0骷髅战士	地图:D001	X:322	Y:315 
[2024/8/16 21:0:19] 物品:攻击力药水	怪物:061CA9A0僵尸3	地图:D401	X:130	Y:138 
[2024/8/16 21:0:27] 物品:回城卷	怪物:185E72E0山洞蝙蝠	地图:D001	X:324	Y:314 
[2024/8/16 21:0:28] 物品:魔法药(小量)	怪物:196799E0骷髅战士	地图:D001	X:205	Y:227 
[2024/8/16 21:0:42] 物品:金创药(小量)	怪物:18652210僵尸3	地图:D401	X:138	Y:135 
[2024/8/16 21:0:42] 物品:魔法力药水	怪物:18652210僵尸3	地图:D401	X:138	Y:135 
[2024/8/16 21:1:9] 物品:铁剑	怪物:0D7772E0骷髅0	地图:D001	X:322	Y:334 
[2024/8/16 21:1:9] 物品:黑色水晶项链	怪物:0D7772E0骷髅0	地图:D001	X:322	Y:334 
[2024/8/16 21:1:9] 物品:六角戒指	怪物:0D7772E0骷髅0	地图:D001	X:322	Y:334 
[2024/8/16 21:1:9] 物品:金创药(小量)	怪物:0D7772E0骷髅0	地图:D001	X:322	Y:334 
[2024/8/16 21:1:9] 物品:金创药(小量)	怪物:0D7772E0骷髅0	地图:D001	X:322	Y:334 
[2024/8/16 21:1:9] 物品:金创药(小量)	怪物:0D7772E0骷髅0	地图:D001	X:322	Y:334 
[2024/8/16 21:1:9] 物品:金创药(小量)	怪物:0D7772E0骷髅0	地图:D001	X:322	Y:334 
[2024/8/16 21:1:9] 物品:魔法药(小量)	怪物:0D7772E0骷髅0	地图:D001	X:322	Y:334 
[2024/8/16 21:1:9] 物品:魔法药(小量)	怪物:0D7772E0骷髅0	地图:D001	X:322	Y:334 
[2024/8/16 21:1:9] 物品:魔法药(小量)	怪物:0D7772E0骷髅0	地图:D001	X:322	Y:334 
[2024/8/16 21:1:9] 物品:魔法药(小量)	怪物:0D7772E0骷髅0	地图:D001	X:322	Y:334 
[2024/8/16 21:1:17] 物品:魔法药(小量)	怪物:1BD90E30山洞蝙蝠	地图:D001	X:168	Y:236 
[2024/8/16 21:1:27] 物品:银手镯	怪物:03B24200骷髅战士0	地图:D001	X:310	Y:333 
[2024/8/16 21:1:27] 物品:金创药(中量)	怪物:03B24200骷髅战士0	地图:D001	X:310	Y:333 
[2024/8/16 21:1:27] 物品:金创药(中量)	怪物:03B24200骷髅战士0	地图:D001	X:310	Y:333 
[2024/8/16 21:1:27] 物品:金创药(中量)	怪物:03B24200骷髅战士0	地图:D001	X:310	Y:333 
[2024/8/16 21:1:27] 物品:金创药(中量)	怪物:03B24200骷髅战士0	地图:D001	X:310	Y:333 
[2024/8/16 21:1:27] 物品:魔法药(中量)	怪物:03B24200骷髅战士0	地图:D001	X:310	Y:333 
