[2024/8/17 0:0:50] 物品:六角戒指	怪物:18FDF670骷髅战士	地图:E401	X:13	Y:12 
[2024/8/17 0:0:55] 物品:金创药(小量)	怪物:15AB30C0僵尸3	地图:D401	X:119	Y:162 
[2024/8/17 0:1:4] 物品:银手镯	怪物:1923A730掷斧骷髅	地图:E401	X:12	Y:10 
[2024/8/17 0:1:4] 物品:魔法力药水	怪物:1923A730掷斧骷髅	地图:E401	X:12	Y:10 
[2024/8/17 0:1:23] 物品:攻击力药水	怪物:19210F10骷髅战将	地图:E401	X:22	Y:18 
[2024/8/17 0:1:24] 物品:金创药(小量)	怪物:28097A50僵尸3	地图:D401	X:40	Y:52 
[2024/8/17 0:1:56] 物品:青铜剑	怪物:191B3DC0骷髅战士0	地图:E401	X:43	Y:16 
[2024/8/17 0:1:56] 物品:金创药(中量)	怪物:191B3DC0骷髅战士0	地图:E401	X:43	Y:16 
[2024/8/17 0:1:56] 物品:金创药(中量)	怪物:191B3DC0骷髅战士0	地图:E401	X:43	Y:16 
[2024/8/17 0:1:56] 物品:金创药(中量)	怪物:191B3DC0骷髅战士0	地图:E401	X:43	Y:16 
[2024/8/17 0:1:56] 物品:金创药(中量)	怪物:191B3DC0骷髅战士0	地图:E401	X:43	Y:16 
[2024/8/17 0:1:56] 物品:魔法药(中量)	怪物:191B3DC0骷髅战士0	地图:E401	X:43	Y:16 
[2024/8/17 0:1:56] 物品:魔法药(中量)	怪物:191B3DC0骷髅战士0	地图:E401	X:43	Y:16 
[2024/8/17 0:1:56] 物品:魔法药(中量)	怪物:191B3DC0骷髅战士0	地图:E401	X:43	Y:16 
[2024/8/17 0:1:56] 物品:魔法药(中量)	怪物:191B3DC0骷髅战士0	地图:E401	X:43	Y:16 
[2024/8/17 0:2:18] 物品:太阳水	怪物:17E8FA90黑野猪8	地图:H102	X:319	Y:307 
[2024/8/17 0:2:24] 物品:魔法药(小量)	怪物:18FD2EC0骷髅战士	地图:E401	X:43	Y:35 
[2024/8/17 0:2:42] 物品:金项链	怪物:30831D00稻草人	地图:0	X:115	Y:411 
[2024/8/17 0:2:50] 物品:短剑	怪物:192073C0骷髅战将	地图:E401	X:33	Y:44 
[2024/8/17 0:2:50] 物品:皮制手套	怪物:192073C0骷髅战将	地图:E401	X:33	Y:44 
[2024/8/17 0:2:51] 物品:金创药(小量)	怪物:192C6190僵尸3	地图:D401	X:46	Y:49 
[2024/8/17 0:2:55] 物品:集体隐身术	怪物:187A1290僵尸2	地图:D401	X:152	Y:159 
[2024/8/17 0:3:6] 物品:金创药(小量)	怪物:192C6190僵尸3	地图:D401	X:45	Y:48 
[2024/8/17 0:3:9] 物品:精神力战法	怪物:28E05350僵尸2	地图:D401	X:156	Y:157 
[2024/8/17 0:3:39] 物品:黑色水晶项链	怪物:30DCAF30骷髅0	地图:D011	X:135	Y:348 
[2024/8/17 0:3:39] 物品:金创药(小量)	怪物:30DCAF30骷髅0	地图:D011	X:135	Y:348 
[2024/8/17 0:3:39] 物品:金创药(小量)	怪物:30DCAF30骷髅0	地图:D011	X:135	Y:348 
[2024/8/17 0:3:39] 物品:金创药(小量)	怪物:30DCAF30骷髅0	地图:D011	X:135	Y:348 
[2024/8/17 0:3:39] 物品:金创药(小量)	怪物:30DCAF30骷髅0	地图:D011	X:135	Y:348 
[2024/8/17 0:3:39] 物品:魔法药(小量)	怪物:30DCAF30骷髅0	地图:D011	X:135	Y:348 
[2024/8/17 0:3:39] 物品:魔法药(小量)	怪物:30DCAF30骷髅0	地图:D011	X:135	Y:348 
[2024/8/17 0:3:39] 物品:魔法药(小量)	怪物:30DCAF30骷髅0	地图:D011	X:135	Y:348 
[2024/8/17 0:3:39] 物品:魔法药(小量)	怪物:30DCAF30骷髅0	地图:D011	X:135	Y:348 
[2024/8/17 0:4:4] 物品:金创药(小量)	怪物:1828B320僵尸3	地图:D401	X:152	Y:40 
[2024/8/17 0:4:7] 物品:金创药(小量)	怪物:2816B0B0僵尸3	地图:D401	X:149	Y:114 
[2024/8/17 0:4:13] 物品:金创药(小量)	怪物:27A51D50僵尸3	地图:D401	X:152	Y:39 
[2024/8/17 0:4:13] 物品:魔法药(小量)	怪物:27A51D50僵尸3	地图:D401	X:152	Y:39 
[2024/8/17 0:4:24] 物品:金创药(小量)	怪物:195A5F40僵尸3	地图:D401	X:46	Y:41 
[2024/8/17 0:4:40] 物品:魔法药(小量)	怪物:30A6AF10骷髅战士	地图:D011	X:179	Y:325 
[2024/8/17 0:4:45] 物品:精灵头盔	怪物:27790C00巨型多角虫2	地图:Q003	X:12	Y:10 
[2024/8/17 0:4:53] 物品:回城卷	怪物:07D773D0山洞蝙蝠0	地图:D011	X:179	Y:326 
[2024/8/17 0:4:53] 物品:回城卷	怪物:07D773D0山洞蝙蝠0	地图:D011	X:179	Y:326 
[2024/8/17 0:4:53] 物品:回城卷	怪物:07D773D0山洞蝙蝠0	地图:D011	X:179	Y:326 
[2024/8/17 0:4:53] 物品:回城卷	怪物:07D773D0山洞蝙蝠0	地图:D011	X:179	Y:326 
[2024/8/17 0:4:53] 物品:回城卷	怪物:07D773D0山洞蝙蝠0	地图:D011	X:179	Y:326 
[2024/8/17 0:5:1] 物品:金创药(小量)	怪物:0D9067D0稻草人	地图:0	X:616	Y:590 
[2024/8/17 0:5:23] 物品:金创药(小量)	怪物:15B18F60僵尸3	地图:D401	X:128	Y:116 
[2024/8/17 0:5:23] 物品:诱惑之光	怪物:15B18F60僵尸3	地图:D401	X:128	Y:116 
[2024/8/17 0:5:30] 物品:金创药(小量)	怪物:30EE28F0僵尸3	地图:D401	X:164	Y:35 
[2024/8/17 0:5:38] 物品:金创药(小量)	怪物:18E395E0山洞蝙蝠	地图:D011	X:194	Y:316 
[2024/8/17 0:5:43] 物品:金创药(小量)	怪物:180558F0山洞蝙蝠	地图:E401	X:24	Y:51 
[2024/8/17 0:6:8] 物品:太阳水	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:太阳水	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:太阳水	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:太阳水	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:金创药(中量)	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:金创药(中量)	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:金创药(中量)	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:金创药(中量)	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:魔法药(中量)	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:魔法药(中量)	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:魔法药(中量)	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:魔法药(中量)	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:强效金创药	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:强效金创药	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:强效金创药	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:强效金创药	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:强效魔法药	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:强效魔法药	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:强效魔法药	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:8] 物品:强效魔法药	怪物:1B90DA40天狼蜘蛛0	地图:11	X:207	Y:361 
[2024/8/17 0:6:28] 物品:小手镯	怪物:29C45500骷髅战士	地图:D011	X:191	Y:291 
[2024/8/17 0:6:50] 物品:金创药(小量)	怪物:196EFA90骷髅战士	地图:E401	X:26	Y:51 
[2024/8/17 0:6:54] 物品:魔法药(小量)	怪物:1847F0F0僵尸3	地图:D401	X:125	Y:146 
[2024/8/17 0:6:55] 物品:魔法药(小量)	怪物:29B17130山洞蝙蝠	地图:E401	X:36	Y:39 
[2024/8/17 0:6:58] 物品:金创药(小量)	怪物:07D92A60僵尸3	地图:D401	X:42	Y:36 
[2024/8/17 0:7:2] 物品:金创药(小量)	怪物:0B83F950骷髅0	地图:D011	X:200	Y:286 
[2024/8/17 0:7:2] 物品:金创药(小量)	怪物:0B83F950骷髅0	地图:D011	X:200	Y:286 
[2024/8/17 0:7:2] 物品:金创药(小量)	怪物:0B83F950骷髅0	地图:D011	X:200	Y:286 
[2024/8/17 0:7:2] 物品:金创药(小量)	怪物:0B83F950骷髅0	地图:D011	X:200	Y:286 
[2024/8/17 0:7:2] 物品:魔法药(小量)	怪物:0B83F950骷髅0	地图:D011	X:200	Y:286 
[2024/8/17 0:7:2] 物品:魔法药(小量)	怪物:0B83F950骷髅0	地图:D011	X:200	Y:286 
[2024/8/17 0:7:2] 物品:魔法药(小量)	怪物:0B83F950骷髅0	地图:D011	X:200	Y:286 
[2024/8/17 0:7:2] 物品:魔法药(小量)	怪物:0B83F950骷髅0	地图:D011	X:200	Y:286 
[2024/8/17 0:7:5] 物品:金创药(小量)	怪物:1E1F7FB0僵尸3	地图:D401	X:125	Y:100 
[2024/8/17 0:7:5] 物品:金创药(中量)	怪物:19497C80骷髅战将	地图:E401	X:43	Y:32 
[2024/8/17 0:7:32] 物品:魔法药(小量)	怪物:03961B20山洞蝙蝠	地图:D011	X:185	Y:264 
[2024/8/17 0:7:38] 物品:太阳水	怪物:1933EEA0森林雪人	地图:1	X:241	Y:303 
[2024/8/17 0:7:48] 物品:金创药(小量)	怪物:1923D390骷髅战士	地图:E401	X:10	Y:66 
[2024/8/17 0:8:8] 物品:魔法药(小量)	怪物:18FCEC30骷髅战士	地图:E401	X:16	Y:82 
[2024/8/17 0:8:9] 物品:精灵头盔	怪物:1923A730巨型多角虫2	地图:Q003	X:11	Y:7 
[2024/8/17 0:8:18] 物品:金创药(小量)	怪物:18C52E20骷髅战士	地图:D011	X:165	Y:255 
[2024/8/17 0:8:20] 物品:金创药(中量)	怪物:191B1160骷髅战将0	地图:E401	X:21	Y:83 
[2024/8/17 0:8:20] 物品:金创药(中量)	怪物:191B1160骷髅战将0	地图:E401	X:21	Y:83 
[2024/8/17 0:8:20] 物品:金创药(中量)	怪物:191B1160骷髅战将0	地图:E401	X:21	Y:83 
[2024/8/17 0:8:20] 物品:金创药(中量)	怪物:191B1160骷髅战将0	地图:E401	X:21	Y:83 
[2024/8/17 0:8:20] 物品:魔法药(中量)	怪物:191B1160骷髅战将0	地图:E401	X:21	Y:83 
[2024/8/17 0:8:20] 物品:魔法药(中量)	怪物:191B1160骷髅战将0	地图:E401	X:21	Y:83 
[2024/8/17 0:8:20] 物品:魔法药(中量)	怪物:191B1160骷髅战将0	地图:E401	X:21	Y:83 
[2024/8/17 0:8:20] 物品:魔法药(中量)	怪物:191B1160骷髅战将0	地图:E401	X:21	Y:83 
[2024/8/17 0:8:28] 物品:魔法药(中量)	怪物:19222E00骷髅战将	地图:E401	X:27	Y:84 
[2024/8/17 0:8:43] 物品:魔法药(小量)	怪物:191BC2E0山洞蝙蝠	地图:E401	X:26	Y:90 
[2024/8/17 0:8:43] 物品:回城卷	怪物:191BC2E0山洞蝙蝠	地图:E401	X:26	Y:90 
[2024/8/17 0:9:1] 物品:战神油	怪物:1DFA86C0蜈蚣8	地图:H001	X:65	Y:72 
[2024/8/17 0:9:6] 物品:玻璃戒指	怪物:191AFB30骷髅战将0	地图:E401	X:29	Y:83 
[2024/8/17 0:9:6] 物品:金创药(中量)	怪物:191AFB30骷髅战将0	地图:E401	X:29	Y:83 
[2024/8/17 0:9:6] 物品:金创药(中量)	怪物:191AFB30骷髅战将0	地图:E401	X:29	Y:83 
[2024/8/17 0:9:6] 物品:金创药(中量)	怪物:191AFB30骷髅战将0	地图:E401	X:29	Y:83 
[2024/8/17 0:9:6] 物品:金创药(中量)	怪物:191AFB30骷髅战将0	地图:E401	X:29	Y:83 
[2024/8/17 0:9:6] 物品:魔法药(中量)	怪物:191AFB30骷髅战将0	地图:E401	X:29	Y:83 
[2024/8/17 0:9:6] 物品:魔法药(中量)	怪物:191AFB30骷髅战将0	地图:E401	X:29	Y:83 
[2024/8/17 0:9:6] 物品:魔法药(中量)	怪物:191AFB30骷髅战将0	地图:E401	X:29	Y:83 
[2024/8/17 0:9:6] 物品:魔法药(中量)	怪物:191AFB30骷髅战将0	地图:E401	X:29	Y:83 
[2024/8/17 0:9:17] 物品:金创药(小量)	怪物:0D6055A0僵尸3	地图:D401	X:156	Y:90 
[2024/8/17 0:9:18] 物品:魔法药(小量)	怪物:191B9680山洞蝙蝠	地图:E401	X:32	Y:79 
[2024/8/17 0:9:30] 物品:金创药(小量)	怪物:17B93D80僵尸3	地图:D401	X:35	Y:31 
[2024/8/17 0:9:39] 物品:金创药(中量)	怪物:19698200僵尸2	地图:D401	X:131	Y:140 
[2024/8/17 0:9:40] 物品:金创药(小量)	怪物:2A9EEA20骷髅战士	地图:E401	X:40	Y:74 
[2024/8/17 0:9:44] 物品:魔法药(中量)	怪物:29BF4B60骷髅战将	地图:E401	X:41	Y:73 
[2024/8/17 0:9:49] 物品:金创药(小量)	怪物:18FC3AB0骷髅战士	地图:E401	X:40	Y:74 
[2024/8/17 0:9:49] 物品:魔法药(小量)	怪物:18FC3AB0骷髅战士	地图:E401	X:40	Y:74 
[2024/8/17 0:9:54] 物品:金创药(小量)	怪物:18FD7150骷髅战士	地图:E401	X:40	Y:73 
[2024/8/17 0:9:54] 物品:魔法药(小量)	怪物:18FD7150骷髅战士	地图:E401	X:40	Y:73 
[2024/8/17 0:10:12] 物品:金创药(小量)	怪物:18FD8780骷髅战士	地图:E401	X:44	Y:65 
[2024/8/17 0:10:30] 物品:精灵头盔	怪物:18C9C490巨型多角虫2	地图:Q003	X:11	Y:9 
[2024/8/17 0:10:41] 物品:回城卷	怪物:0633CB20山洞蝙蝠0	地图:D011	X:187	Y:313 
[2024/8/17 0:10:41] 物品:回城卷	怪物:0633CB20山洞蝙蝠0	地图:D011	X:187	Y:313 
[2024/8/17 0:10:41] 物品:回城卷	怪物:0633CB20山洞蝙蝠0	地图:D011	X:187	Y:313 
[2024/8/17 0:10:41] 物品:回城卷	怪物:0633CB20山洞蝙蝠0	地图:D011	X:187	Y:313 
[2024/8/17 0:10:41] 物品:回城卷	怪物:0633CB20山洞蝙蝠0	地图:D011	X:187	Y:313 
[2024/8/17 0:10:51] 物品:魔法药(小量)	怪物:18564C00骷髅战士	地图:E401	X:59	Y:51 
[2024/8/17 0:11:8] 物品:钢手镯	怪物:192004D0骷髅战将	地图:E401	X:65	Y:50 
[2024/8/17 0:11:10] 物品:太阳水	怪物:17EF5B20黑野猪8	地图:H102	X:267	Y:42 
[2024/8/17 0:11:21] 物品:青铜剑	怪物:30DC82D0骷髅0	地图:D011	X:223	Y:318 
[2024/8/17 0:11:21] 物品:皮制手套	怪物:30DC82D0骷髅0	地图:D011	X:223	Y:318 
[2024/8/17 0:11:21] 物品:金创药(小量)	怪物:30DC82D0骷髅0	地图:D011	X:223	Y:318 
[2024/8/17 0:11:21] 物品:金创药(小量)	怪物:30DC82D0骷髅0	地图:D011	X:223	Y:318 
[2024/8/17 0:11:21] 物品:金创药(小量)	怪物:30DC82D0骷髅0	地图:D011	X:223	Y:318 
[2024/8/17 0:11:21] 物品:金创药(小量)	怪物:30DC82D0骷髅0	地图:D011	X:223	Y:318 
[2024/8/17 0:11:21] 物品:魔法药(小量)	怪物:30DC82D0骷髅0	地图:D011	X:223	Y:318 
[2024/8/17 0:11:21] 物品:魔法药(小量)	怪物:30DC82D0骷髅0	地图:D011	X:223	Y:318 
[2024/8/17 0:11:21] 物品:魔法药(小量)	怪物:30DC82D0骷髅0	地图:D011	X:223	Y:318 
[2024/8/17 0:11:21] 物品:魔法药(小量)	怪物:30DC82D0骷髅0	地图:D011	X:223	Y:318 
[2024/8/17 0:11:31] 物品:金创药(小量)	怪物:27743300僵尸3	地图:D401	X:18	Y:24 
[2024/8/17 0:11:42] 物品:牛角戒指	怪物:191F10C0骷髅	地图:E401	X:74	Y:51 
[2024/8/17 0:12:3] 物品:金创药(小量)	怪物:18D55F60僵尸3	地图:D401	X:150	Y:131 
[2024/8/17 0:12:35] 物品:金创药(中量)	怪物:280DE460骷髅战将	地图:E401	X:83	Y:56 
[2024/8/17 0:13:9] 物品:金创药(小量)	怪物:18E9F670骷髅战士	地图:E401	X:86	Y:43 
[2024/8/17 0:13:14] 物品:古铜戒指	怪物:17D156B0稻草人	地图:0	X:577	Y:420 
[2024/8/17 0:13:49] 物品:瞬息移动	怪物:188A5C10僵尸2	地图:D401	X:49	Y:40 
[2024/8/17 0:13:57] 物品:金创药(小量)	怪物:28D85750僵尸3	地图:D401	X:97	Y:97 
[2024/8/17 0:13:57] 物品:疾光电影	怪物:28D85750僵尸3	地图:D401	X:97	Y:97 
[2024/8/17 0:14:16] 物品:魔法药(小量)	怪物:28BF06E0僵尸3	地图:D401	X:97	Y:96 
[2024/8/17 0:14:21] 物品:火球术	怪物:30508150僵尸3	地图:D401	X:65	Y:43 
[2024/8/17 0:14:25] 物品:海魂	怪物:30EBE990骷髅战士	地图:D011	X:261	Y:354 
[2024/8/17 0:14:48] 物品:金创药(小量)	怪物:061C9370僵尸3	地图:D401	X:95	Y:89 
[2024/8/17 0:15:1] 物品:魔法药(小量)	怪物:189EE130稻草人	地图:0	X:650	Y:662 
[2024/8/17 0:15:5] 物品:皮制手套	怪物:038BC760骷髅	地图:D011	X:269	Y:353 
[2024/8/17 0:15:11] 物品:太阳水	怪物:22719CF0黑色恶蛆8	地图:H102	X:253	Y:170 
[2024/8/17 0:15:14] 物品:魔法药(小量)	怪物:2A9E6500僵尸3	地图:D413	X:63	Y:66 
[2024/8/17 0:15:16] 物品:魔法药(中量)	怪物:188DE9C0僵尸2	地图:D401	X:88	Y:92 
[2024/8/17 0:15:31] 物品:魔法药(小量)	怪物:17B3F150僵尸3	地图:D401	X:72	Y:34 
[2024/8/17 0:15:31] 物品:重盔甲(女)	怪物:1E0928A0红野猪8	地图:H102	X:215	Y:186 
[2024/8/17 0:15:34] 物品:金创药(小量)	怪物:27A16340僵尸3	地图:D413	X:65	Y:65 
