[2024/8/17 1:0:0] 物品:太阳水	怪物:29A39370黑色恶蛆8	地图:H004	X:88	Y:67 
[2024/8/17 1:0:4] 物品:匕首	怪物:1B89A980半兽战士	地图:11	X:301	Y:85 
[2024/8/17 1:0:23] 物品:施毒术	怪物:2370B4F0尸王2	地图:D2002	X:20	Y:34 
[2024/8/17 1:0:40] 物品:精神力战法	怪物:289C2750僵尸2	地图:D401	X:38	Y:166 
[2024/8/17 1:0:48] 物品:魔法药(小量)	怪物:17DD4780僵尸3	地图:D401	X:51	Y:155 
[2024/8/17 1:0:49] 物品:金创药(小量)	怪物:1EEEED40僵尸3	地图:D413	X:71	Y:36 
[2024/8/17 1:0:54] 物品:六角戒指	怪物:1B85D0C0森林雪人	地图:11	X:296	Y:69 
[2024/8/17 1:1:20] 物品:凌风	怪物:1B8872E0半兽勇士9	地图:11	X:297	Y:61 
[2024/8/17 1:1:39] 物品:疾光电影	怪物:2815A670尸王2	地图:D2002	X:27	Y:35 
[2024/8/17 1:1:39] 物品:火墙	怪物:2815A670尸王2	地图:D2002	X:27	Y:35 
[2024/8/17 1:1:39] 物品:集体隐身术	怪物:2815A670尸王2	地图:D2002	X:27	Y:35 
[2024/8/17 1:1:39] 物品:隐身术	怪物:2815A670尸王2	地图:D2002	X:27	Y:35 
[2024/8/17 1:1:39] 物品:灵魂火符	怪物:2815A670尸王2	地图:D2002	X:27	Y:35 
[2024/8/17 1:1:39] 物品:瞬息移动	怪物:2815A670尸王2	地图:D2002	X:27	Y:35 
[2024/8/17 1:1:46] 物品:强效太阳水	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效太阳水	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效太阳水	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效太阳水	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:太阳水	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:太阳水	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:疗伤药	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:疗伤药	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效太阳水	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效太阳水	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效金创药	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效金创药	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效金创药	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效金创药	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效魔法药	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效魔法药	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效魔法药	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:强效魔法药	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:灵魂战衣(男)	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:金戒指	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:黑檀手镯	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:1:46] 物品:降魔	怪物:1B877A90半兽统领	地图:11	X:307	Y:59 
[2024/8/17 1:2:0] 物品:魔法药(小量)	怪物:245F9F40僵尸3	地图:D413	X:36	Y:52 
[2024/8/17 1:2:5] 物品:施毒术	怪物:30AEA570尸王2	地图:D2002	X:28	Y:37 
[2024/8/17 1:2:5] 物品:雷电术	怪物:30AEA570尸王2	地图:D2002	X:28	Y:37 
[2024/8/17 1:2:5] 物品:召唤骷髅	怪物:30AEA570尸王2	地图:D2002	X:28	Y:37 
[2024/8/17 1:2:16] 物品:金创药(小量)	怪物:1920B650僵尸3	地图:D401	X:42	Y:109 
[2024/8/17 1:2:23] 物品:金创药(小量)	怪物:23716670僵尸5	地图:D2002	X:29	Y:35 
[2024/8/17 1:2:30] 物品:太阳水	怪物:1F0F7FB0黑色恶蛆8	地图:H004	X:61	Y:68 
[2024/8/17 1:2:35] 物品:金创药(小量)	怪物:03859D50僵尸3	地图:D413	X:30	Y:59 
[2024/8/17 1:2:42] 物品:太阳水	怪物:1954A860黑色恶蛆8	地图:H004	X:57	Y:65 
[2024/8/17 1:2:52] 物品:金创药(小量)	怪物:237217F0僵尸4	地图:D2002	X:29	Y:37 
[2024/8/17 1:2:52] 物品:魔法药(小量)	怪物:237217F0僵尸4	地图:D2002	X:29	Y:37 
[2024/8/17 1:3:7] 物品:金创药(中量)	怪物:1B96D3B0天狼蜘蛛	地图:11	X:236	Y:399 
[2024/8/17 1:3:7] 物品:魔法药(中量)	怪物:1B96D3B0天狼蜘蛛	地图:11	X:236	Y:399 
[2024/8/17 1:3:7] 物品:降魔	怪物:1B96D3B0天狼蜘蛛	地图:11	X:236	Y:399 
[2024/8/17 1:3:9] 物品:金创药(小量)	怪物:03859D50僵尸3	地图:D413	X:30	Y:59 
[2024/8/17 1:3:22] 物品:金创药(小量)	怪物:03859D50僵尸3	地图:D413	X:31	Y:57 
[2024/8/17 1:3:22] 物品:魔法药(小量)	怪物:03859D50僵尸3	地图:D413	X:31	Y:57 
[2024/8/17 1:3:23] 物品:魔法药(小量)	怪物:23725A80僵尸4	地图:D2002	X:29	Y:38 
[2024/8/17 1:3:28] 物品:魔法药(小量)	怪物:061CA9A0骷髅战士	地图:D002	X:222	Y:180 
