[2024/8/17 10:0:7] 物品:金创药(小量)	怪物:18664BA0僵尸5	地图:D422	X:244	Y:216 
[2024/8/17 10:0:7] 物品:魔法药(小量)	怪物:18664BA0僵尸5	地图:D422	X:244	Y:216 
[2024/8/17 10:0:9] 物品:金创药(中量)	怪物:1894BC00骷髅战士0	地图:D002	X:358	Y:57 
[2024/8/17 10:0:9] 物品:金创药(中量)	怪物:1894BC00骷髅战士0	地图:D002	X:358	Y:57 
[2024/8/17 10:0:9] 物品:金创药(中量)	怪物:1894BC00骷髅战士0	地图:D002	X:358	Y:57 
[2024/8/17 10:0:9] 物品:金创药(中量)	怪物:1894BC00骷髅战士0	地图:D002	X:358	Y:57 
[2024/8/17 10:0:9] 物品:魔法药(中量)	怪物:1894BC00骷髅战士0	地图:D002	X:358	Y:57 
[2024/8/17 10:0:9] 物品:魔法药(中量)	怪物:1894BC00骷髅战士0	地图:D002	X:358	Y:57 
[2024/8/17 10:0:9] 物品:魔法药(中量)	怪物:1894BC00骷髅战士0	地图:D002	X:358	Y:57 
[2024/8/17 10:0:9] 物品:魔法药(中量)	怪物:1894BC00骷髅战士0	地图:D002	X:358	Y:57 
[2024/8/17 10:0:16] 物品:魔法药(小量)	怪物:191E65C0僵尸5	地图:D422	X:235	Y:224 
[2024/8/17 10:0:24] 物品:小手镯	怪物:1C88D080骷髅战将0	地图:D002	X:250	Y:267 
[2024/8/17 10:0:24] 物品:金创药(中量)	怪物:1C88D080骷髅战将0	地图:D002	X:250	Y:267 
[2024/8/17 10:0:24] 物品:金创药(中量)	怪物:1C88D080骷髅战将0	地图:D002	X:250	Y:267 
[2024/8/17 10:0:24] 物品:金创药(中量)	怪物:1C88D080骷髅战将0	地图:D002	X:250	Y:267 
[2024/8/17 10:0:24] 物品:金创药(中量)	怪物:1C88D080骷髅战将0	地图:D002	X:250	Y:267 
[2024/8/17 10:0:24] 物品:魔法药(中量)	怪物:1C88D080骷髅战将0	地图:D002	X:250	Y:267 
[2024/8/17 10:0:24] 物品:魔法药(中量)	怪物:1C88D080骷髅战将0	地图:D002	X:250	Y:267 
[2024/8/17 10:0:24] 物品:魔法药(中量)	怪物:1C88D080骷髅战将0	地图:D002	X:250	Y:267 
[2024/8/17 10:0:24] 物品:魔法药(中量)	怪物:1C88D080骷髅战将0	地图:D002	X:250	Y:267 
[2024/8/17 10:0:31] 物品:铁手镯	怪物:1952A5D0钉耙猫	地图:0	X:273	Y:322 
[2024/8/17 10:0:36] 物品:金创药(小量)	怪物:30A682B0稻草人	地图:0	X:476	Y:509 
[2024/8/17 10:0:37] 物品:魔法药(小量)	怪物:1F0D3ED0僵尸5	地图:D406	X:147	Y:157 
[2024/8/17 10:0:40] 物品:金创药(小量)	怪物:28397090骷髅战士	地图:D002	X:354	Y:60 
[2024/8/17 10:0:40] 物品:小手镯	怪物:28397090骷髅战士	地图:D002	X:354	Y:60 
[2024/8/17 10:0:43] 物品:金创药(小量)	怪物:1C1F5DB0骷髅0	地图:D002	X:253	Y:282 
[2024/8/17 10:0:43] 物品:金创药(小量)	怪物:1C1F5DB0骷髅0	地图:D002	X:253	Y:282 
[2024/8/17 10:0:43] 物品:金创药(小量)	怪物:1C1F5DB0骷髅0	地图:D002	X:253	Y:282 
[2024/8/17 10:0:43] 物品:金创药(小量)	怪物:1C1F5DB0骷髅0	地图:D002	X:253	Y:282 
[2024/8/17 10:0:43] 物品:魔法药(小量)	怪物:1C1F5DB0骷髅0	地图:D002	X:253	Y:282 
[2024/8/17 10:0:43] 物品:魔法药(小量)	怪物:1C1F5DB0骷髅0	地图:D002	X:253	Y:282 
[2024/8/17 10:0:43] 物品:魔法药(小量)	怪物:1C1F5DB0骷髅0	地图:D002	X:253	Y:282 
[2024/8/17 10:0:43] 物品:魔法药(小量)	怪物:1C1F5DB0骷髅0	地图:D002	X:253	Y:282 
[2024/8/17 10:0:44] 物品:六角戒指	怪物:053B91A0掷斧骷髅0	地图:D002	X:357	Y:64 
[2024/8/17 10:0:44] 物品:金创药(中量)	怪物:053B91A0掷斧骷髅0	地图:D002	X:357	Y:64 
[2024/8/17 10:0:44] 物品:金创药(中量)	怪物:053B91A0掷斧骷髅0	地图:D002	X:357	Y:64 
[2024/8/17 10:0:44] 物品:金创药(中量)	怪物:053B91A0掷斧骷髅0	地图:D002	X:357	Y:64 
[2024/8/17 10:0:44] 物品:金创药(中量)	怪物:053B91A0掷斧骷髅0	地图:D002	X:357	Y:64 
[2024/8/17 10:0:44] 物品:魔法药(中量)	怪物:053B91A0掷斧骷髅0	地图:D002	X:357	Y:64 
[2024/8/17 10:0:44] 物品:魔法药(中量)	怪物:053B91A0掷斧骷髅0	地图:D002	X:357	Y:64 
[2024/8/17 10:0:44] 物品:魔法药(中量)	怪物:053B91A0掷斧骷髅0	地图:D002	X:357	Y:64 
[2024/8/17 10:0:44] 物品:魔法药(中量)	怪物:053B91A0掷斧骷髅0	地图:D002	X:357	Y:64 
[2024/8/17 10:0:51] 物品:六角戒指	怪物:28A13770骷髅战将0	地图:D002	X:352	Y:72 
[2024/8/17 10:0:51] 物品:金创药(中量)	怪物:28A13770骷髅战将0	地图:D002	X:352	Y:72 
[2024/8/17 10:0:51] 物品:金创药(中量)	怪物:28A13770骷髅战将0	地图:D002	X:352	Y:72 
[2024/8/17 10:0:51] 物品:金创药(中量)	怪物:28A13770骷髅战将0	地图:D002	X:352	Y:72 
[2024/8/17 10:0:51] 物品:金创药(中量)	怪物:28A13770骷髅战将0	地图:D002	X:352	Y:72 
[2024/8/17 10:0:51] 物品:魔法药(中量)	怪物:28A13770骷髅战将0	地图:D002	X:352	Y:72 
[2024/8/17 10:0:51] 物品:魔法药(中量)	怪物:28A13770骷髅战将0	地图:D002	X:352	Y:72 
[2024/8/17 10:0:51] 物品:魔法药(中量)	怪物:28A13770骷髅战将0	地图:D002	X:352	Y:72 
[2024/8/17 10:0:51] 物品:魔法药(中量)	怪物:28A13770骷髅战将0	地图:D002	X:352	Y:72 
[2024/8/17 10:0:58] 物品:金创药(中量)	怪物:19325B00掷斧骷髅0	地图:D002	X:345	Y:68 
[2024/8/17 10:0:58] 物品:金创药(中量)	怪物:19325B00掷斧骷髅0	地图:D002	X:345	Y:68 
[2024/8/17 10:0:58] 物品:金创药(中量)	怪物:19325B00掷斧骷髅0	地图:D002	X:345	Y:68 
[2024/8/17 10:0:58] 物品:金创药(中量)	怪物:19325B00掷斧骷髅0	地图:D002	X:345	Y:68 
[2024/8/17 10:0:58] 物品:魔法药(中量)	怪物:19325B00掷斧骷髅0	地图:D002	X:345	Y:68 
[2024/8/17 10:0:58] 物品:魔法药(中量)	怪物:19325B00掷斧骷髅0	地图:D002	X:345	Y:68 
[2024/8/17 10:0:58] 物品:魔法药(中量)	怪物:19325B00掷斧骷髅0	地图:D002	X:345	Y:68 
[2024/8/17 10:0:58] 物品:魔法药(中量)	怪物:19325B00掷斧骷髅0	地图:D002	X:345	Y:68 
[2024/8/17 10:1:3] 物品:金创药(小量)	怪物:1C02F650僵尸4	地图:D404	X:57	Y:160 
[2024/8/17 10:1:4] 物品:金创药(小量)	怪物:1CA00830僵尸5	地图:D422	X:228	Y:226 
[2024/8/17 10:1:4] 物品:召唤骷髅	怪物:1CA00830僵尸5	地图:D422	X:228	Y:226 
[2024/8/17 10:1:7] 物品:强效太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:太阳水	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效金创药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效金创药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
[2024/8/17 10:1:7] 物品:强效金创药	怪物:27FB4760虹魔蝎卫8	地图:H204	X:53	Y:94 
