[2024/8/17 11:0:10] 物品:金创药(中量)	怪物:309A1A60僵尸2	地图:D401	X:126	Y:145 
[2024/8/17 11:0:10] 物品:火墙	怪物:1C393F70尸王2	地图:Q004	X:13	Y:10 
[2024/8/17 11:0:15] 物品:铁剑	怪物:180DB0F0蜈蚣	地图:D601	X:66	Y:109 
[2024/8/17 11:0:24] 物品:道士手镯	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:黑檀手镯	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:蛇眼戒指	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:八荒	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:半月	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:蓝色水晶戒指	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:琥珀项链	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:凤凰明珠	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:坚固手套	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:魔力手镯	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:灯笼项链	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:太阳水	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:太阳水	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:太阳水	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:太阳水	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:金创药(中量)	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:金创药(中量)	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:金创药(中量)	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:金创药(中量)	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:魔法药(中量)	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:魔法药(中量)	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:魔法药(中量)	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:24] 物品:魔法药(中量)	怪物:1C1F5DB0黑色恶蛆0	地图:D601	X:66	Y:110 
[2024/8/17 11:0:28] 物品:召唤神兽	怪物:1C382080尸王2	地图:Q004	X:11	Y:12 
[2024/8/17 11:0:28] 物品:疾光电影	怪物:1C382080尸王2	地图:Q004	X:11	Y:12 
[2024/8/17 11:0:28] 物品:幽灵盾	怪物:1C382080尸王2	地图:Q004	X:11	Y:12 
[2024/8/17 11:0:28] 物品:爆裂火焰	怪物:1C382080尸王2	地图:Q004	X:11	Y:12 
[2024/8/17 11:0:28] 物品:施毒术	怪物:1C382080尸王2	地图:Q004	X:11	Y:12 
[2024/8/17 11:0:28] 物品:召唤骷髅	怪物:1C382080尸王2	地图:Q004	X:11	Y:12 
[2024/8/17 11:0:28] 物品:瞬息移动	怪物:1C382080尸王2	地图:Q004	X:11	Y:12 
[2024/8/17 11:0:28] 物品:太阳水	怪物:2876D390黑野猪8	地图:H002	X:252	Y:48 
[2024/8/17 11:0:29] 物品:银手镯	怪物:1C9719A0骷髅	地图:D002	X:293	Y:145 
[2024/8/17 11:0:37] 物品:金创药(中量)	怪物:1D776940祖玛卫士8	地图:H204	X:14	Y:44 
[2024/8/17 11:0:43] 物品:魔力手镯	怪物:1C196650巨型蠕虫	地图:D601	X:194	Y:34 
[2024/8/17 11:0:56] 物品:降妖除魔戒指	怪物:0D5B7CA0红野猪8	地图:H002	X:197	Y:211 
[2024/8/17 11:1:2] 物品:金创药(中量)	怪物:193E7530骷髅战将0	地图:D003	X:94	Y:221 
[2024/8/17 11:1:2] 物品:金创药(中量)	怪物:193E7530骷髅战将0	地图:D003	X:94	Y:221 
[2024/8/17 11:1:2] 物品:金创药(中量)	怪物:193E7530骷髅战将0	地图:D003	X:94	Y:221 
[2024/8/17 11:1:2] 物品:金创药(中量)	怪物:193E7530骷髅战将0	地图:D003	X:94	Y:221 
[2024/8/17 11:1:2] 物品:魔法药(中量)	怪物:193E7530骷髅战将0	地图:D003	X:94	Y:221 
[2024/8/17 11:1:2] 物品:魔法药(中量)	怪物:193E7530骷髅战将0	地图:D003	X:94	Y:221 
[2024/8/17 11:1:2] 物品:魔法药(中量)	怪物:193E7530骷髅战将0	地图:D003	X:94	Y:221 
[2024/8/17 11:1:2] 物品:魔法药(中量)	怪物:193E7530骷髅战将0	地图:D003	X:94	Y:221 
[2024/8/17 11:1:3] 物品:金手镯	怪物:15CC50E0红野猪8	地图:H002	X:260	Y:49 
[2024/8/17 11:1:8] 物品:太阳水	怪物:282389F0蜈蚣	地图:D601	X:188	Y:36 
[2024/8/17 11:1:9] 物品:爆裂火焰	怪物:1C371640尸王2	地图:Q004	X:14	Y:16 
[2024/8/17 11:1:9] 物品:瞬息移动	怪物:1C371640尸王2	地图:Q004	X:14	Y:16 
[2024/8/17 11:1:26] 物品:金创药(中量)	怪物:07D94090骷髅战将	地图:D002	X:295	Y:175 
[2024/8/17 11:1:29] 物品:太阳水	怪物:27BB4240蜈蚣	地图:D601	X:61	Y:125 
[2024/8/17 11:1:31] 物品:金创药(小量)	怪物:0D474860山洞蝙蝠	地图:D002	X:294	Y:183 
[2024/8/17 11:1:33] 物品:魔法药(小量)	怪物:051AED40山洞蝙蝠	地图:D002	X:295	Y:183 
[2024/8/17 11:1:36] 物品:强效太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:强效太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:强效太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:强效太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:强效太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:太阳水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:金创药(中量)	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:金创药(中量)	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:强效金创药	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:强效金创药	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:强效金创药	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:魔法药(中量)	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:魔法药(中量)	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:强效魔法药	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:强效魔法药	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:强效魔法药	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:攻击神水	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:金戒指	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:野蛮冲撞	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:魔法盾	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:爆裂火焰	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:36] 物品:施毒术	怪物:1F047CA0沃玛卫士8	地图:H204	X:33	Y:25 
[2024/8/17 11:1:39] 物品:坚固手套	怪物:1C6632E0祖玛雕像8	地图:H204	X:88	Y:51 
[2024/8/17 11:1:41] 物品:太阳水	怪物:28725350黑野猪8	地图:H002	X:206	Y:297 
[2024/8/17 11:1:54] 物品:金创药(小量)	怪物:1C0C5E90骷髅战士	地图:D003	X:106	Y:251 
[2024/8/17 11:1:55] 物品:太阳水	怪物:1C0E4530黑野猪8	地图:H002	X:269	Y:39 
[2024/8/17 11:2:8] 物品:黑檀项链	怪物:07CF1640掷斧骷髅	地图:D002	X:293	Y:193 
[2024/8/17 11:2:18] 物品:道士手镯	怪物:29BC70B0蜈蚣	地图:D601	X:34	Y:182 
[2024/8/17 11:2:20] 物品:太阳水	怪物:2A86C640黑野猪8	地图:H002	X:216	Y:97 
[2024/8/17 11:2:22] 物品:魔法药(小量)	怪物:1CBA9CF0山洞蝙蝠	地图:D003	X:109	Y:273 
[2024/8/17 11:2:23] 物品:太阳水	怪物:1EF9D5E0巨型蠕虫	地图:D601	X:56	Y:135 
[2024/8/17 11:2:24] 物品:皮制手套	怪物:193A5FA0骷髅	地图:D002	X:297	Y:198 
[2024/8/17 11:2:29] 物品:道士头盔	怪物:0530FD80黑野猪8	地图:H102	X:228	Y:215 
