[2024/8/17 16:0:40] 物品:太阳水	怪物:0DABD560黑野猪8	地图:H002	X:184	Y:212 
[2024/8/17 16:0:42] 物品:金创药(小量)	怪物:286D1D50骷髅0	地图:D002	X:325	Y:283 
[2024/8/17 16:0:42] 物品:金创药(小量)	怪物:286D1D50骷髅0	地图:D002	X:325	Y:283 
[2024/8/17 16:0:42] 物品:金创药(小量)	怪物:286D1D50骷髅0	地图:D002	X:325	Y:283 
[2024/8/17 16:0:42] 物品:金创药(小量)	怪物:286D1D50骷髅0	地图:D002	X:325	Y:283 
[2024/8/17 16:0:42] 物品:魔法药(小量)	怪物:286D1D50骷髅0	地图:D002	X:325	Y:283 
[2024/8/17 16:0:42] 物品:魔法药(小量)	怪物:286D1D50骷髅0	地图:D002	X:325	Y:283 
[2024/8/17 16:0:42] 物品:魔法药(小量)	怪物:286D1D50骷髅0	地图:D002	X:325	Y:283 
[2024/8/17 16:0:42] 物品:魔法药(小量)	怪物:286D1D50骷髅0	地图:D002	X:325	Y:283 
[2024/8/17 16:1:3] 物品:金创药(小量)	怪物:038A4E30骷髅战士	地图:D002	X:293	Y:266 
[2024/8/17 16:1:8] 物品:青铜斧	怪物:0518DA40火焰沃玛	地图:D024	X:26	Y:27 
[2024/8/17 16:1:13] 物品:魔法药(小量)	怪物:1BD6A270暗黑战士	地图:D024	X:26	Y:26 
[2024/8/17 16:1:19] 物品:太阳水	怪物:18E41B00黑色恶蛆8	地图:H004	X:111	Y:105 
[2024/8/17 16:1:34] 物品:强效太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:强效太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:强效太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:强效太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:强效太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:太阳水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:金创药(中量)	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:金创药(中量)	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:强效金创药	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:强效金创药	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:强效金创药	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:魔法药(中量)	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:魔法药(中量)	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:强效魔法药	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:强效魔法药	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:强效魔法药	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:攻击神水	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:思贝儿手镯	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:蓝色水晶戒指	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:烈火剑法	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:困魔咒	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:34] 物品:爆裂火焰	怪物:1BD53F70沃玛卫士	地图:B341	X:15	Y:30 
[2024/8/17 16:1:35] 物品:金创药(小量)	怪物:28D617F0山洞蝙蝠	地图:D002	X:285	Y:279 
[2024/8/17 16:1:45] 物品:魔法药(中量)	怪物:28526E20沃玛战将	地图:D024	X:26	Y:26 
[2024/8/17 16:1:51] 物品:钢手镯	怪物:18EC1FA0骷髅战士0	地图:D002	X:288	Y:295 
[2024/8/17 16:1:51] 物品:金创药(中量)	怪物:18EC1FA0骷髅战士0	地图:D002	X:288	Y:295 
[2024/8/17 16:1:51] 物品:金创药(中量)	怪物:18EC1FA0骷髅战士0	地图:D002	X:288	Y:295 
[2024/8/17 16:1:51] 物品:金创药(中量)	怪物:18EC1FA0骷髅战士0	地图:D002	X:288	Y:295 
[2024/8/17 16:1:51] 物品:金创药(中量)	怪物:18EC1FA0骷髅战士0	地图:D002	X:288	Y:295 
[2024/8/17 16:1:51] 物品:魔法药(中量)	怪物:18EC1FA0骷髅战士0	地图:D002	X:288	Y:295 
[2024/8/17 16:1:51] 物品:魔法药(中量)	怪物:18EC1FA0骷髅战士0	地图:D002	X:288	Y:295 
[2024/8/17 16:1:51] 物品:魔法药(中量)	怪物:18EC1FA0骷髅战士0	地图:D002	X:288	Y:295 
[2024/8/17 16:1:51] 物品:魔法药(中量)	怪物:18EC1FA0骷髅战士0	地图:D002	X:288	Y:295 
[2024/8/17 16:2:3] 物品:金创药(小量)	怪物:190CA020骷髅战士	地图:D002	X:289	Y:298 
[2024/8/17 16:2:4] 物品:金创药(小量)	怪物:15CC9370暗黑战士	地图:D024	X:67	Y:40 
[2024/8/17 16:2:8] 物品:太阳水	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:太阳水	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:太阳水	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:太阳水	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:金创药(中量)	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:金创药(中量)	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:金创药(中量)	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:金创药(中量)	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:魔法药(中量)	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:魔法药(中量)	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:魔法药(中量)	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:魔法药(中量)	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:半月	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:海魂	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:凌风	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:凤凰明珠	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:青铜斧	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:黑檀项链	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:黄色水晶项链	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:青铜头盔	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:8] 物品:竹笛	怪物:281AD830暗黑战士0	地图:D024	X:67	Y:36 
[2024/8/17 16:2:26] 物品:短剑	怪物:2F33EB90骷髅战士	地图:D002	X:274	Y:291 
[2024/8/17 16:2:30] 物品:魔法药(中量)	怪物:27070830红野猪	地图:D711	X:284	Y:141 
[2024/8/17 16:2:36] 物品:六角戒指	怪物:17E56E60掷斧骷髅	地图:D002	X:276	Y:286 
[2024/8/17 16:2:41] 物品:太阳水	怪物:1A44C800火焰沃玛0	地图:D024	X:33	Y:59 
[2024/8/17 16:2:57] 物品:玻璃戒指	怪物:188E8DB0骷髅0	地图:D002	X:276	Y:272 
[2024/8/17 16:2:57] 物品:金创药(小量)	怪物:188E8DB0骷髅0	地图:D002	X:276	Y:272 
[2024/8/17 16:2:57] 物品:金创药(小量)	怪物:188E8DB0骷髅0	地图:D002	X:276	Y:272 
[2024/8/17 16:2:57] 物品:金创药(小量)	怪物:188E8DB0骷髅0	地图:D002	X:276	Y:272 
[2024/8/17 16:2:57] 物品:金创药(小量)	怪物:188E8DB0骷髅0	地图:D002	X:276	Y:272 
[2024/8/17 16:2:57] 物品:魔法药(小量)	怪物:188E8DB0骷髅0	地图:D002	X:276	Y:272 
[2024/8/17 16:2:57] 物品:魔法药(小量)	怪物:188E8DB0骷髅0	地图:D002	X:276	Y:272 
[2024/8/17 16:2:57] 物品:魔法药(小量)	怪物:188E8DB0骷髅0	地图:D002	X:276	Y:272 
[2024/8/17 16:2:57] 物品:魔法药(小量)	怪物:188E8DB0骷髅0	地图:D002	X:276	Y:272 
[2024/8/17 16:3:10] 物品:轻型盔甲(女)	怪物:185A4B60掷斧骷髅	地图:D002	X:267	Y:259 
[2024/8/17 16:3:11] 物品:太阳水	怪物:1DE83AB0黑色恶蛆	地图:D711	X:307	Y:74 
[2024/8/17 16:3:31] 物品:八荒	怪物:0D941890半兽勇士9	地图:11	X:97	Y:408 
[2024/8/17 16:3:40] 物品:木剑	怪物:1B7A01A0半兽战士	地图:11	X:70	Y:434 
[2024/8/17 16:3:42] 物品:铁手镯	怪物:1B91B820多钩猫0	地图:11	X:70	Y:436 
[2024/8/17 16:3:42] 物品:传统项链	怪物:1B91B820多钩猫0	地图:11	X:70	Y:436 
[2024/8/17 16:3:42] 物品:金创药(小量)	怪物:1B91B820多钩猫0	地图:11	X:70	Y:436 
[2024/8/17 16:3:42] 物品:金创药(小量)	怪物:1B91B820多钩猫0	地图:11	X:70	Y:436 
[2024/8/17 16:3:42] 物品:金创药(小量)	怪物:1B91B820多钩猫0	地图:11	X:70	Y:436 
[2024/8/17 16:3:42] 物品:金创药(小量)	怪物:1B91B820多钩猫0	地图:11	X:70	Y:436 
[2024/8/17 16:3:42] 物品:魔法药(小量)	怪物:1B91B820多钩猫0	地图:11	X:70	Y:436 
[2024/8/17 16:3:42] 物品:魔法药(小量)	怪物:1B91B820多钩猫0	地图:11	X:70	Y:436 
[2024/8/17 16:3:42] 物品:魔法药(小量)	怪物:1B91B820多钩猫0	地图:11	X:70	Y:436 
[2024/8/17 16:3:42] 物品:魔法药(小量)	怪物:1B91B820多钩猫0	地图:11	X:70	Y:436 
[2024/8/17 16:3:49] 物品:牛角戒指	怪物:18241870骷髅战将	地图:D002	X:253	Y:262 
[2024/8/17 16:3:54] 物品:钢手镯	怪物:1904A420骷髅战将0	地图:D002	X:254	Y:262 
[2024/8/17 16:3:54] 物品:金创药(中量)	怪物:1904A420骷髅战将0	地图:D002	X:254	Y:262 
[2024/8/17 16:3:54] 物品:金创药(中量)	怪物:1904A420骷髅战将0	地图:D002	X:254	Y:262 
[2024/8/17 16:3:54] 物品:金创药(中量)	怪物:1904A420骷髅战将0	地图:D002	X:254	Y:262 
[2024/8/17 16:3:54] 物品:金创药(中量)	怪物:1904A420骷髅战将0	地图:D002	X:254	Y:262 
[2024/8/17 16:3:54] 物品:魔法药(中量)	怪物:1904A420骷髅战将0	地图:D002	X:254	Y:262 
[2024/8/17 16:3:54] 物品:魔法药(中量)	怪物:1904A420骷髅战将0	地图:D002	X:254	Y:262 
[2024/8/17 16:3:54] 物品:魔法药(中量)	怪物:1904A420骷髅战将0	地图:D002	X:254	Y:262 
[2024/8/17 16:3:54] 物品:魔法药(中量)	怪物:1904A420骷髅战将0	地图:D002	X:254	Y:262 
[2024/8/17 16:3:56] 物品:魔法药(小量)	怪物:30817350稻草人	地图:0	X:317	Y:490 
[2024/8/17 16:3:59] 物品:强效太阳水	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效太阳水	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效太阳水	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效太阳水	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:太阳水	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:太阳水	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:疗伤药	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:疗伤药	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效太阳水	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效太阳水	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效金创药	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效金创药	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效金创药	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效金创药	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效魔法药	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效魔法药	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效魔法药	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:强效魔法药	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:灵魂战衣(女)	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:金戒指	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:道士手镯	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:降魔	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:黑色水晶戒指	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:珍珠戒指	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:白金项链	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:骷髅戒指	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:3:59] 物品:小手镯	怪物:1B776980半兽统领	地图:11	X:68	Y:430 
[2024/8/17 16:4:0] 物品:匕首	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:0] 物品:金项链	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:0] 物品:古铜戒指	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:0] 物品:铁手镯	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:0] 物品:传统项链	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:0] 物品:金创药(小量)	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:0] 物品:金创药(小量)	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:0] 物品:金创药(小量)	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:0] 物品:金创药(小量)	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:0] 物品:魔法药(小量)	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:0] 物品:魔法药(小量)	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:0] 物品:魔法药(小量)	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:0] 物品:魔法药(小量)	怪物:05888D50多钩猫0	地图:11	X:68	Y:428 
[2024/8/17 16:4:11] 物品:金创药(中量)	怪物:1DF795E0红野猪	地图:D711	X:319	Y:299 
[2024/8/17 16:4:15] 物品:金创药(小量)	怪物:2A891D50骷髅0	地图:D002	X:244	Y:256 
[2024/8/17 16:4:15] 物品:金创药(小量)	怪物:2A891D50骷髅0	地图:D002	X:244	Y:256 
[2024/8/17 16:4:15] 物品:金创药(小量)	怪物:2A891D50骷髅0	地图:D002	X:244	Y:256 
[2024/8/17 16:4:15] 物品:金创药(小量)	怪物:2A891D50骷髅0	地图:D002	X:244	Y:256 
[2024/8/17 16:4:15] 物品:魔法药(小量)	怪物:2A891D50骷髅0	地图:D002	X:244	Y:256 
[2024/8/17 16:4:15] 物品:魔法药(小量)	怪物:2A891D50骷髅0	地图:D002	X:244	Y:256 
[2024/8/17 16:4:15] 物品:魔法药(小量)	怪物:2A891D50骷髅0	地图:D002	X:244	Y:256 
[2024/8/17 16:4:15] 物品:魔法药(小量)	怪物:2A891D50骷髅0	地图:D002	X:244	Y:256 
[2024/8/17 16:4:28] 物品:金手镯	怪物:1E0B3D20黑色恶蛆	地图:D711	X:320	Y:307 
[2024/8/17 16:4:32] 物品:金创药(小量)	怪物:23593EF0骷髅战士	地图:D002	X:235	Y:258 
[2024/8/17 16:4:32] 物品:魔法药(小量)	怪物:23593EF0骷髅战士	地图:D002	X:235	Y:258 
[2024/8/17 16:4:36] 物品:灯笼项链	怪物:20853080掷斧骷髅	地图:D002	X:231	Y:253 
[2024/8/17 16:5:4] 物品:魔法长袍(男)	怪物:1DF04720黑野猪	地图:D711	X:330	Y:296 
[2024/8/17 16:5:4] 物品:凤凰明珠	怪物:1DF04720黑野猪	地图:D711	X:330	Y:296 
