[2024/8/17 20:0:5] 物品:海魂	怪物:29A84010骷髅战将	地图:D003	X:195	Y:245 
[2024/8/17 20:0:7] 物品:金戒指	怪物:1EA11450祖玛卫士	地图:D5072	X:61	Y:75 
[2024/8/17 20:0:8] 物品:金创药(小量)	怪物:27B6EE60僵尸5	地图:H201	X:44	Y:42 
[2024/8/17 20:0:8] 物品:太阳水	怪物:27B6EE60僵尸5	地图:H201	X:44	Y:42 
[2024/8/17 20:0:8] 物品:降魔	怪物:19B9AAC0祖玛雕像8	地图:H204	X:22	Y:26 
[2024/8/17 20:0:9] 物品:强效太阳水	怪物:1A5B2790尸王8	地图:H201	X:45	Y:40 
[2024/8/17 20:0:9] 物品:强效太阳水	怪物:1A5B2790尸王8	地图:H201	X:45	Y:40 
[2024/8/17 20:0:9] 物品:强效太阳水	怪物:1A5B2790尸王8	地图:H201	X:45	Y:40 
[2024/8/17 20:0:9] 物品:强效太阳水	怪物:1A5B2790尸王8	地图:H201	X:45	Y:40 
[2024/8/17 20:0:9] 物品:强效太阳水	怪物:1A5B2790尸王8	地图:H201	X:45	Y:40 
[2024/8/17 20:0:9] 物品:强效金创药	怪物:1A5B2790尸王8	地图:H201	X:45	Y:40 
[2024/8/17 20:0:9] 物品:强效金创药	怪物:1A5B2790尸王8	地图:H201	X:45	Y:40 
[2024/8/17 20:0:9] 物品:强效魔法药	怪物:1A5B2790尸王8	地图:H201	X:45	Y:40 
[2024/8/17 20:0:9] 物品:强效魔法药	怪物:1A5B2790尸王8	地图:H201	X:45	Y:40 
[2024/8/17 20:0:9] 物品:黑檀手镯	怪物:1A5B2790尸王8	地图:H201	X:45	Y:40 
[2024/8/17 20:0:9] 物品:魔力手镯	怪物:1A5B2790尸王8	地图:H201	X:45	Y:40 
[2024/8/17 20:0:10] 物品:金创药(小量)	怪物:0D62EDC0骷髅0	地图:D003	X:193	Y:245 
[2024/8/17 20:0:10] 物品:金创药(小量)	怪物:0D62EDC0骷髅0	地图:D003	X:193	Y:245 
[2024/8/17 20:0:10] 物品:金创药(小量)	怪物:0D62EDC0骷髅0	地图:D003	X:193	Y:245 
[2024/8/17 20:0:10] 物品:金创药(小量)	怪物:0D62EDC0骷髅0	地图:D003	X:193	Y:245 
[2024/8/17 20:0:10] 物品:魔法药(小量)	怪物:0D62EDC0骷髅0	地图:D003	X:193	Y:245 
[2024/8/17 20:0:10] 物品:魔法药(小量)	怪物:0D62EDC0骷髅0	地图:D003	X:193	Y:245 
[2024/8/17 20:0:10] 物品:魔法药(小量)	怪物:0D62EDC0骷髅0	地图:D003	X:193	Y:245 
[2024/8/17 20:0:10] 物品:魔法药(小量)	怪物:0D62EDC0骷髅0	地图:D003	X:193	Y:245 
[2024/8/17 20:0:11] 物品:幽灵盾	怪物:2835A1D0僵尸5	地图:H201	X:111	Y:164 
[2024/8/17 20:0:16] 物品:青铜斧	怪物:2867A900掷斧骷髅	地图:D003	X:188	Y:241 
[2024/8/17 20:0:18] 物品:魔法药(小量)	怪物:1F09DF00骷髅战士	地图:D001	X:347	Y:379 
[2024/8/17 20:0:22] 物品:青铜剑	怪物:2A753380骷髅战士	地图:D002	X:308	Y:133 
[2024/8/17 20:0:26] 物品:金创药(小量)	怪物:19E9D540僵尸5	地图:H201	X:107	Y:172 
[2024/8/17 20:0:31] 物品:强效太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:强效太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:强效太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:强效太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:强效太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:太阳水	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:金创药(中量)	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:金创药(中量)	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:强效金创药	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:强效金创药	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:强效金创药	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:魔法药(中量)	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:魔法药(中量)	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:强效魔法药	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:强效魔法药	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:强效魔法药	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:爆裂火焰	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:31] 物品:神圣战甲术	怪物:1C537FB0沃玛卫士8	地图:H204	X:22	Y:25 
[2024/8/17 20:0:33] 物品:金创药(中量)	怪物:057E6C60僵尸1	地图:H201	X:105	Y:173 
[2024/8/17 20:0:38] 物品:金创药(小量)	怪物:1C182FB0山洞蝙蝠	地图:D003	X:199	Y:227 
[2024/8/17 20:0:39] 物品:幽灵盾	怪物:2B402B90恶灵尸王	地图:H201	X:53	Y:31 
[2024/8/17 20:0:39] 物品:隐身术	怪物:2B402B90恶灵尸王	地图:H201	X:53	Y:31 
[2024/8/17 20:0:39] 物品:施毒术	怪物:2B402B90恶灵尸王	地图:H201	X:53	Y:31 
[2024/8/17 20:0:39] 物品:灵魂火符	怪物:2B402B90恶灵尸王	地图:H201	X:53	Y:31 
[2024/8/17 20:0:44] 物品:金创药(中量)	怪物:27EB5520恶灵尸王	地图:H201	X:50	Y:36 
[2024/8/17 20:0:44] 物品:疾光电影	怪物:27EB5520恶灵尸王	地图:H201	X:50	Y:36 
[2024/8/17 20:0:44] 物品:幽灵盾	怪物:27EB5520恶灵尸王	地图:H201	X:50	Y:36 
[2024/8/17 20:0:44] 物品:隐身术	怪物:27EB5520恶灵尸王	地图:H201	X:50	Y:36 
[2024/8/17 20:0:44] 物品:灵魂火符	怪物:27EB5520恶灵尸王	地图:H201	X:50	Y:36 
[2024/8/17 20:0:44] 物品:诱惑之光	怪物:27EB5520恶灵尸王	地图:H201	X:50	Y:36 
[2024/8/17 20:0:49] 物品:金创药(小量)	怪物:28BD62D0骷髅战士	地图:D001	X:334	Y:390 
[2024/8/17 20:0:52] 物品:金创药(小量)	怪物:057460F0山洞蝙蝠	地图:D001	X:311	Y:377 
[2024/8/17 20:0:54] 物品:强效太阳水	怪物:18564C00尸王8	地图:H201	X:100	Y:175 
