[2024/8/17 22:0:1] 物品:魔法药(小量)	怪物:057E6C60僵尸5	地图:H201	X:112	Y:17 
[2024/8/17 22:0:10] 物品:太阳水	怪物:1C137F70魔龙破甲兵	地图:66	X:181	Y:58 
[2024/8/17 22:0:10] 物品:魅力戒指	怪物:1C137F70魔龙破甲兵	地图:66	X:181	Y:58 
[2024/8/17 22:0:10] 物品:金手镯	怪物:18BE4430红野猪8	地图:H002	X:142	Y:242 
[2024/8/17 22:0:20] 物品:强效太阳水	怪物:2DD65A80尸王8	地图:H201	X:103	Y:12 
[2024/8/17 22:0:20] 物品:强效太阳水	怪物:2DD65A80尸王8	地图:H201	X:103	Y:12 
[2024/8/17 22:0:20] 物品:强效太阳水	怪物:2DD65A80尸王8	地图:H201	X:103	Y:12 
[2024/8/17 22:0:20] 物品:强效太阳水	怪物:2DD65A80尸王8	地图:H201	X:103	Y:12 
[2024/8/17 22:0:20] 物品:强效太阳水	怪物:2DD65A80尸王8	地图:H201	X:103	Y:12 
[2024/8/17 22:0:20] 物品:强效金创药	怪物:2DD65A80尸王8	地图:H201	X:103	Y:12 
[2024/8/17 22:0:20] 物品:强效金创药	怪物:2DD65A80尸王8	地图:H201	X:103	Y:12 
[2024/8/17 22:0:20] 物品:强效魔法药	怪物:2DD65A80尸王8	地图:H201	X:103	Y:12 
[2024/8/17 22:0:20] 物品:强效魔法药	怪物:2DD65A80尸王8	地图:H201	X:103	Y:12 
[2024/8/17 22:0:20] 物品:死神手套	怪物:2DD65A80尸王8	地图:H201	X:103	Y:12 
[2024/8/17 22:0:22] 物品:灵魂战衣(男)	怪物:2DBAC090魔龙血蛙	地图:66	X:191	Y:51 
[2024/8/17 22:0:22] 物品:金手镯	怪物:2DBAC090魔龙血蛙	地图:66	X:191	Y:51 
[2024/8/17 22:0:25] 物品:金创药(小量)	怪物:0D650240僵尸5	地图:H201	X:105	Y:11 
[2024/8/17 22:0:27] 物品:金创药(小量)	怪物:1D903050僵尸4	地图:H201	X:105	Y:12 
[2024/8/17 22:0:30] 物品:强效太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:强效太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
[2024/8/17 22:0:30] 物品:太阳水	怪物:19266820触龙神8	地图:H004	X:62	Y:154 
