[2024/8/17 3:0:10] 物品:黑檀项链	怪物:28BD3670骷髅	地图:D003	X:302	Y:302 
[2024/8/17 3:0:12] 物品:精神力药水	怪物:17DCC260僵尸2	地图:D401	X:155	Y:153 
[2024/8/17 3:0:21] 物品:金创药(小量)	怪物:29C6D870僵尸3	地图:D401	X:158	Y:159 
[2024/8/17 3:1:17] 物品:金创药(中量)	怪物:30A44350骷髅战将	地图:D003	X:338	Y:122 
[2024/8/17 3:1:24] 物品:金创药(小量)	怪物:1B6FEF00僵尸3	地图:D401	X:148	Y:117 
[2024/8/17 3:1:26] 物品:强效太阳水	怪物:2820ADC0骷髅精灵	地图:D003	X:248	Y:276 
[2024/8/17 3:1:26] 物品:生铁戒指	怪物:2820ADC0骷髅精灵	地图:D003	X:248	Y:276 
[2024/8/17 3:1:26] 物品:攻杀剑术	怪物:2820ADC0骷髅精灵	地图:D003	X:248	Y:276 
[2024/8/17 3:1:26] 物品:地狱火	怪物:2820ADC0骷髅精灵	地图:D003	X:248	Y:276 
[2024/8/17 3:1:26] 物品:钢手镯	怪物:2820ADC0骷髅精灵	地图:D003	X:248	Y:276 
[2024/8/17 3:1:55] 物品:金创药(中量)	怪物:29A8C530掷斧骷髅0	地图:D003	X:249	Y:264 
[2024/8/17 3:1:55] 物品:金创药(中量)	怪物:29A8C530掷斧骷髅0	地图:D003	X:249	Y:264 
[2024/8/17 3:1:55] 物品:金创药(中量)	怪物:29A8C530掷斧骷髅0	地图:D003	X:249	Y:264 
[2024/8/17 3:1:55] 物品:金创药(中量)	怪物:29A8C530掷斧骷髅0	地图:D003	X:249	Y:264 
[2024/8/17 3:1:55] 物品:魔法药(中量)	怪物:29A8C530掷斧骷髅0	地图:D003	X:249	Y:264 
[2024/8/17 3:1:55] 物品:魔法药(中量)	怪物:29A8C530掷斧骷髅0	地图:D003	X:249	Y:264 
[2024/8/17 3:1:55] 物品:魔法药(中量)	怪物:29A8C530掷斧骷髅0	地图:D003	X:249	Y:264 
[2024/8/17 3:1:55] 物品:魔法药(中量)	怪物:29A8C530掷斧骷髅0	地图:D003	X:249	Y:264 
[2024/8/17 3:2:4] 物品:太阳水	怪物:18F99430骷髅战将	地图:D003	X:247	Y:258 
[2024/8/17 3:2:11] 物品:黄色水晶项链	怪物:0DB71B00骷髅战士	地图:D003	X:249	Y:258 
[2024/8/17 3:2:30] 物品:金创药(小量)	怪物:057B7AD0僵尸3	地图:D401	X:148	Y:105 
[2024/8/17 3:2:45] 物品:魔法药(中量)	怪物:1EEDCE50骷髅战将	地图:D003	X:323	Y:123 
[2024/8/17 3:2:45] 物品:轻型盔甲(男)	怪物:1EEDCE50骷髅战将	地图:D003	X:323	Y:123 
[2024/8/17 3:3:10] 物品:魔法药(中量)	怪物:19437ED0骷髅战将	地图:D003	X:235	Y:226 
[2024/8/17 3:3:10] 物品:蓝色水晶戒指	怪物:19437ED0骷髅战将	地图:D003	X:235	Y:226 
[2024/8/17 3:3:22] 物品:金创药(中量)	怪物:29AD49B0骷髅战士0	地图:D003	X:219	Y:222 
[2024/8/17 3:3:22] 物品:金创药(中量)	怪物:29AD49B0骷髅战士0	地图:D003	X:219	Y:222 
[2024/8/17 3:3:22] 物品:金创药(中量)	怪物:29AD49B0骷髅战士0	地图:D003	X:219	Y:222 
[2024/8/17 3:3:22] 物品:金创药(中量)	怪物:29AD49B0骷髅战士0	地图:D003	X:219	Y:222 
[2024/8/17 3:3:22] 物品:魔法药(中量)	怪物:29AD49B0骷髅战士0	地图:D003	X:219	Y:222 
[2024/8/17 3:3:22] 物品:魔法药(中量)	怪物:29AD49B0骷髅战士0	地图:D003	X:219	Y:222 
[2024/8/17 3:3:22] 物品:魔法药(中量)	怪物:29AD49B0骷髅战士0	地图:D003	X:219	Y:222 
[2024/8/17 3:3:22] 物品:魔法药(中量)	怪物:29AD49B0骷髅战士0	地图:D003	X:219	Y:222 
[2024/8/17 3:4:2] 物品:金创药(小量)	怪物:1EFE98B0僵尸3	地图:D401	X:143	Y:69 
[2024/8/17 3:4:4] 物品:大手镯	怪物:2773DA40骷髅0	地图:D003	X:328	Y:98 
[2024/8/17 3:4:4] 物品:金创药(小量)	怪物:2773DA40骷髅0	地图:D003	X:328	Y:98 
[2024/8/17 3:4:4] 物品:金创药(小量)	怪物:2773DA40骷髅0	地图:D003	X:328	Y:98 
[2024/8/17 3:4:4] 物品:金创药(小量)	怪物:2773DA40骷髅0	地图:D003	X:328	Y:98 
