[2024/8/17 4:0:16] 物品:太阳水	怪物:1C27C720黑色恶蛆8	地图:H001	X:24	Y:63 
[2024/8/17 4:2:20] 物品:金创药(中量)	怪物:28A72E00恶灵僵尸8	地图:H001	X:21	Y:51 
[2024/8/17 4:6:0] 物品:魔法药(小量)	怪物:1EF52940僵尸3	地图:D401	X:22	Y:154 
[2024/8/17 4:7:16] 物品:金创药(中量)	怪物:283AA730恶灵僵尸8	地图:H001	X:9	Y:14 
[2024/8/17 4:10:3] 物品:太阳水	怪物:2876D390黑野猪8	地图:H002	X:227	Y:218 
[2024/8/17 4:10:12] 物品:重盔甲(女)	怪物:181B13B0跳跳蜂8	地图:H001	X:96	Y:47 
[2024/8/17 4:11:49] 物品:强效太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:强效太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:强效太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:强效太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:强效太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:太阳水	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:金创药(中量)	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:金创药(中量)	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:强效金创药	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:强效金创药	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:强效金创药	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:魔法药(中量)	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
[2024/8/17 4:11:49] 物品:魔法药(中量)	怪物:18DBB190沃玛卫士8	地图:H003	X:21	Y:26 
