[2024/8/17 5:0:6] 物品:金创药(小量)	怪物:190F9100僵尸3	地图:D401	X:89	Y:175 
[2024/8/17 5:0:25] 物品:地狱火	怪物:282DA5D0僵尸3	地图:D401	X:125	Y:161 
[2024/8/17 5:0:33] 物品:太阳水	怪物:285BF800黑野猪8	地图:H002	X:319	Y:71 
[2024/8/17 5:0:34] 物品:金创药(小量)	怪物:0587AF70僵尸3	地图:D401	X:138	Y:151 
[2024/8/17 5:0:34] 物品:精神力战法	怪物:0587AF70僵尸3	地图:D401	X:138	Y:151 
[2024/8/17 5:0:45] 物品:太阳水	怪物:27806B30宝箱2	地图:D2079	X:36	Y:51 
[2024/8/17 5:0:45] 物品:太阳水	怪物:27806B30宝箱2	地图:D2079	X:36	Y:51 
[2024/8/17 5:0:45] 物品:太阳水	怪物:27806B30宝箱2	地图:D2079	X:36	Y:51 
[2024/8/17 5:0:45] 物品:破魂	怪物:27806B30宝箱2	地图:D2079	X:36	Y:51 
[2024/8/17 5:0:45] 物品:白金项链	怪物:27806B30宝箱2	地图:D2079	X:36	Y:51 
[2024/8/17 5:0:48] 物品:金创药(小量)	怪物:2F150D60僵尸3	地图:D401	X:144	Y:159 
[2024/8/17 5:0:48] 物品:太阳水	怪物:27808160宝箱2	地图:D2079	X:26	Y:54 
[2024/8/17 5:0:48] 物品:黑色水晶戒指	怪物:27808160宝箱2	地图:D2079	X:26	Y:54 
[2024/8/17 5:0:48] 物品:小手镯	怪物:27808160宝箱2	地图:D2079	X:26	Y:54 
[2024/8/17 5:0:48] 物品:大手镯	怪物:27808160宝箱2	地图:D2079	X:26	Y:54 
[2024/8/17 5:0:57] 物品:金创药(中量)	怪物:30930B90僵尸2	地图:D401	X:141	Y:159 
[2024/8/17 5:1:6] 物品:金创药(小量)	怪物:0587AF70僵尸3	地图:D401	X:141	Y:159 
[2024/8/17 5:1:56] 物品:金创药(小量)	怪物:281C2940僵尸3	地图:D401	X:152	Y:140 
[2024/8/17 5:2:38] 物品:魔法药(中量)	怪物:284FA820僵尸2	地图:D401	X:128	Y:142 
[2024/8/17 5:2:53] 物品:金创药(小量)	怪物:058B7FB0僵尸3	地图:D401	X:138	Y:146 
[2024/8/17 5:3:14] 物品:金创药(中量)	怪物:17CDDC70僵尸2	地图:D401	X:153	Y:126 
[2024/8/17 5:3:29] 物品:魔法药(小量)	怪物:1C2EB4A0僵尸3	地图:D401	X:160	Y:125 
[2024/8/17 5:3:34] 物品:瞬息移动	怪物:29C48160僵尸2	地图:D401	X:158	Y:124 
[2024/8/17 5:4:54] 物品:魔法力药水	怪物:280C8160僵尸3	地图:D401	X:144	Y:86 
[2024/8/17 5:5:3] 物品:魔法药(小量)	怪物:28A31910僵尸3	地图:D401	X:133	Y:82 
[2024/8/17 5:5:13] 物品:太阳水	怪物:30F27E50黑野猪8	地图:H002	X:340	Y:92 
[2024/8/17 5:5:34] 物品:金创药(小量)	怪物:29C08640僵尸3	地图:D401	X:46	Y:45 
[2024/8/17 5:5:57] 物品:魔法药(小量)	怪物:29C08640僵尸3	地图:D401	X:46	Y:45 
[2024/8/17 5:6:14] 物品:金创药(小量)	怪物:03AC74F0僵尸3	地图:D401	X:139	Y:99 
[2024/8/17 5:6:31] 物品:太阳水	怪物:285CBFB0黑野猪8	地图:H002	X:342	Y:95 
[2024/8/17 5:6:55] 物品:金创药(中量)	怪物:19EB3840恶灵僵尸8	地图:H001	X:45	Y:53 
[2024/8/17 5:7:3] 物品:魔法药(小量)	怪物:27827FB0僵尸3	地图:D401	X:147	Y:98 
[2024/8/17 5:7:12] 物品:魔法药(小量)	怪物:057939F0僵尸3	地图:D401	X:38	Y:58 
[2024/8/17 5:7:44] 物品:金创药(小量)	怪物:18AF9A80僵尸3	地图:D401	X:171	Y:97 
[2024/8/17 5:8:0] 物品:强效太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:强效太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:强效太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:强效太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:强效太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:太阳水	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:金创药(中量)	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:金创药(中量)	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:强效金创药	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:强效金创药	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:强效金创药	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:魔法药(中量)	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:魔法药(中量)	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:强效魔法药	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:强效魔法药	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:强效魔法药	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:铂金戒指	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:灵魂战衣(男)	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:0] 物品:瞬息移动	怪物:05753ED0沃玛卫士8	地图:H003	X:61	Y:44 
[2024/8/17 5:8:51] 物品:太阳水	怪物:285C7D20黑野猪8	地图:H002	X:315	Y:88 
[2024/8/17 5:9:13] 物品:金创药(小量)	怪物:27854430僵尸3	地图:D401	X:157	Y:40 
[2024/8/17 5:9:42] 物品:魔法药(小量)	怪物:2787C290僵尸3	地图:D401	X:163	Y:29 
[2024/8/17 5:10:56] 物品:金创药(小量)	怪物:28DB3380僵尸3	地图:D401	X:176	Y:33 
[2024/8/17 5:11:20] 物品:金创药(小量)	怪物:17EA73C0僵尸3	地图:D401	X:177	Y:42 
[2024/8/17 5:11:20] 物品:精神力药水	怪物:17EA73C0僵尸3	地图:D401	X:177	Y:42 
[2024/8/17 5:12:0] 物品:施毒术	怪物:308469D0僵尸3	地图:D401	X:164	Y:39 
[2024/8/17 5:12:11] 物品:抗拒火环	怪物:2843EAF0僵尸3	地图:D401	X:181	Y:48 
[2024/8/17 5:12:16] 物品:强效太阳水	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效太阳水	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效太阳水	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效太阳水	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:太阳水	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:太阳水	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:疗伤药	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:疗伤药	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效太阳水	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效太阳水	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效金创药	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效金创药	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效金创药	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效金创药	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效魔法药	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效魔法药	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效魔法药	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:强效魔法药	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:魔法长袍(男)	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
[2024/8/17 5:12:16] 物品:金戒指	怪物:1B708A50半兽统领	地图:11	X:143	Y:295 
