[2024/8/17 6:0:9] 物品:黑色水晶戒指	怪物:1EF5AE60蜈蚣	地图:D601	X:60	Y:113 
[2024/8/17 6:0:29] 物品:太阳水	怪物:191AB8A0巨型蠕虫	地图:D601	X:67	Y:107 
[2024/8/17 6:0:36] 物品:强效太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:强效太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:强效太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:强效太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:强效太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:太阳水	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:金创药(中量)	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:金创药(中量)	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:强效金创药	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:强效金创药	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:强效金创药	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:魔法药(中量)	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:魔法药(中量)	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:强效魔法药	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:强效魔法药	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:强效魔法药	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:龙之戒指	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:0:36] 物品:半月弯刀	怪物:285626B0沃玛卫士8	地图:H003	X:63	Y:69 
[2024/8/17 6:1:24] 物品:金创药(小量)	怪物:29BBD560僵尸3	地图:D401	X:151	Y:144 
[2024/8/17 6:1:32] 物品:金创药(小量)	怪物:27EE9EC0僵尸3	地图:D401	X:157	Y:153 
[2024/8/17 6:2:6] 物品:雷电术	怪物:18341D50僵尸3	地图:D401	X:133	Y:153 
[2024/8/17 6:2:33] 物品:金创药(小量)	怪物:18341D50僵尸3	地图:D401	X:133	Y:152 
[2024/8/17 6:3:7] 物品:太阳水	怪物:1EFB91A0蜈蚣	地图:D601	X:25	Y:129 
[2024/8/17 6:3:15] 物品:太阳水	怪物:1F1217D0跳跳蜂	地图:D601	X:24	Y:129 
[2024/8/17 6:3:24] 物品:攻击力药水	怪物:193EB7C0僵尸3	地图:D401	X:128	Y:111 
[2024/8/17 6:3:24] 物品:黑檀手镯	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:破魂	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:斩马刀	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:偃月	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:白色虎齿项链	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:白金项链	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:半月	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:海魂	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:魔鬼项链	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:琥珀项链	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:凤凰明珠	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:灯笼项链	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:太阳水	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:太阳水	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:太阳水	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:太阳水	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:金创药(中量)	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:金创药(中量)	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:金创药(中量)	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:金创药(中量)	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:魔法药(中量)	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:魔法药(中量)	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:魔法药(中量)	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:24] 物品:魔法药(中量)	怪物:1F03C780巨型蠕虫0	地图:D601	X:23	Y:140 
[2024/8/17 6:3:36] 物品:金创药(小量)	怪物:18F90F10僵尸3	地图:D401	X:120	Y:103 
[2024/8/17 6:3:43] 物品:抗拒火环	怪物:2A895FE0僵尸2	地图:D401	X:121	Y:102 
[2024/8/17 6:4:13] 物品:太阳水	怪物:1F03F780蜈蚣0	地图:D601	X:13	Y:165 
[2024/8/17 6:4:13] 物品:太阳水	怪物:1F03F780蜈蚣0	地图:D601	X:13	Y:165 
[2024/8/17 6:4:13] 物品:太阳水	怪物:1F03F780蜈蚣0	地图:D601	X:13	Y:165 
[2024/8/17 6:4:13] 物品:太阳水	怪物:1F03F780蜈蚣0	地图:D601	X:13	Y:165 
[2024/8/17 6:4:13] 物品:金创药(中量)	怪物:1F03F780蜈蚣0	地图:D601	X:13	Y:165 
[2024/8/17 6:4:13] 物品:金创药(中量)	怪物:1F03F780蜈蚣0	地图:D601	X:13	Y:165 
[2024/8/17 6:4:13] 物品:金创药(中量)	怪物:1F03F780蜈蚣0	地图:D601	X:13	Y:165 
[2024/8/17 6:4:13] 物品:金创药(中量)	怪物:1F03F780蜈蚣0	地图:D601	X:13	Y:165 
[2024/8/17 6:4:13] 物品:魔法药(中量)	怪物:1F03F780蜈蚣0	地图:D601	X:13	Y:165 
[2024/8/17 6:4:13] 物品:魔法药(中量)	怪物:1F03F780蜈蚣0	地图:D601	X:13	Y:165 
[2024/8/17 6:4:13] 物品:魔法药(中量)	怪物:1F03F780蜈蚣0	地图:D601	X:13	Y:165 
[2024/8/17 6:4:13] 物品:魔法药(中量)	怪物:1F03F780蜈蚣0	地图:D601	X:13	Y:165 
[2024/8/17 6:4:34] 物品:太阳水	怪物:1F12C950跳跳蜂	地图:D601	X:15	Y:178 
[2024/8/17 6:4:46] 物品:金创药(小量)	怪物:282C70B0僵尸3	地图:D401	X:110	Y:170 
[2024/8/17 6:4:46] 物品:基本剑术	怪物:282C70B0僵尸3	地图:D401	X:110	Y:170 
