[2024/8/17 8:0:6] 物品:死神手套	怪物:27827FB0恶灵尸王8	地图:H001	X:38	Y:16 
[2024/8/17 8:0:9] 物品:轻型盔甲(女)	怪物:1C1F5DB0骷髅0	地图:D001	X:353	Y:119 
[2024/8/17 8:0:9] 物品:金创药(小量)	怪物:1C1F5DB0骷髅0	地图:D001	X:353	Y:119 
[2024/8/17 8:0:9] 物品:金创药(小量)	怪物:1C1F5DB0骷髅0	地图:D001	X:353	Y:119 
[2024/8/17 8:0:9] 物品:金创药(小量)	怪物:1C1F5DB0骷髅0	地图:D001	X:353	Y:119 
[2024/8/17 8:0:9] 物品:金创药(小量)	怪物:1C1F5DB0骷髅0	地图:D001	X:353	Y:119 
[2024/8/17 8:0:9] 物品:魔法药(小量)	怪物:1C1F5DB0骷髅0	地图:D001	X:353	Y:119 
[2024/8/17 8:0:9] 物品:魔法药(小量)	怪物:1C1F5DB0骷髅0	地图:D001	X:353	Y:119 
[2024/8/17 8:0:9] 物品:魔法药(小量)	怪物:1C1F5DB0骷髅0	地图:D001	X:353	Y:119 
[2024/8/17 8:0:9] 物品:魔法药(小量)	怪物:1C1F5DB0骷髅0	地图:D001	X:353	Y:119 
[2024/8/17 8:0:27] 物品:强效太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:强效太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:强效太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:强效太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:强效太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:太阳水	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:金创药(中量)	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:金创药(中量)	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:强效金创药	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:强效金创药	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:强效金创药	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:魔法药(中量)	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:魔法药(中量)	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:强效魔法药	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:强效魔法药	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:强效魔法药	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:27] 物品:地狱雷光	怪物:057B2210沃玛卫士8	地图:H003	X:34	Y:60 
[2024/8/17 8:0:32] 物品:蓝色水晶戒指	怪物:0D9E4200骷髅	地图:D001	X:356	Y:109 
[2024/8/17 8:0:35] 物品:青铜剑	怪物:05883490骷髅战将	地图:D003	X:215	Y:219 
