[2024/8/17 9:0:3] 物品:金创药(小量)	怪物:19EB4E70僵尸3	地图:D401	X:19	Y:147 
[2024/8/17 9:0:6] 物品:魔法药(小量)	怪物:059D50C0僵尸4	地图:D406	X:53	Y:117 
[2024/8/17 9:0:6] 物品:金创药(小量)	怪物:17C3EB70山洞蝙蝠	地图:D001	X:275	Y:77 
[2024/8/17 9:0:13] 物品:金创药(小量)	怪物:18F9D6C0骷髅0	地图:D001	X:275	Y:75 
[2024/8/17 9:0:13] 物品:金创药(小量)	怪物:18F9D6C0骷髅0	地图:D001	X:275	Y:75 
[2024/8/17 9:0:13] 物品:金创药(小量)	怪物:18F9D6C0骷髅0	地图:D001	X:275	Y:75 
[2024/8/17 9:0:13] 物品:金创药(小量)	怪物:18F9D6C0骷髅0	地图:D001	X:275	Y:75 
[2024/8/17 9:0:13] 物品:魔法药(小量)	怪物:18F9D6C0骷髅0	地图:D001	X:275	Y:75 
[2024/8/17 9:0:13] 物品:魔法药(小量)	怪物:18F9D6C0骷髅0	地图:D001	X:275	Y:75 
[2024/8/17 9:0:13] 物品:魔法药(小量)	怪物:18F9D6C0骷髅0	地图:D001	X:275	Y:75 
[2024/8/17 9:0:13] 物品:魔法药(小量)	怪物:18F9D6C0骷髅0	地图:D001	X:275	Y:75 
[2024/8/17 9:0:13] 物品:神圣战甲术	怪物:03803F30僵尸1	地图:D406	X:55	Y:117 
[2024/8/17 9:0:14] 物品:金创药(小量)	怪物:050EFB30僵尸3	地图:D401	X:32	Y:141 
[2024/8/17 9:0:42] 物品:金创药(小量)	怪物:28DF5B00僵尸4	地图:D406	X:52	Y:107 
[2024/8/17 9:0:44] 物品:金创药(中量)	怪物:18492790恶灵僵尸8	地图:H001	X:43	Y:54 
[2024/8/17 9:0:48] 物品:金创药(小量)	怪物:27666940山洞蝙蝠	地图:D001	X:278	Y:61 
[2024/8/17 9:1:5] 物品:古铜戒指	怪物:1B42BCA0半兽战士	地图:5	X:656	Y:463 
[2024/8/17 9:1:7] 物品:魔法药(小量)	怪物:051B7260山洞蝙蝠	地图:D002	X:355	Y:334 
[2024/8/17 9:1:8] 物品:金创药(小量)	怪物:29B2D870山洞蝙蝠	地图:D003	X:208	Y:142 
[2024/8/17 9:1:12] 物品:金创药(小量)	怪物:28E239F0僵尸5	地图:D406	X:44	Y:108 
[2024/8/17 9:1:12] 物品:大手镯	怪物:15276740骷髅战士0	地图:D002	X:354	Y:338 
[2024/8/17 9:1:12] 物品:金创药(中量)	怪物:15276740骷髅战士0	地图:D002	X:354	Y:338 
[2024/8/17 9:1:12] 物品:金创药(中量)	怪物:15276740骷髅战士0	地图:D002	X:354	Y:338 
[2024/8/17 9:1:12] 物品:金创药(中量)	怪物:15276740骷髅战士0	地图:D002	X:354	Y:338 
[2024/8/17 9:1:12] 物品:金创药(中量)	怪物:15276740骷髅战士0	地图:D002	X:354	Y:338 
[2024/8/17 9:1:12] 物品:魔法药(中量)	怪物:15276740骷髅战士0	地图:D002	X:354	Y:338 
[2024/8/17 9:1:12] 物品:魔法药(中量)	怪物:15276740骷髅战士0	地图:D002	X:354	Y:338 
[2024/8/17 9:1:12] 物品:魔法药(中量)	怪物:15276740骷髅战士0	地图:D002	X:354	Y:338 
[2024/8/17 9:1:12] 物品:魔法药(中量)	怪物:15276740骷髅战士0	地图:D002	X:354	Y:338 
[2024/8/17 9:1:30] 物品:金创药(小量)	怪物:050EFB30僵尸3	地图:D401	X:29	Y:138 
[2024/8/17 9:1:35] 物品:魔法药(小量)	怪物:1EFAC9F0山洞蝙蝠	地图:D001	X:256	Y:45 
[2024/8/17 9:1:43] 物品:魔法药(小量)	怪物:1EEFB4F0骷髅战士	地图:D001	X:258	Y:39 
[2024/8/17 9:1:47] 物品:魔法药(小量)	怪物:1F174A40骷髅战士	地图:D002	X:343	Y:371 
[2024/8/17 9:1:47] 物品:HP强化药水	怪物:1F174A40骷髅战士	地图:D002	X:343	Y:371 
[2024/8/17 9:1:53] 物品:魔法药(小量)	怪物:1C29AF40僵尸4	地图:D406	X:59	Y:131 
[2024/8/17 9:1:58] 物品:强效太阳水	怪物:0D4611C0尸王8	地图:H001	X:54	Y:57 
[2024/8/17 9:1:58] 物品:强效太阳水	怪物:0D4611C0尸王8	地图:H001	X:54	Y:57 
[2024/8/17 9:1:58] 物品:强效太阳水	怪物:0D4611C0尸王8	地图:H001	X:54	Y:57 
[2024/8/17 9:1:58] 物品:强效太阳水	怪物:0D4611C0尸王8	地图:H001	X:54	Y:57 
[2024/8/17 9:1:58] 物品:强效太阳水	怪物:0D4611C0尸王8	地图:H001	X:54	Y:57 
[2024/8/17 9:1:58] 物品:强效金创药	怪物:0D4611C0尸王8	地图:H001	X:54	Y:57 
[2024/8/17 9:1:58] 物品:强效金创药	怪物:0D4611C0尸王8	地图:H001	X:54	Y:57 
[2024/8/17 9:1:58] 物品:强效魔法药	怪物:0D4611C0尸王8	地图:H001	X:54	Y:57 
[2024/8/17 9:1:58] 物品:强效魔法药	怪物:0D4611C0尸王8	地图:H001	X:54	Y:57 
[2024/8/17 9:1:58] 物品:道德戒指	怪物:0D4611C0尸王8	地图:H001	X:54	Y:57 
[2024/8/17 9:1:58] 物品:魔力手镯	怪物:0D4611C0尸王8	地图:H001	X:54	Y:57 
[2024/8/17 9:2:2] 物品:隐身术	怪物:30F09640僵尸3	地图:D401	X:54	Y:165 
[2024/8/17 9:2:5] 物品:魔法药(小量)	怪物:2A85BC00僵尸4	地图:D406	X:53	Y:133 
[2024/8/17 9:2:9] 物品:金创药(小量)	怪物:28341270僵尸3	地图:D401	X:55	Y:164 
[2024/8/17 9:2:20] 物品:金创药(小量)	怪物:2A85BC00僵尸4	地图:D406	X:53	Y:133 
[2024/8/17 9:2:21] 物品:青铜剑	怪物:17CC4D10骷髅战士	地图:D003	X:229	Y:163 
[2024/8/17 9:2:24] 物品:大手镯	怪物:30E8B620骷髅战士	地图:D002	X:364	Y:359 
[2024/8/17 9:2:30] 物品:攻击力药水	怪物:30E78F30僵尸5	地图:D406	X:52	Y:132 
[2024/8/17 9:2:34] 物品:青铜剑	怪物:18C08180骷髅战士0	地图:D002	X:375	Y:353 
[2024/8/17 9:2:34] 物品:金创药(中量)	怪物:18C08180骷髅战士0	地图:D002	X:375	Y:353 
[2024/8/17 9:2:34] 物品:金创药(中量)	怪物:18C08180骷髅战士0	地图:D002	X:375	Y:353 
[2024/8/17 9:2:34] 物品:金创药(中量)	怪物:18C08180骷髅战士0	地图:D002	X:375	Y:353 
[2024/8/17 9:2:34] 物品:金创药(中量)	怪物:18C08180骷髅战士0	地图:D002	X:375	Y:353 
[2024/8/17 9:2:34] 物品:魔法药(中量)	怪物:18C08180骷髅战士0	地图:D002	X:375	Y:353 
[2024/8/17 9:2:34] 物品:魔法药(中量)	怪物:18C08180骷髅战士0	地图:D002	X:375	Y:353 
[2024/8/17 9:2:34] 物品:魔法药(中量)	怪物:18C08180骷髅战士0	地图:D002	X:375	Y:353 
[2024/8/17 9:2:34] 物品:魔法药(中量)	怪物:18C08180骷髅战士0	地图:D002	X:375	Y:353 
[2024/8/17 9:2:38] 物品:小手镯	怪物:1DEF3CE0骷髅	地图:D001	X:251	Y:17 
[2024/8/17 9:2:41] 物品:魔法药(小量)	怪物:2A85BC00僵尸4	地图:D406	X:53	Y:133 
[2024/8/17 9:2:53] 物品:蓝翡翠项链	怪物:26655520牛魔战士	地图:D2073	X:334	Y:282 
[2024/8/17 9:2:55] 物品:青铜头盔	怪物:17C78600骷髅	地图:D001	X:241	Y:22 
[2024/8/17 9:2:57] 物品:金创药(小量)	怪物:28DADAC0骷髅战士	地图:D002	X:363	Y:377 
[2024/8/17 9:3:0] 物品:万年雪霜	怪物:269EAA60牛魔战士	地图:D2073	X:140	Y:128 
[2024/8/17 9:3:0] 物品:魔法长袍(男)	怪物:269EAA60牛魔战士	地图:D2073	X:140	Y:128 
[2024/8/17 9:3:1] 物品:地狱火	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:抗拒火环	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:精神力战法	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:火球术	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:治愈术	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:基本剑术	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:海魂	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:凌风	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:蓝色水晶戒指	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:琥珀项链	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:灯笼项链	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:铁剑	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:短剑	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:轻型盔甲(男)	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:轻型盔甲(女)	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:青铜斧	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:黑檀项链	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:黄色水晶项链	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:黑色水晶项链	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:青铜头盔	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:金创药(小量)	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:金创药(小量)	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:金创药(小量)	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:金创药(小量)	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:魔法药(小量)	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:魔法药(小量)	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:魔法药(小量)	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:1] 物品:魔法药(小量)	怪物:1CE79640僵尸50	地图:D406	X:46	Y:141 
[2024/8/17 9:3:7] 物品:魔法药(小量)	怪物:18056F20山洞蝙蝠	地图:D001	X:226	Y:22 
[2024/8/17 9:3:7] 物品:魔法力药水	怪物:18056F20山洞蝙蝠	地图:D001	X:226	Y:22 
[2024/8/17 9:3:9] 物品:金创药(小量)	怪物:19114930僵尸3	地图:D413	X:20	Y:16 
[2024/8/17 9:3:14] 物品:木剑	怪物:0D91F5B0蛤蟆	地图:0	X:219	Y:100 
[2024/8/17 9:3:22] 物品:金创药(小量)	怪物:27517750僵尸3	地图:D413	X:20	Y:16 
[2024/8/17 9:3:23] 物品:HP强化药水	怪物:18C6A750骷髅	地图:D001	X:220	Y:19 
[2024/8/17 9:3:26] 物品:金创药(小量)	怪物:05814890僵尸3	地图:D413	X:22	Y:15 
[2024/8/17 9:3:33] 物品:金创药(小量)	怪物:1C5CFD80稻草人	地图:0	X:227	Y:88 
[2024/8/17 9:3:33] 物品:魔法药(小量)	怪物:1C5CFD80稻草人	地图:0	X:227	Y:88 
[2024/8/17 9:3:37] 物品:金创药(小量)	怪物:188D3840稻草人	地图:0	X:227	Y:87 
[2024/8/17 9:3:41] 物品:魔法药(小量)	怪物:308A9B40稻草人	地图:0	X:226	Y:81 
[2024/8/17 9:3:48] 物品:HP强化药水	怪物:30F56E00骷髅战将	地图:D002	X:355	Y:358 
[2024/8/17 9:3:48] 物品:金创药(小量)	怪物:03AB9710僵尸3	地图:D413	X:22	Y:14 
[2024/8/17 9:3:51] 物品:金创药(小量)	怪物:05814890僵尸3	地图:D413	X:22	Y:14 
[2024/8/17 9:3:51] 物品:魔法药(小量)	怪物:05814890僵尸3	地图:D413	X:22	Y:14 
[2024/8/17 9:3:52] 物品:魔法力药水	怪物:1CDAD310掷斧骷髅	地图:D003	X:183	Y:152 
[2024/8/17 9:3:58] 物品:金创药(中量)	怪物:2A927AD0僵尸2	地图:D401	X:66	Y:163 
[2024/8/17 9:4:5] 物品:魔法药(小量)	怪物:03AB9710僵尸3	地图:D413	X:22	Y:14 
