[2024/8/18 0:0:1] 物品:召唤骷髅	怪物:28BF1D10僵尸1	地图:H201	X:35	Y:89 
[2024/8/18 0:0:4] 物品:金创药(小量)	怪物:05922150僵尸5	地图:H201	X:36	Y:89 
[2024/8/18 0:0:9] 物品:太阳水	怪物:1F0CCFE0黑野猪8	地图:H002	X:127	Y:329 
[2024/8/18 0:0:10] 物品:六角戒指	怪物:0D61F9B0骷髅0	地图:D002	X:338	Y:343 
[2024/8/18 0:0:10] 物品:金创药(小量)	怪物:0D61F9B0骷髅0	地图:D002	X:338	Y:343 
[2024/8/18 0:0:10] 物品:金创药(小量)	怪物:0D61F9B0骷髅0	地图:D002	X:338	Y:343 
[2024/8/18 0:0:10] 物品:金创药(小量)	怪物:0D61F9B0骷髅0	地图:D002	X:338	Y:343 
[2024/8/18 0:0:10] 物品:金创药(小量)	怪物:0D61F9B0骷髅0	地图:D002	X:338	Y:343 
[2024/8/18 0:0:10] 物品:魔法药(小量)	怪物:0D61F9B0骷髅0	地图:D002	X:338	Y:343 
[2024/8/18 0:0:10] 物品:魔法药(小量)	怪物:0D61F9B0骷髅0	地图:D002	X:338	Y:343 
[2024/8/18 0:0:10] 物品:魔法药(小量)	怪物:0D61F9B0骷髅0	地图:D002	X:338	Y:343 
[2024/8/18 0:0:10] 物品:魔法药(小量)	怪物:0D61F9B0骷髅0	地图:D002	X:338	Y:343 
[2024/8/18 0:0:12] 物品:强效太阳水	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
[2024/8/18 0:0:12] 物品:强效太阳水	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
[2024/8/18 0:0:12] 物品:强效太阳水	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
[2024/8/18 0:0:12] 物品:强效太阳水	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
[2024/8/18 0:0:12] 物品:强效太阳水	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
[2024/8/18 0:0:12] 物品:强效金创药	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
[2024/8/18 0:0:12] 物品:强效金创药	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
[2024/8/18 0:0:12] 物品:强效魔法药	怪物:29DE9100尸王8	地图:H201	X:37	Y:90 
