[2024/8/18 11:0:0] 物品:魔法药(小量)	怪物:223423C0僵尸4	地图:H201	X:82	Y:59 
[2024/8/18 11:0:1] 物品:太阳水	怪物:28BDA560黑野猪8	地图:H102	X:122	Y:332 
[2024/8/18 11:0:1] 物品:降魔	怪物:28BDA560黑野猪8	地图:H102	X:122	Y:332 
[2024/8/18 11:0:1] 物品:重盔甲(女)	怪物:2977A750魔龙邪眼1	地图:66	X:183	Y:171 
[2024/8/18 11:0:3] 物品:太阳水	怪物:2B3F3780黑野猪8	地图:H002	X:294	Y:150 
[2024/8/18 11:0:5] 物品:瞬息移动	怪物:291B8BA0僵尸1	地图:H201	X:83	Y:59 
[2024/8/18 11:0:5] 物品:道士手镯	怪物:195F9100牛魔法师8	地图:H010	X:278	Y:26 
[2024/8/18 11:0:7] 物品:强效太阳水	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:强效太阳水	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:强效太阳水	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:强效太阳水	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:强效太阳水	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:强效金创药	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:强效金创药	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:强效魔法药	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:强效魔法药	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:骷髅戒指	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:道德戒指	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:蓝翡翠项链	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:黑檀手镯	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:魔力手镯	怪物:0DDFB4D0尸王8	地图:H001	X:101	Y:41 
[2024/8/18 11:0:7] 物品:治愈术	怪物:0DA79370僵尸3	地图:D401	X:62	Y:41 
[2024/8/18 11:0:12] 物品:强效太阳水	怪物:28C74130牛魔祭司0	地图:H010	X:277	Y:26 
[2024/8/18 11:0:12] 物品:强效太阳水	怪物:28C74130牛魔祭司0	地图:H010	X:277	Y:26 
[2024/8/18 11:0:12] 物品:太阳水	怪物:28C74130牛魔祭司0	地图:H010	X:277	Y:26 
[2024/8/18 11:0:12] 物品:太阳水	怪物:28C74130牛魔祭司0	地图:H010	X:277	Y:26 
[2024/8/18 11:0:15] 物品:魔法长袍(女)	怪物:286C9830牛魔侍卫8	地图:H010	X:276	Y:25 
[2024/8/18 11:0:16] 物品:强效太阳水	怪物:18B962B0尸王8	地图:H201	X:83	Y:56 
[2024/8/18 11:0:16] 物品:强效太阳水	怪物:18B962B0尸王8	地图:H201	X:83	Y:56 
[2024/8/18 11:0:16] 物品:强效太阳水	怪物:18B962B0尸王8	地图:H201	X:83	Y:56 
[2024/8/18 11:0:16] 物品:强效太阳水	怪物:18B962B0尸王8	地图:H201	X:83	Y:56 
[2024/8/18 11:0:16] 物品:强效太阳水	怪物:18B962B0尸王8	地图:H201	X:83	Y:56 
[2024/8/18 11:0:16] 物品:强效金创药	怪物:18B962B0尸王8	地图:H201	X:83	Y:56 
[2024/8/18 11:0:16] 物品:强效金创药	怪物:18B962B0尸王8	地图:H201	X:83	Y:56 
[2024/8/18 11:0:16] 物品:强效魔法药	怪物:18B962B0尸王8	地图:H201	X:83	Y:56 
[2024/8/18 11:0:16] 物品:强效魔法药	怪物:18B962B0尸王8	地图:H201	X:83	Y:56 
[2024/8/18 11:0:16] 物品:黑色水晶戒指	怪物:18B962B0尸王8	地图:H201	X:83	Y:56 
[2024/8/18 11:0:16] 物品:道德戒指	怪物:18B962B0尸王8	地图:H201	X:83	Y:56 
[2024/8/18 11:0:16] 物品:黑檀手镯	怪物:18B962B0尸王8	地图:H201	X:83	Y:56 
[2024/8/18 11:0:16] 物品:金创药(小量)	怪物:28CBE460僵尸3	地图:D401	X:60	Y:39 
[2024/8/18 11:0:20] 物品:精神力战法	怪物:03B44050僵尸10	地图:H201	X:82	Y:53 
[2024/8/18 11:0:20] 物品:坚固手套	怪物:03B44050僵尸10	地图:H201	X:82	Y:53 
[2024/8/18 11:0:20] 物品:金创药(中量)	怪物:03B44050僵尸10	地图:H201	X:82	Y:53 
[2024/8/18 11:0:21] 物品:魅力戒指	怪物:2792C160牛魔法师8	地图:H010	X:276	Y:24 
[2024/8/18 11:0:26] 物品:太阳水	怪物:29DE64A0黑野猪8	地图:H002	X:123	Y:200 
[2024/8/18 11:0:26] 物品:蓝翡翠项链	怪物:1F1C2340牛魔法师8	地图:H010	X:269	Y:24 
[2024/8/18 11:0:35] 物品:强效魔法药	怪物:1F012560魔龙射手1	地图:66	X:178	Y:171 
[2024/8/18 11:0:35] 物品:强效魔法药	怪物:1F012560魔龙射手1	地图:66	X:178	Y:171 
[2024/8/18 11:0:35] 物品:强效太阳水	怪物:2E050830牛魔将军8	地图:H010	X:270	Y:26 
[2024/8/18 11:0:35] 物品:灯笼项链	怪物:2E050830牛魔将军8	地图:H010	X:270	Y:26 
[2024/8/18 11:0:35] 物品:魔法手镯	怪物:2E050830牛魔将军8	地图:H010	X:270	Y:26 
[2024/8/18 11:0:38] 物品:金创药(小量)	怪物:296D3130僵尸5	地图:H201	X:92	Y:62 
[2024/8/18 11:0:45] 物品:魔法力药水	怪物:2A409430僵尸2	地图:D401	X:39	Y:59 
[2024/8/18 11:0:47] 物品:强效太阳水	怪物:224F7CA0牛魔祭司8	地图:H010	X:268	Y:26 
[2024/8/18 11:0:47] 物品:强效太阳水	怪物:224F7CA0牛魔祭司8	地图:H010	X:268	Y:26 
[2024/8/18 11:0:51] 物品:强效太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:强效太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:强效太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:强效太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:强效太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:太阳水	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:金创药(中量)	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:金创药(中量)	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:金创药(中量)	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:强效金创药	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:强效金创药	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:魔法药(中量)	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:魔法药(中量)	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:魔法药(中量)	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:强效魔法药	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:强效魔法药	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:蛇眼戒指	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:魅力戒指	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:蓝色水晶戒指	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:道士手镯	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:小手镯	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
[2024/8/18 11:0:51] 物品:地狱雷光	怪物:2259FA90尸王	地图:H201	X:92	Y:62 
