[2024/8/18 14:0:1] 物品:道士手镯	怪物:29624450黑野猪8	地图:H002	X:278	Y:345 
[2024/8/18 14:0:3] 物品:大火球	怪物:2A097A10僵尸3	地图:D401	X:158	Y:147 
[2024/8/18 14:0:7] 物品:疾风药水	怪物:2970E9C0牛魔将军8	地图:H010	X:45	Y:358 
[2024/8/18 14:0:7] 物品:施毒术	怪物:2A2AEEA0恶灵尸王	地图:H201	X:49	Y:165 
[2024/8/18 14:0:7] 物品:雷电术	怪物:2A2AEEA0恶灵尸王	地图:H201	X:49	Y:165 
[2024/8/18 14:0:7] 物品:大火球	怪物:2A2AEEA0恶灵尸王	地图:H201	X:49	Y:165 
[2024/8/18 14:0:11] 物品:太阳水	怪物:2A01B800黑野猪8	地图:H002	X:195	Y:95 
[2024/8/18 14:0:13] 物品:强效太阳水	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:强效太阳水	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:强效太阳水	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:强效太阳水	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:强效太阳水	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:强效金创药	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:强效金创药	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:强效魔法药	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:强效魔法药	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:骷髅戒指	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:黑色水晶戒指	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:生铁戒指	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:凝霜	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:魅力戒指	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:黑檀手镯	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:魔力手镯	怪物:2A6917D0尸王8	地图:H201	X:49	Y:163 
[2024/8/18 14:0:13] 物品:重盔甲(男)	怪物:29E20370牛魔法师8	地图:H010	X:53	Y:351 
[2024/8/18 14:0:13] 物品:道士手镯	怪物:29E20370牛魔法师8	地图:H010	X:53	Y:351 
[2024/8/18 14:0:14] 物品:心灵启示	怪物:23746D80僵尸1	地图:H201	X:24	Y:98 
[2024/8/18 14:0:15] 物品:强效太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:强效太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:强效太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:强效太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:强效太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
[2024/8/18 14:0:15] 物品:太阳水	怪物:29B8F930沃玛卫士8	地图:H204	X:30	Y:32 
