[2024/8/18 15:0:2] 物品:金创药(中量)	怪物:208E38E0红野猪	地图:D714	X:377	Y:187 
[2024/8/18 15:0:6] 物品:大火球	怪物:1CA539F0僵尸40	地图:H201	X:167	Y:64 
[2024/8/18 15:0:6] 物品:地狱火	怪物:1CA539F0僵尸40	地图:H201	X:167	Y:64 
[2024/8/18 15:0:6] 物品:抗拒火环	怪物:1CA539F0僵尸40	地图:H201	X:167	Y:64 
[2024/8/18 15:0:6] 物品:精神力战法	怪物:1CA539F0僵尸40	地图:H201	X:167	Y:64 
[2024/8/18 15:0:6] 物品:火球术	怪物:1CA539F0僵尸40	地图:H201	X:167	Y:64 
[2024/8/18 15:0:6] 物品:治愈术	怪物:1CA539F0僵尸40	地图:H201	X:167	Y:64 
[2024/8/18 15:0:6] 物品:基本剑术	怪物:1CA539F0僵尸40	地图:H201	X:167	Y:64 
[2024/8/18 15:0:6] 物品:黄色水晶项链	怪物:1CA539F0僵尸40	地图:H201	X:167	Y:64 
[2024/8/18 15:0:6] 物品:魔法药(小量)	怪物:1CA539F0僵尸40	地图:H201	X:167	Y:64 
[2024/8/18 15:0:10] 物品:金创药(小量)	怪物:2A069100僵尸4	地图:H201	X:168	Y:67 
[2024/8/18 15:0:14] 物品:强效太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:太阳水	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:金创药(中量)	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:金创药(中量)	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:金创药(中量)	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效金创药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效金创药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
[2024/8/18 15:0:14] 物品:强效金创药	怪物:275B59F0虹魔猪卫8	地图:H204	X:29	Y:70 
