[2024/8/18 16:0:3] 物品:金创药(小量)	怪物:15AD4780僵尸4	地图:H201	X:51	Y:97 
[2024/8/18 16:0:4] 物品:魔法长袍(女)	怪物:283C6C30黑野猪8	地图:H002	X:254	Y:65 
[2024/8/18 16:0:6] 物品:神圣战甲术	怪物:28F1F800恶灵尸王	地图:D2051	X:127	Y:91 
[2024/8/18 16:0:6] 物品:地狱火	怪物:28F1F800恶灵尸王	地图:D2051	X:127	Y:91 
[2024/8/18 16:0:6] 物品:大火球	怪物:28F1F800恶灵尸王	地图:D2051	X:127	Y:91 
[2024/8/18 16:0:6] 物品:召唤骷髅	怪物:28F1F800恶灵尸王	地图:D2051	X:127	Y:91 
[2024/8/18 16:0:6] 物品:瞬息移动	怪物:28F1F800恶灵尸王	地图:D2051	X:127	Y:91 
[2024/8/18 16:0:9] 物品:幽灵盾	怪物:24B52E00恶灵尸王	地图:D2051	X:126	Y:90 
[2024/8/18 16:0:9] 物品:瞬息移动	怪物:24B52E00恶灵尸王	地图:D2051	X:126	Y:90 
[2024/8/18 16:0:10] 物品:强效太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:太阳水	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:金创药(中量)	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:金创药(中量)	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效金创药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效金创药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效金创药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:魔法药(中量)	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:魔法药(中量)	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效魔法药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效魔法药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效魔法药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效金创药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效金创药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效金创药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效金创药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效金创药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效魔法药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效魔法药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效魔法药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效魔法药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:强效魔法药	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:10] 物品:辟邪手镯	怪物:204E3300邪恶钳虫8	地图:H004	X:32	Y:32 
[2024/8/18 16:0:11] 物品:超级太阳水	怪物:0D655B00魔龙力士1	地图:EM300	X:11	Y:20 
[2024/8/18 16:0:11] 物品:疗伤药	怪物:0D655B00魔龙力士1	地图:EM300	X:11	Y:20 
[2024/8/18 16:0:11] 物品:雷霆战戒	怪物:0D655B00魔龙力士1	地图:EM300	X:11	Y:20 
[2024/8/18 16:0:12] 物品:白色虎齿项链	怪物:28733130黑野猪8	地图:H002	X:255	Y:64 
[2024/8/18 16:0:14] 物品:金创药(中量)	怪物:15B70790恶灵僵尸	地图:D2051	X:127	Y:89 
[2024/8/18 16:0:19] 物品:强效太阳水	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:强效太阳水	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:强效太阳水	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:强效太阳水	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:强效太阳水	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:强效金创药	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:强效金创药	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:强效魔法药	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:强效魔法药	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:黑色水晶戒指	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:蛇眼戒指	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:珍珠戒指	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:生铁戒指	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:黑檀手镯	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:19] 物品:烈火剑法	怪物:180958D0尸王8	地图:H201	X:37	Y:84 
[2024/8/18 16:0:23] 物品:金创药(小量)	怪物:18E7E9C0僵尸4	地图:H201	X:38	Y:84 
[2024/8/18 16:0:29] 物品:超级太阳水	怪物:2E1D57D0魔龙力士1	地图:EM300	X:8	Y:18 
