[2024/8/18 18:0:2] 物品:幽灵手套	怪物:29166BD0祖玛雕像83	地图:H008	X:60	Y:53 
[2024/8/18 18:0:8] 物品:赤月恶魔油	怪物:24A79710赤月恶魔1	地图:D10071	X:17	Y:21 
[2024/8/18 18:0:14] 物品:灯笼项链	怪物:29FA99E0黑色恶蛆	地图:D717	X:31	Y:62 
[2024/8/18 18:0:15] 物品:强效太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:强效太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:强效太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:强效太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:强效太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:太阳水	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:金创药(中量)	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:金创药(中量)	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:强效金创药	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:强效金创药	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:强效金创药	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:魔法药(中量)	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:魔法药(中量)	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:强效魔法药	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:强效魔法药	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:强效魔法药	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:15] 物品:辟邪手镯	怪物:2D4BC760沃玛卫士8	地图:H204	X:89	Y:58 
[2024/8/18 18:0:19] 物品:诱惑之光	怪物:23C749B0恶灵尸王	地图:H201	X:59	Y:138 
[2024/8/18 18:0:19] 物品:强效魔法药	怪物:24AB65D0祖玛雕像83	地图:H008	X:62	Y:55 
