[2024/8/18 2:0:0] 物品:黑檀手镯	怪物:279A7AD0牛魔侍卫8	地图:H010	X:373	Y:227 
[2024/8/18 2:0:1] 物品:魔法药(小量)	怪物:2F1DCAF0僵尸4	地图:H201	X:176	Y:128 
[2024/8/18 2:0:2] 物品:魔法长袍(女)	怪物:18E80E50牛魔法师8	地图:H010	X:373	Y:229 
[2024/8/18 2:0:5] 物品:放大镜	怪物:0D64D5E0牛魔将军8	地图:H010	X:373	Y:227 
[2024/8/18 2:0:5] 物品:小手镯	怪物:0D64D5E0牛魔将军8	地图:H010	X:373	Y:227 
[2024/8/18 2:0:5] 物品:道士手镯	怪物:0D64D5E0牛魔将军8	地图:H010	X:373	Y:227 
[2024/8/18 2:0:6] 物品:魔法药(中量)	怪物:1A3D67F0恶灵尸王	地图:H201	X:176	Y:130 
[2024/8/18 2:0:6] 物品:攻杀剑术	怪物:1A3D67F0恶灵尸王	地图:H201	X:176	Y:130 
[2024/8/18 2:0:6] 物品:瞬息移动	怪物:1A3D67F0恶灵尸王	地图:H201	X:176	Y:130 
[2024/8/18 2:0:9] 物品:生铁戒指	怪物:2256D790牛魔侍卫8	地图:H010	X:374	Y:227 
[2024/8/18 2:0:9] 物品:青铜头盔	怪物:1BD00970骷髅战士	地图:D002	X:322	Y:149 
[2024/8/18 2:0:11] 物品:强效太阳水	怪物:2B2A9C30牛魔祭司8	地图:H010	X:371	Y:229 
[2024/8/18 2:0:11] 物品:强效魔法药	怪物:2B2A9C30牛魔祭司8	地图:H010	X:371	Y:229 
[2024/8/18 2:0:11] 物品:竹笛	怪物:2B2A9C30牛魔祭司8	地图:H010	X:371	Y:229 
[2024/8/18 2:0:11] 物品:黑色水晶戒指	怪物:2B2A9C30牛魔祭司8	地图:H010	X:371	Y:229 
[2024/8/18 2:0:24] 物品:疾光电影	怪物:1CCB65E0僵尸5	地图:H201	X:179	Y:124 
[2024/8/18 2:0:25] 物品:太阳水	怪物:0D481010黑色恶蛆8	地图:H004	X:69	Y:89 
[2024/8/18 2:0:28] 物品:金创药(小量)	怪物:0C488060僵尸4	地图:H201	X:179	Y:123 
[2024/8/18 2:0:29] 物品:强效太阳水	怪物:309523A0牛魔祭司0	地图:H010	X:368	Y:231 
[2024/8/18 2:0:29] 物品:强效太阳水	怪物:309523A0牛魔祭司0	地图:H010	X:368	Y:231 
[2024/8/18 2:0:29] 物品:强效太阳水	怪物:309523A0牛魔祭司0	地图:H010	X:368	Y:231 
[2024/8/18 2:0:29] 物品:太阳水	怪物:309523A0牛魔祭司0	地图:H010	X:368	Y:231 
[2024/8/18 2:0:29] 物品:太阳水	怪物:309523A0牛魔祭司0	地图:H010	X:368	Y:231 
[2024/8/18 2:0:29] 物品:太阳水	怪物:309523A0牛魔祭司0	地图:H010	X:368	Y:231 
[2024/8/18 2:0:29] 物品:魔法手镯	怪物:309523A0牛魔祭司0	地图:H010	X:368	Y:231 
[2024/8/18 2:0:31] 物品:金创药(小量)	怪物:1BFC6190僵尸5	地图:H201	X:92	Y:61 
[2024/8/18 2:0:32] 物品:重盔甲(男)	怪物:296AF050牛魔法师8	地图:H010	X:370	Y:231 
[2024/8/18 2:0:35] 物品:金创药(小量)	怪物:18AD2D40僵尸5	地图:H201	X:180	Y:125 
[2024/8/18 2:0:43] 物品:强效太阳水	怪物:2A105160牛魔将军0	地图:H010	X:364	Y:230 
[2024/8/18 2:0:43] 物品:强效太阳水	怪物:2A105160牛魔将军0	地图:H010	X:364	Y:230 
[2024/8/18 2:0:43] 物品:太阳水	怪物:2A105160牛魔将军0	地图:H010	X:364	Y:230 
[2024/8/18 2:0:43] 物品:太阳水	怪物:2A105160牛魔将军0	地图:H010	X:364	Y:230 
[2024/8/18 2:0:43] 物品:灵魂战衣(男)	怪物:2A105160牛魔将军0	地图:H010	X:364	Y:230 
[2024/8/18 2:0:43] 物品:竹笛	怪物:2A105160牛魔将军0	地图:H010	X:364	Y:230 
[2024/8/18 2:0:43] 物品:道德戒指	怪物:2A105160牛魔将军0	地图:H010	X:364	Y:230 
[2024/8/18 2:0:47] 物品:魔法药(小量)	怪物:2A094DB0僵尸4	地图:H201	X:80	Y:70 
[2024/8/18 2:0:48] 物品:强效太阳水	怪物:03855AC0牛魔祭司0	地图:H010	X:365	Y:231 
[2024/8/18 2:0:48] 物品:强效太阳水	怪物:03855AC0牛魔祭司0	地图:H010	X:365	Y:231 
[2024/8/18 2:0:48] 物品:太阳水	怪物:03855AC0牛魔祭司0	地图:H010	X:365	Y:231 
[2024/8/18 2:0:48] 物品:太阳水	怪物:03855AC0牛魔祭司0	地图:H010	X:365	Y:231 
[2024/8/18 2:0:54] 物品:太阳水	怪物:2E030B60牛魔将军8	地图:H010	X:362	Y:235 
[2024/8/18 2:0:57] 物品:灵魂战衣(男)	怪物:296BA1D0牛魔法师8	地图:H010	X:360	Y:236 
[2024/8/18 2:0:58] 物品:强效太阳水	怪物:278DBC00尸王8	地图:H201	X:177	Y:117 
[2024/8/18 2:0:58] 物品:强效太阳水	怪物:278DBC00尸王8	地图:H201	X:177	Y:117 
[2024/8/18 2:0:58] 物品:强效太阳水	怪物:278DBC00尸王8	地图:H201	X:177	Y:117 
[2024/8/18 2:0:58] 物品:强效太阳水	怪物:278DBC00尸王8	地图:H201	X:177	Y:117 
[2024/8/18 2:0:58] 物品:强效太阳水	怪物:278DBC00尸王8	地图:H201	X:177	Y:117 
[2024/8/18 2:0:58] 物品:强效金创药	怪物:278DBC00尸王8	地图:H201	X:177	Y:117 
[2024/8/18 2:0:58] 物品:强效金创药	怪物:278DBC00尸王8	地图:H201	X:177	Y:117 
[2024/8/18 2:0:58] 物品:强效魔法药	怪物:278DBC00尸王8	地图:H201	X:177	Y:117 
[2024/8/18 2:0:58] 物品:强效魔法药	怪物:278DBC00尸王8	地图:H201	X:177	Y:117 
[2024/8/18 2:0:58] 物品:骷髅戒指	怪物:278DBC00尸王8	地图:H201	X:177	Y:117 
[2024/8/18 2:0:58] 物品:黑檀手镯	怪物:278DBC00尸王8	地图:H201	X:177	Y:117 
[2024/8/18 2:0:58] 物品:魔力手镯	怪物:278DBC00尸王8	地图:H201	X:177	Y:117 
[2024/8/18 2:1:5] 物品:太阳水	怪物:298104D0牛魔将军8	地图:H010	X:359	Y:233 
[2024/8/18 2:1:5] 物品:辟邪手镯	怪物:298104D0牛魔将军8	地图:H010	X:359	Y:233 
[2024/8/18 2:1:9] 物品:道士手镯	怪物:291364C0牛魔法师8	地图:H010	X:358	Y:233 
[2024/8/18 2:1:9] 物品:生铁戒指	怪物:291364C0牛魔法师8	地图:H010	X:358	Y:233 
[2024/8/18 2:1:12] 物品:金创药(小量)	怪物:27A02E20僵尸4	地图:H201	X:176	Y:113 
[2024/8/18 2:1:17] 物品:强效太阳水	怪物:0381B860尸王8	地图:H201	X:70	Y:78 
[2024/8/18 2:1:17] 物品:强效太阳水	怪物:0381B860尸王8	地图:H201	X:70	Y:78 
[2024/8/18 2:1:17] 物品:强效太阳水	怪物:0381B860尸王8	地图:H201	X:70	Y:78 
[2024/8/18 2:1:17] 物品:强效太阳水	怪物:0381B860尸王8	地图:H201	X:70	Y:78 
[2024/8/18 2:1:17] 物品:强效太阳水	怪物:0381B860尸王8	地图:H201	X:70	Y:78 
[2024/8/18 2:1:17] 物品:强效金创药	怪物:0381B860尸王8	地图:H201	X:70	Y:78 
[2024/8/18 2:1:17] 物品:强效金创药	怪物:0381B860尸王8	地图:H201	X:70	Y:78 
[2024/8/18 2:1:17] 物品:强效魔法药	怪物:0381B860尸王8	地图:H201	X:70	Y:78 
[2024/8/18 2:1:17] 物品:强效魔法药	怪物:0381B860尸王8	地图:H201	X:70	Y:78 
[2024/8/18 2:1:17] 物品:珍珠戒指	怪物:0381B860尸王8	地图:H201	X:70	Y:78 
[2024/8/18 2:1:17] 物品:魔力手镯	怪物:0381B860尸王8	地图:H201	X:70	Y:78 
[2024/8/18 2:1:17] 物品:强效太阳水	怪物:2A023D20牛魔祭司0	地图:H010	X:360	Y:234 
[2024/8/18 2:1:17] 物品:强效太阳水	怪物:2A023D20牛魔祭司0	地图:H010	X:360	Y:234 
[2024/8/18 2:1:17] 物品:强效太阳水	怪物:2A023D20牛魔祭司0	地图:H010	X:360	Y:234 
[2024/8/18 2:1:17] 物品:太阳水	怪物:2A023D20牛魔祭司0	地图:H010	X:360	Y:234 
[2024/8/18 2:1:17] 物品:太阳水	怪物:2A023D20牛魔祭司0	地图:H010	X:360	Y:234 
[2024/8/18 2:1:17] 物品:太阳水	怪物:2A023D20牛魔祭司0	地图:H010	X:360	Y:234 
[2024/8/18 2:1:22] 物品:强效太阳水	怪物:2A16D430牛魔将军0	地图:H010	X:358	Y:234 
[2024/8/18 2:1:22] 物品:强效太阳水	怪物:2A16D430牛魔将军0	地图:H010	X:358	Y:234 
