[2024/8/18 20:0:1] 物品:紫碧螺	怪物:29028200祖玛弓箭手83	地图:H007	X:140	Y:152 
[2024/8/18 20:0:1] 物品:魔法药(小量)	怪物:0B85F210僵尸4	地图:H201	X:45	Y:147 
[2024/8/18 20:0:3] 物品:魔法药(中量)	怪物:18855270僵尸1	地图:H201	X:29	Y:150 
[2024/8/18 20:0:10] 物品:强效魔法药	怪物:1BDF7AD0魔龙射手	地图:66	X:112	Y:118 
[2024/8/18 20:0:10] 物品:道士手镯	怪物:1BDF7AD0魔龙射手	地图:66	X:112	Y:118 
[2024/8/18 20:0:12] 物品:魅力戒指	怪物:2DF80BE0红野猪8	地图:H002	X:236	Y:66 
[2024/8/18 20:0:19] 物品:强效太阳水	怪物:2910B4F0尸王8	地图:H201	X:25	Y:153 
[2024/8/18 20:0:19] 物品:强效太阳水	怪物:2910B4F0尸王8	地图:H201	X:25	Y:153 
[2024/8/18 20:0:19] 物品:强效太阳水	怪物:2910B4F0尸王8	地图:H201	X:25	Y:153 
[2024/8/18 20:0:19] 物品:强效太阳水	怪物:2910B4F0尸王8	地图:H201	X:25	Y:153 
[2024/8/18 20:0:19] 物品:强效太阳水	怪物:2910B4F0尸王8	地图:H201	X:25	Y:153 
[2024/8/18 20:0:19] 物品:强效金创药	怪物:2910B4F0尸王8	地图:H201	X:25	Y:153 
[2024/8/18 20:0:19] 物品:强效金创药	怪物:2910B4F0尸王8	地图:H201	X:25	Y:153 
[2024/8/18 20:0:19] 物品:强效魔法药	怪物:2910B4F0尸王8	地图:H201	X:25	Y:153 
[2024/8/18 20:0:19] 物品:强效魔法药	怪物:2910B4F0尸王8	地图:H201	X:25	Y:153 
[2024/8/18 20:0:19] 物品:蛇眼戒指	怪物:2910B4F0尸王8	地图:H201	X:25	Y:153 
[2024/8/18 20:0:19] 物品:凝霜	怪物:2910B4F0尸王8	地图:H201	X:25	Y:153 
[2024/8/18 20:0:19] 物品:黑檀手镯	怪物:2910B4F0尸王8	地图:H201	X:25	Y:153 
[2024/8/18 20:0:21] 物品:太阳水	怪物:2B2D0970黑野猪8	地图:H002	X:233	Y:163 
[2024/8/18 20:0:21] 物品:金创药(小量)	怪物:298010C0僵尸5	地图:H201	X:26	Y:151 
[2024/8/18 20:0:22] 物品:强效金创药	怪物:2A59FF30魔龙射手	地图:66	X:108	Y:109 
[2024/8/18 20:0:24] 物品:金创药(小量)	怪物:24AD2190僵尸4	地图:H201	X:26	Y:153 
[2024/8/18 20:0:24] 物品:灵魂火符	怪物:24AD2190僵尸4	地图:H201	X:26	Y:153 
[2024/8/18 20:0:27] 物品:蓝色水晶戒指	怪物:290CBD60祖玛卫士8	地图:H007	X:128	Y:164 
[2024/8/18 20:0:27] 物品:魔法药(小量)	怪物:2F24FF40僵尸4	地图:H201	X:46	Y:141 
[2024/8/18 20:0:29] 物品:金创药(小量)	怪物:27C2BD60稻草人	地图:0	X:554	Y:477 
[2024/8/18 20:0:30] 物品:强效太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:强效太阳水	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:疗伤药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:疗伤药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:疗伤药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:疗伤药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:疗伤药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
[2024/8/18 20:0:30] 物品:疗伤药	怪物:27475D90虹魔教主8	地图:H204	X:43	Y:17 
