[2024/8/18 22:0:3] 物品:黑檀手镯	怪物:2AB72FB0魔龙破甲兵	地图:66	X:71	Y:186 
[2024/8/18 22:0:3] 物品:强效太阳水	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:强效太阳水	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:强效太阳水	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:强效太阳水	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:强效太阳水	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:强效金创药	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:强效金创药	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:强效魔法药	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:强效魔法药	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:珍珠戒指	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:道德戒指	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:黑檀手镯	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:魔力手镯	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:困魔咒	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:3] 物品:地狱雷光	怪物:29FBBA50尸王8	地图:H201	X:172	Y:77 
[2024/8/18 22:0:4] 物品:强效太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:强效太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:强效太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:强效太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:强效太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
[2024/8/18 22:0:4] 物品:太阳水	怪物:0556FFD0沃玛卫士8	地图:H003	X:22	Y:55 
