[2024/8/18 4:0:0] 物品:破魂	怪物:297F8BA0牛魔将军8	地图:H010	X:213	Y:133 
[2024/8/18 4:0:4] 物品:MP强化药水	怪物:2DD04E70骷髅战士	地图:D002	X:283	Y:154 
[2024/8/18 4:0:4] 物品:金创药(小量)	怪物:2E780370僵尸4	地图:H201	X:88	Y:78 
[2024/8/18 4:0:7] 物品:放大镜	怪物:2BB1CC80牛魔祭司8	地图:H010	X:209	Y:136 
[2024/8/18 4:0:11] 物品:黑檀手镯	怪物:276E26F0牛魔法师8	地图:H010	X:208	Y:136 
[2024/8/18 4:0:12] 物品:强效太阳水	怪物:0D80F670尸王8	地图:H201	X:58	Y:32 
[2024/8/18 4:0:12] 物品:强效太阳水	怪物:0D80F670尸王8	地图:H201	X:58	Y:32 
[2024/8/18 4:0:12] 物品:强效太阳水	怪物:0D80F670尸王8	地图:H201	X:58	Y:32 
[2024/8/18 4:0:12] 物品:强效太阳水	怪物:0D80F670尸王8	地图:H201	X:58	Y:32 
[2024/8/18 4:0:12] 物品:强效太阳水	怪物:0D80F670尸王8	地图:H201	X:58	Y:32 
[2024/8/18 4:0:12] 物品:强效金创药	怪物:0D80F670尸王8	地图:H201	X:58	Y:32 
[2024/8/18 4:0:12] 物品:强效金创药	怪物:0D80F670尸王8	地图:H201	X:58	Y:32 
[2024/8/18 4:0:12] 物品:强效魔法药	怪物:0D80F670尸王8	地图:H201	X:58	Y:32 
[2024/8/18 4:0:12] 物品:强效魔法药	怪物:0D80F670尸王8	地图:H201	X:58	Y:32 
[2024/8/18 4:0:12] 物品:魔力手镯	怪物:0D80F670尸王8	地图:H201	X:58	Y:32 
[2024/8/18 4:0:12] 物品:召唤神兽	怪物:0D80F670尸王8	地图:H201	X:58	Y:32 
[2024/8/18 4:0:15] 物品:强效魔法药	怪物:18E0FDC0牛魔将军8	地图:H010	X:208	Y:137 
[2024/8/18 4:0:16] 物品:金创药(小量)	怪物:0D4B1B60僵尸5	地图:H201	X:58	Y:33 
[2024/8/18 4:0:19] 物品:生铁戒指	怪物:19DB2B90牛魔法师8	地图:H010	X:209	Y:138 
[2024/8/18 4:0:22] 物品:金创药(小量)	怪物:2F2ABE00僵尸5	地图:H201	X:71	Y:78 
[2024/8/18 4:0:25] 物品:基本剑术	怪物:191DF050僵尸5	地图:H201	X:75	Y:77 
[2024/8/18 4:0:27] 物品:强效太阳水	怪物:2B2B63E0牛魔祭司8	地图:H010	X:202	Y:138 
[2024/8/18 4:0:27] 物品:强效太阳水	怪物:2B2B63E0牛魔祭司8	地图:H010	X:202	Y:138 
[2024/8/18 4:0:29] 物品:金创药(小量)	怪物:2EF23840僵尸4	地图:H201	X:56	Y:32 
[2024/8/18 4:0:29] 物品:魔法药(小量)	怪物:2EF23840僵尸4	地图:H201	X:56	Y:32 
[2024/8/18 4:0:35] 物品:魔法药(小量)	怪物:1846BA50僵尸5	地图:H201	X:57	Y:31 
[2024/8/18 4:0:37] 物品:重盔甲(男)	怪物:1BDE86C0牛魔法师8	地图:H010	X:205	Y:145 
[2024/8/18 4:0:37] 物品:魅力戒指	怪物:1BDE86C0牛魔法师8	地图:H010	X:205	Y:145 
[2024/8/18 4:0:37] 物品:生铁戒指	怪物:1BDE86C0牛魔法师8	地图:H010	X:205	Y:145 
[2024/8/18 4:0:37] 物品:魔法药(小量)	怪物:2B3C9100山洞蝙蝠	地图:D002	X:283	Y:154 
[2024/8/18 4:0:44] 物品:强效太阳水	怪物:2A581890牛魔祭司0	地图:H010	X:198	Y:145 
[2024/8/18 4:0:44] 物品:强效太阳水	怪物:2A581890牛魔祭司0	地图:H010	X:198	Y:145 
[2024/8/18 4:0:44] 物品:太阳水	怪物:2A581890牛魔祭司0	地图:H010	X:198	Y:145 
[2024/8/18 4:0:44] 物品:太阳水	怪物:2A581890牛魔祭司0	地图:H010	X:198	Y:145 
[2024/8/18 4:0:44] 物品:海魂	怪物:0394FAB0僵尸10	地图:H201	X:62	Y:33 
[2024/8/18 4:0:44] 物品:凤凰明珠	怪物:0394FAB0僵尸10	地图:H201	X:62	Y:33 
[2024/8/18 4:0:48] 物品:强效太阳水	怪物:186A05D0牛魔祭司8	地图:H010	X:197	Y:144 
[2024/8/18 4:0:48] 物品:强效太阳水	怪物:186A05D0牛魔祭司8	地图:H010	X:197	Y:144 
[2024/8/18 4:0:48] 物品:井中月	怪物:186A05D0牛魔祭司8	地图:H010	X:197	Y:144 
[2024/8/18 4:0:48] 物品:斩马刀	怪物:186A05D0牛魔祭司8	地图:H010	X:197	Y:144 
[2024/8/18 4:0:48] 物品:黑檀手镯	怪物:186A05D0牛魔祭司8	地图:H010	X:197	Y:144 
[2024/8/18 4:0:52] 物品:银手镯	怪物:223E0DE0骷髅战士	地图:D002	X:282	Y:148 
[2024/8/18 4:0:54] 物品:金创药(小量)	怪物:295E5F60僵尸5	地图:H201	X:67	Y:52 
[2024/8/18 4:0:58] 物品:太阳水	怪物:28FF0C00黑野猪8	地图:H002	X:298	Y:43 
[2024/8/18 4:0:59] 物品:隐身术	怪物:3050FED0恶灵尸王	地图:H201	X:60	Y:31 
[2024/8/18 4:1:0] 物品:降魔	怪物:189B28A0牛魔侍卫8	地图:H010	X:194	Y:151 
[2024/8/18 4:1:0] 物品:偃月	怪物:189B28A0牛魔侍卫8	地图:H010	X:194	Y:151 
[2024/8/18 4:1:2] 物品:强效魔法药	怪物:296DCC80牛魔法师8	地图:H010	X:193	Y:152 
[2024/8/18 4:1:2] 物品:重盔甲(男)	怪物:296DCC80牛魔法师8	地图:H010	X:193	Y:152 
[2024/8/18 4:1:2] 物品:金戒指	怪物:296DCC80牛魔法师8	地图:H010	X:193	Y:152 
[2024/8/18 4:1:2] 物品:金手镯	怪物:296DCC80牛魔法师8	地图:H010	X:193	Y:152 
[2024/8/18 4:1:4] 物品:降魔	怪物:30B34AB0牛魔法师8	地图:H010	X:194	Y:152 
[2024/8/18 4:1:6] 物品:金创药(小量)	怪物:286E2BD0骷髅战士	地图:D002	X:294	Y:150 
[2024/8/18 4:1:6] 物品:小手镯	怪物:286E2BD0骷髅战士	地图:D002	X:294	Y:150 
[2024/8/18 4:1:6] 物品:皮制手套	怪物:286E2BD0骷髅战士	地图:D002	X:294	Y:150 
[2024/8/18 4:1:8] 物品:集体隐身术	怪物:2A8D5B00僵尸1	地图:H201	X:102	Y:38 
[2024/8/18 4:1:8] 物品:施毒术	怪物:15AF8670僵尸50	地图:H201	X:62	Y:32 
