[2024/8/18 8:0:2] 物品:魅力戒指	怪物:17C8E900牛魔侍卫8	地图:H010	X:22	Y:311 
[2024/8/18 8:0:5] 物品:金创药(小量)	怪物:1880D230僵尸4	地图:H201	X:123	Y:22 
[2024/8/18 8:0:5] 物品:强效太阳水	怪物:2A2E7AD0尸王8	地图:H201	X:123	Y:21 
[2024/8/18 8:0:5] 物品:强效太阳水	怪物:2A2E7AD0尸王8	地图:H201	X:123	Y:21 
[2024/8/18 8:0:5] 物品:强效太阳水	怪物:2A2E7AD0尸王8	地图:H201	X:123	Y:21 
[2024/8/18 8:0:5] 物品:强效太阳水	怪物:2A2E7AD0尸王8	地图:H201	X:123	Y:21 
[2024/8/18 8:0:5] 物品:强效太阳水	怪物:2A2E7AD0尸王8	地图:H201	X:123	Y:21 
[2024/8/18 8:0:5] 物品:强效金创药	怪物:2A2E7AD0尸王8	地图:H201	X:123	Y:21 
[2024/8/18 8:0:5] 物品:强效金创药	怪物:2A2E7AD0尸王8	地图:H201	X:123	Y:21 
[2024/8/18 8:0:5] 物品:强效魔法药	怪物:2A2E7AD0尸王8	地图:H201	X:123	Y:21 
[2024/8/18 8:0:5] 物品:强效魔法药	怪物:2A2E7AD0尸王8	地图:H201	X:123	Y:21 
[2024/8/18 8:0:5] 物品:珍珠戒指	怪物:2A2E7AD0尸王8	地图:H201	X:123	Y:21 
[2024/8/18 8:0:5] 物品:凝霜	怪物:2A2E7AD0尸王8	地图:H201	X:123	Y:21 
[2024/8/18 8:0:5] 物品:魔力手镯	怪物:2A2E7AD0尸王8	地图:H201	X:123	Y:21 
[2024/8/18 8:0:6] 物品:金创药(小量)	怪物:1A31F0F0僵尸5	地图:H201	X:122	Y:22 
[2024/8/18 8:0:9] 物品:强效太阳水	怪物:063E7130牛魔将军8	地图:H010	X:27	Y:311 
[2024/8/18 8:0:9] 物品:强效金创药	怪物:063E7130牛魔将军8	地图:H010	X:27	Y:311 
[2024/8/18 8:0:12] 物品:刺杀剑术	怪物:29EC1270僵尸1	地图:H201	X:123	Y:22 
[2024/8/18 8:0:13] 物品:重盔甲(男)	怪物:29D2EE60牛魔法师8	地图:H010	X:27	Y:311 
[2024/8/18 8:0:20] 物品:金创药(小量)	怪物:2932EB70僵尸4	地图:H201	X:127	Y:25 
[2024/8/18 8:0:20] 物品:魔法药(小量)	怪物:2932EB70僵尸4	地图:H201	X:127	Y:25 
[2024/8/18 8:0:21] 物品:强效太阳水	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:21] 物品:强效太阳水	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:21] 物品:强效太阳水	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:21] 物品:强效太阳水	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:21] 物品:强效太阳水	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:21] 物品:强效金创药	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:21] 物品:强效金创药	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
[2024/8/18 8:0:21] 物品:强效魔法药	怪物:1B840050尸王8	地图:H201	X:127	Y:26 
