[2024/8/19 0:0:1] 物品:黑檀手镯	怪物:291364C0魔龙血蛙	地图:66	X:50	Y:149 
[2024/8/19 0:0:4] 物品:强效金创药	怪物:2DAFE6A0祖玛卫士	地图:D5074	X:74	Y:18 
[2024/8/19 0:0:4] 物品:白金项链	怪物:2DAFE6A0祖玛卫士	地图:D5074	X:74	Y:18 
[2024/8/19 0:0:4] 物品:强效太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:强效太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
[2024/8/19 0:0:4] 物品:太阳水	怪物:22F8C3F0虹魔蝎卫8	地图:H204	X:68	Y:30 
