[2024/8/19 11:0:0] 物品:金创药(小量)	怪物:0DAF4FA0僵尸5	地图:H201	X:21	Y:89 
[2024/8/19 11:0:1] 物品:祝福油	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:祝福油	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
[2024/8/19 11:0:1] 物品:强效太阳水	怪物:051C6670米尔皇帝	地图:F004	X:46	Y:43 
