[2024/8/19 13:0:2] 物品:魔法药(小量)	怪物:03B19080僵尸4	地图:H201	X:149	Y:37 
[2024/8/19 13:0:2] 物品:皮制手套	怪物:2DB973C0骷髅战士0	地图:D002	X:198	Y:198 
[2024/8/19 13:0:2] 物品:金创药(中量)	怪物:2DB973C0骷髅战士0	地图:D002	X:198	Y:198 
[2024/8/19 13:0:2] 物品:金创药(中量)	怪物:2DB973C0骷髅战士0	地图:D002	X:198	Y:198 
[2024/8/19 13:0:2] 物品:金创药(中量)	怪物:2DB973C0骷髅战士0	地图:D002	X:198	Y:198 
[2024/8/19 13:0:2] 物品:金创药(中量)	怪物:2DB973C0骷髅战士0	地图:D002	X:198	Y:198 
[2024/8/19 13:0:2] 物品:魔法药(中量)	怪物:2DB973C0骷髅战士0	地图:D002	X:198	Y:198 
[2024/8/19 13:0:2] 物品:魔法药(中量)	怪物:2DB973C0骷髅战士0	地图:D002	X:198	Y:198 
[2024/8/19 13:0:2] 物品:魔法药(中量)	怪物:2DB973C0骷髅战士0	地图:D002	X:198	Y:198 
[2024/8/19 13:0:2] 物品:魔法药(中量)	怪物:2DB973C0骷髅战士0	地图:D002	X:198	Y:198 
[2024/8/19 13:0:5] 物品:魔法药(小量)	怪物:2064F340僵尸5	地图:H201	X:99	Y:85 
[2024/8/19 13:0:5] 物品:刺杀剑术	怪物:1C099450恶灵尸王	地图:H201	X:100	Y:84 
[2024/8/19 13:0:5] 物品:疾光电影	怪物:1C099450恶灵尸王	地图:H201	X:100	Y:84 
[2024/8/19 13:0:5] 物品:幽灵盾	怪物:1C099450恶灵尸王	地图:H201	X:100	Y:84 
[2024/8/19 13:0:5] 物品:施毒术	怪物:1C099450恶灵尸王	地图:H201	X:100	Y:84 
[2024/8/19 13:0:5] 物品:攻杀剑术	怪物:1C099450恶灵尸王	地图:H201	X:100	Y:84 
[2024/8/19 13:0:5] 物品:诱惑之光	怪物:1C099450恶灵尸王	地图:H201	X:100	Y:84 
[2024/8/19 13:0:8] 物品:坚固手套	怪物:260C8050魔龙破甲兵	地图:66	X:175	Y:138 
[2024/8/19 13:0:11] 物品:破魂	怪物:06417C80奴隶	地图:F004	X:81	Y:70 
