[2024/8/19 14:0:0] 物品:金创药(小量)	怪物:28C42270僵尸4	地图:H201	X:29	Y:70 
[2024/8/19 14:0:4] 物品:金创药(中量)	怪物:1C4B1200祖玛弓箭手8	地图:H204	X:15	Y:44 
[2024/8/19 14:0:4] 物品:强效魔法药	怪物:1C4B1200祖玛弓箭手8	地图:H204	X:15	Y:44 
[2024/8/19 14:0:5] 物品:隐身术	怪物:0513D430僵尸1	地图:H201	X:29	Y:70 
[2024/8/19 14:0:7] 物品:灵魂战衣(女)	怪物:1A30E6B0祖玛卫士8	地图:H204	X:15	Y:45 
[2024/8/19 14:0:9] 物品:强效太阳水	怪物:2F2AD430尸王8	地图:H201	X:29	Y:71 
[2024/8/19 14:0:9] 物品:强效太阳水	怪物:2F2AD430尸王8	地图:H201	X:29	Y:71 
[2024/8/19 14:0:9] 物品:强效太阳水	怪物:2F2AD430尸王8	地图:H201	X:29	Y:71 
[2024/8/19 14:0:9] 物品:强效太阳水	怪物:2F2AD430尸王8	地图:H201	X:29	Y:71 
[2024/8/19 14:0:9] 物品:强效太阳水	怪物:2F2AD430尸王8	地图:H201	X:29	Y:71 
[2024/8/19 14:0:9] 物品:强效金创药	怪物:2F2AD430尸王8	地图:H201	X:29	Y:71 
[2024/8/19 14:0:9] 物品:强效金创药	怪物:2F2AD430尸王8	地图:H201	X:29	Y:71 
[2024/8/19 14:0:9] 物品:强效魔法药	怪物:2F2AD430尸王8	地图:H201	X:29	Y:71 
[2024/8/19 14:0:9] 物品:强效魔法药	怪物:2F2AD430尸王8	地图:H201	X:29	Y:71 
[2024/8/19 14:0:9] 物品:珍珠戒指	怪物:2F2AD430尸王8	地图:H201	X:29	Y:71 
[2024/8/19 14:0:9] 物品:道德戒指	怪物:2F2AD430尸王8	地图:H201	X:29	Y:71 
[2024/8/19 14:0:9] 物品:圣言术	怪物:2F2AD430尸王8	地图:H201	X:29	Y:71 
[2024/8/19 14:0:14] 物品:金创药(小量)	怪物:0DB09C70僵尸3	地图:D402	X:98	Y:109 
[2024/8/19 14:0:17] 物品:强效太阳水	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:强效太阳水	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:强效太阳水	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:强效太阳水	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:强效太阳水	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:强效金创药	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:强效金创药	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:强效魔法药	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:强效魔法药	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:黑色水晶戒指	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:黑檀手镯	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:魔力手镯	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
[2024/8/19 14:0:17] 物品:群体治疗术	怪物:1BED9350尸王8	地图:H201	X:29	Y:70 
