[2024/8/19 16:0:2] 物品:金创药(小量)	怪物:289C2750稻草人	地图:0	X:133	Y:127 
[2024/8/19 16:0:3] 物品:重盔甲(女)	怪物:308FB1E0祖玛卫士8	地图:H204	X:63	Y:59 
[2024/8/19 16:0:3] 物品:斩马刀	怪物:308FB1E0祖玛卫士8	地图:H204	X:63	Y:59 
[2024/8/19 16:0:4] 物品:强效太阳水	怪物:1DF65F40尸王8	地图:H201	X:39	Y:80 
[2024/8/19 16:0:4] 物品:强效太阳水	怪物:1DF65F40尸王8	地图:H201	X:39	Y:80 
[2024/8/19 16:0:4] 物品:强效太阳水	怪物:1DF65F40尸王8	地图:H201	X:39	Y:80 
[2024/8/19 16:0:4] 物品:强效太阳水	怪物:1DF65F40尸王8	地图:H201	X:39	Y:80 
[2024/8/19 16:0:4] 物品:强效太阳水	怪物:1DF65F40尸王8	地图:H201	X:39	Y:80 
[2024/8/19 16:0:4] 物品:强效金创药	怪物:1DF65F40尸王8	地图:H201	X:39	Y:80 
[2024/8/19 16:0:4] 物品:强效金创药	怪物:1DF65F40尸王8	地图:H201	X:39	Y:80 
[2024/8/19 16:0:4] 物品:强效魔法药	怪物:1DF65F40尸王8	地图:H201	X:39	Y:80 
[2024/8/19 16:0:4] 物品:强效魔法药	怪物:1DF65F40尸王8	地图:H201	X:39	Y:80 
[2024/8/19 16:0:4] 物品:蛇眼戒指	怪物:1DF65F40尸王8	地图:H201	X:39	Y:80 
[2024/8/19 16:0:4] 物品:黑檀手镯	怪物:1DF65F40尸王8	地图:H201	X:39	Y:80 
[2024/8/19 16:0:10] 物品:黑色水晶戒指	怪物:1E9EE9A0祖玛弓箭手8	地图:H204	X:57	Y:59 
[2024/8/19 16:0:13] 物品:魔法药(小量)	怪物:2B00F0F0僵尸5	地图:H201	X:39	Y:80 
[2024/8/19 16:0:18] 物品:召唤骷髅	怪物:187E23E0僵尸1	地图:H201	X:39	Y:86 
