[2024/8/19 17:0:2] 物品:道德戒指	怪物:2DD03840祖玛卫士8	地图:H204	X:36	Y:62 
[2024/8/19 17:0:10] 物品:强效太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:太阳水	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:金创药(中量)	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:金创药(中量)	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:金创药(中量)	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效金创药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效金创药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效金创药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:魔法药(中量)	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:魔法药(中量)	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:魔法药(中量)	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效魔法药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效魔法药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效魔法药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
[2024/8/19 17:0:10] 物品:强效金创药	怪物:0602F650白野猪8	地图:H204	X:32	Y:68 
