[2024/8/19 18:0:4] 物品:太阳水	怪物:2A9FDE30黑色恶蛆8	地图:H006	X:50	Y:79 
[2024/8/19 18:0:9] 物品:隐身术	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:召唤骷髅	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:灵魂火符	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:地狱火	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:诱惑之光	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:抗拒火环	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:精神力战法	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:火球术	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:治愈术	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:基本剑术	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:海魂	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:凌风	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:蓝色水晶戒指	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:凤凰明珠	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:灯笼项链	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:铁剑	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:短剑	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:轻型盔甲(男)	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:轻型盔甲(女)	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:中型盔甲(男)	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:青铜斧	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:黑檀项链	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:黄色水晶项链	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:黑色水晶项链	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:青铜头盔	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:金创药(小量)	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:金创药(小量)	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:金创药(小量)	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:金创药(小量)	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:魔法药(小量)	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:魔法药(小量)	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:魔法药(小量)	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:9] 物品:魔法药(小量)	怪物:234FE500僵尸50	地图:H201	X:175	Y:98 
[2024/8/19 18:0:11] 物品:道士手镯	怪物:29342210黑野猪8	地图:H002	X:203	Y:92 
[2024/8/19 18:0:14] 物品:魔法力药水	怪物:2F0E66E0掷斧骷髅	地图:D003	X:223	Y:226 
[2024/8/19 18:0:15] 物品:魔法药(小量)	怪物:2A9FF460僵尸5	地图:H201	X:171	Y:98 
[2024/8/19 18:0:19] 物品:金创药(中量)	怪物:31F0D710掷斧骷髅0	地图:D003	X:219	Y:218 
[2024/8/19 18:0:19] 物品:金创药(中量)	怪物:31F0D710掷斧骷髅0	地图:D003	X:219	Y:218 
[2024/8/19 18:0:19] 物品:金创药(中量)	怪物:31F0D710掷斧骷髅0	地图:D003	X:219	Y:218 
[2024/8/19 18:0:19] 物品:金创药(中量)	怪物:31F0D710掷斧骷髅0	地图:D003	X:219	Y:218 
