[2024/8/19 19:0:2] 物品:太阳水	怪物:283FBB90黑野猪8	地图:H002	X:276	Y:149 
[2024/8/19 19:0:14] 物品:强效太阳水	怪物:07CC3000尸王8	地图:H201	X:48	Y:143 
[2024/8/19 19:0:14] 物品:强效太阳水	怪物:07CC3000尸王8	地图:H201	X:48	Y:143 
[2024/8/19 19:0:14] 物品:强效太阳水	怪物:07CC3000尸王8	地图:H201	X:48	Y:143 
[2024/8/19 19:0:14] 物品:强效太阳水	怪物:07CC3000尸王8	地图:H201	X:48	Y:143 
[2024/8/19 19:0:14] 物品:强效太阳水	怪物:07CC3000尸王8	地图:H201	X:48	Y:143 
[2024/8/19 19:0:14] 物品:强效金创药	怪物:07CC3000尸王8	地图:H201	X:48	Y:143 
[2024/8/19 19:0:14] 物品:强效金创药	怪物:07CC3000尸王8	地图:H201	X:48	Y:143 
[2024/8/19 19:0:14] 物品:强效魔法药	怪物:07CC3000尸王8	地图:H201	X:48	Y:143 
[2024/8/19 19:0:14] 物品:强效魔法药	怪物:07CC3000尸王8	地图:H201	X:48	Y:143 
[2024/8/19 19:0:14] 物品:道德戒指	怪物:07CC3000尸王8	地图:H201	X:48	Y:143 
[2024/8/19 19:0:14] 物品:困魔咒	怪物:07CC3000尸王8	地图:H201	X:48	Y:143 
[2024/8/19 19:0:15] 物品:太阳水	怪物:296577C0魔龙射手	地图:66	X:133	Y:113 
[2024/8/19 19:0:15] 物品:强效魔法药	怪物:296577C0魔龙射手	地图:66	X:133	Y:113 
[2024/8/19 19:0:15] 物品:鹿皮靴	怪物:296577C0魔龙射手	地图:66	X:133	Y:113 
[2024/8/19 19:0:20] 物品:强效金创药	怪物:1C1F5DB0魔龙刀兵1	地图:66	X:126	Y:101 
[2024/8/19 19:0:30] 物品:强效金创药	怪物:05A057D0魔龙射手2	地图:66	X:126	Y:102 
[2024/8/19 19:0:36] 物品:强效魔法药	怪物:2A5222B0魔龙破甲兵	地图:66	X:122	Y:107 
[2024/8/19 19:0:36] 物品:放大镜	怪物:2A5222B0魔龙破甲兵	地图:66	X:122	Y:107 
[2024/8/19 19:0:36] 物品:珊瑚戒指	怪物:2A5222B0魔龙破甲兵	地图:66	X:122	Y:107 
[2024/8/19 19:0:36] 物品:死神手套	怪物:2A5222B0魔龙破甲兵	地图:66	X:122	Y:107 
[2024/8/19 19:0:37] 物品:强效太阳水	怪物:1B6AE9A0尸王8	地图:H201	X:53	Y:135 
[2024/8/19 19:0:37] 物品:强效太阳水	怪物:1B6AE9A0尸王8	地图:H201	X:53	Y:135 
[2024/8/19 19:0:37] 物品:强效太阳水	怪物:1B6AE9A0尸王8	地图:H201	X:53	Y:135 
[2024/8/19 19:0:37] 物品:强效太阳水	怪物:1B6AE9A0尸王8	地图:H201	X:53	Y:135 
[2024/8/19 19:0:37] 物品:强效太阳水	怪物:1B6AE9A0尸王8	地图:H201	X:53	Y:135 
[2024/8/19 19:0:37] 物品:强效金创药	怪物:1B6AE9A0尸王8	地图:H201	X:53	Y:135 
[2024/8/19 19:0:37] 物品:强效金创药	怪物:1B6AE9A0尸王8	地图:H201	X:53	Y:135 
[2024/8/19 19:0:37] 物品:强效魔法药	怪物:1B6AE9A0尸王8	地图:H201	X:53	Y:135 
[2024/8/19 19:0:37] 物品:强效魔法药	怪物:1B6AE9A0尸王8	地图:H201	X:53	Y:135 
[2024/8/19 19:0:37] 物品:黑色水晶戒指	怪物:1B6AE9A0尸王8	地图:H201	X:53	Y:135 
[2024/8/19 19:0:37] 物品:蛇眼戒指	怪物:1B6AE9A0尸王8	地图:H201	X:53	Y:135 
[2024/8/19 19:0:37] 物品:魅力戒指	怪物:1B6AE9A0尸王8	地图:H201	X:53	Y:135 
[2024/8/19 19:0:56] 物品:攻击力药水	怪物:2A64EC10僵尸2	地图:D411	X:61	Y:25 
[2024/8/19 19:1:15] 物品:太阳水	怪物:2AF389F0黑野猪8	地图:H002	X:238	Y:119 
[2024/8/19 19:1:20] 物品:神圣战甲术	怪物:180942A0恶灵尸王	地图:H201	X:61	Y:149 
[2024/8/19 19:1:20] 物品:爆裂火焰	怪物:180942A0恶灵尸王	地图:H201	X:61	Y:149 
[2024/8/19 19:1:20] 物品:集体隐身术	怪物:180942A0恶灵尸王	地图:H201	X:61	Y:149 
[2024/8/19 19:1:20] 物品:雷电术	怪物:180942A0恶灵尸王	地图:H201	X:61	Y:149 
[2024/8/19 19:1:20] 物品:地狱火	怪物:180942A0恶灵尸王	地图:H201	X:61	Y:149 
[2024/8/19 19:1:20] 物品:金创药(小量)	怪物:20BD3BC0僵尸4	地图:H201	X:60	Y:149 
[2024/8/19 19:1:20] 物品:强效金创药	怪物:290895E0魔龙破甲兵2	地图:66	X:127	Y:112 
[2024/8/19 19:1:20] 物品:金戒指	怪物:290895E0魔龙破甲兵2	地图:66	X:127	Y:112 
[2024/8/19 19:1:22] 物品:强效太阳水	怪物:2AFCB340尸王8	地图:H201	X:62	Y:149 
[2024/8/19 19:1:22] 物品:强效太阳水	怪物:2AFCB340尸王8	地图:H201	X:62	Y:149 
[2024/8/19 19:1:22] 物品:强效太阳水	怪物:2AFCB340尸王8	地图:H201	X:62	Y:149 
[2024/8/19 19:1:22] 物品:强效太阳水	怪物:2AFCB340尸王8	地图:H201	X:62	Y:149 
[2024/8/19 19:1:22] 物品:强效太阳水	怪物:2AFCB340尸王8	地图:H201	X:62	Y:149 
[2024/8/19 19:1:22] 物品:强效金创药	怪物:2AFCB340尸王8	地图:H201	X:62	Y:149 
[2024/8/19 19:1:22] 物品:强效金创药	怪物:2AFCB340尸王8	地图:H201	X:62	Y:149 
[2024/8/19 19:1:22] 物品:强效魔法药	怪物:2AFCB340尸王8	地图:H201	X:62	Y:149 
[2024/8/19 19:1:22] 物品:强效魔法药	怪物:2AFCB340尸王8	地图:H201	X:62	Y:149 
[2024/8/19 19:1:22] 物品:珍珠戒指	怪物:2AFCB340尸王8	地图:H201	X:62	Y:149 
[2024/8/19 19:1:22] 物品:凝霜	怪物:2AFCB340尸王8	地图:H201	X:62	Y:149 
[2024/8/19 19:1:22] 物品:魔力手镯	怪物:2AFCB340尸王8	地图:H201	X:62	Y:149 
[2024/8/19 19:1:27] 物品:魔法药(小量)	怪物:19CFEDC0僵尸4	地图:H201	X:59	Y:144 
[2024/8/19 19:1:28] 物品:强效金创药	怪物:28C5C800魔龙巨蛾	地图:66	X:126	Y:113 
[2024/8/19 19:1:28] 物品:强效魔法药	怪物:28C5C800魔龙巨蛾	地图:66	X:126	Y:113 
[2024/8/19 19:1:42] 物品:黑檀手镯	怪物:056BFBC0魔龙破甲兵1	地图:66	X:127	Y:111 
[2024/8/19 19:1:52] 物品:魔法长袍(女)	怪物:0F6FD910魔龙射手1	地图:66	X:124	Y:105 
[2024/8/19 19:1:58] 物品:魔法药(小量)	怪物:274F7900僵尸5	地图:H201	X:54	Y:152 
[2024/8/19 19:2:0] 物品:太阳水	怪物:1C5DC530黑野猪8	地图:H002	X:283	Y:111 
[2024/8/19 19:2:2] 物品:布鞋	怪物:0D85B940魔龙射手	地图:66	X:117	Y:117 
[2024/8/19 19:2:6] 物品:金创药(中量)	怪物:1936F5B0僵尸1	地图:H201	X:53	Y:152 
[2024/8/19 19:2:7] 物品:强效太阳水	怪物:28C1A080尸王8	地图:H201	X:54	Y:153 
[2024/8/19 19:2:7] 物品:强效太阳水	怪物:28C1A080尸王8	地图:H201	X:54	Y:153 
[2024/8/19 19:2:7] 物品:强效太阳水	怪物:28C1A080尸王8	地图:H201	X:54	Y:153 
[2024/8/19 19:2:7] 物品:强效太阳水	怪物:28C1A080尸王8	地图:H201	X:54	Y:153 
[2024/8/19 19:2:7] 物品:强效太阳水	怪物:28C1A080尸王8	地图:H201	X:54	Y:153 
[2024/8/19 19:2:7] 物品:强效金创药	怪物:28C1A080尸王8	地图:H201	X:54	Y:153 
[2024/8/19 19:2:7] 物品:强效金创药	怪物:28C1A080尸王8	地图:H201	X:54	Y:153 
[2024/8/19 19:2:7] 物品:强效魔法药	怪物:28C1A080尸王8	地图:H201	X:54	Y:153 
[2024/8/19 19:2:7] 物品:强效魔法药	怪物:28C1A080尸王8	地图:H201	X:54	Y:153 
[2024/8/19 19:2:7] 物品:死神手套	怪物:28C1A080尸王8	地图:H201	X:54	Y:153 
[2024/8/19 19:2:7] 物品:魅力戒指	怪物:28C1A080尸王8	地图:H201	X:54	Y:153 
[2024/8/19 19:2:7] 物品:黑檀手镯	怪物:28C1A080尸王8	地图:H201	X:54	Y:153 
[2024/8/19 19:2:27] 物品:爆裂火焰	怪物:2459A5D0恶灵尸王	地图:H201	X:52	Y:156 
[2024/8/19 19:2:30] 物品:魔法药(中量)	怪物:280FF8E0僵尸2	地图:D411	X:68	Y:79 
[2024/8/19 19:2:45] 物品:太阳水	怪物:18947970魔龙破甲兵	地图:66	X:112	Y:116 
[2024/8/19 19:2:54] 物品:太阳水	怪物:30E9D510黑野猪8	地图:H002	X:310	Y:83 
[2024/8/19 19:2:59] 物品:金创药(小量)	怪物:1EF53F70僵尸4	地图:H201	X:42	Y:160 
[2024/8/19 19:3:8] 物品:强效太阳水	怪物:2A9C6830尸王8	地图:H201	X:42	Y:161 
[2024/8/19 19:3:8] 物品:强效太阳水	怪物:2A9C6830尸王8	地图:H201	X:42	Y:161 
[2024/8/19 19:3:8] 物品:强效太阳水	怪物:2A9C6830尸王8	地图:H201	X:42	Y:161 
[2024/8/19 19:3:8] 物品:强效太阳水	怪物:2A9C6830尸王8	地图:H201	X:42	Y:161 
[2024/8/19 19:3:8] 物品:强效太阳水	怪物:2A9C6830尸王8	地图:H201	X:42	Y:161 
[2024/8/19 19:3:8] 物品:强效金创药	怪物:2A9C6830尸王8	地图:H201	X:42	Y:161 
[2024/8/19 19:3:8] 物品:强效金创药	怪物:2A9C6830尸王8	地图:H201	X:42	Y:161 
[2024/8/19 19:3:8] 物品:强效魔法药	怪物:2A9C6830尸王8	地图:H201	X:42	Y:161 
[2024/8/19 19:3:8] 物品:强效魔法药	怪物:2A9C6830尸王8	地图:H201	X:42	Y:161 
[2024/8/19 19:3:8] 物品:蛇眼戒指	怪物:2A9C6830尸王8	地图:H201	X:42	Y:161 
[2024/8/19 19:3:8] 物品:魔力手镯	怪物:2A9C6830尸王8	地图:H201	X:42	Y:161 
[2024/8/19 19:3:10] 物品:强效金创药	怪物:30FACF10魔龙破甲兵	地图:66	X:109	Y:116 
[2024/8/19 19:3:10] 物品:太阳水	怪物:30FACF10魔龙破甲兵	地图:66	X:109	Y:116 
[2024/8/19 19:3:15] 物品:灵魂火符	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:地狱火	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:诱惑之光	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:抗拒火环	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:精神力战法	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:火球术	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:治愈术	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:基本剑术	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:八荒	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:半月	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:魔鬼项链	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:凤凰明珠	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:灯笼项链	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:铁剑	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:短剑	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:轻型盔甲(男)	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:轻型盔甲(女)	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:青铜斧	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:黑檀项链	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:黄色水晶项链	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:黑色水晶项链	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:青铜头盔	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:金创药(小量)	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:金创药(小量)	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:金创药(小量)	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:金创药(小量)	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:魔法药(小量)	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:魔法药(小量)	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:魔法药(小量)	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:15] 物品:魔法药(小量)	怪物:1C36E9E0僵尸50	地图:H201	X:42	Y:161 
[2024/8/19 19:3:17] 物品:强效魔法药	怪物:2DD70C00魔龙破甲兵	地图:66	X:117	Y:121 
[2024/8/19 19:3:17] 物品:强效魔法药	怪物:2DD70C00魔龙破甲兵	地图:66	X:117	Y:121 
[2024/8/19 19:3:21] 物品:黑檀手镯	怪物:2A2308D0魔龙射手	地图:66	X:110	Y:110 
[2024/8/19 19:3:23] 物品:强效太阳水	怪物:2DB42BD0尸王8	地图:H201	X:41	Y:162 
[2024/8/19 19:3:23] 物品:强效太阳水	怪物:2DB42BD0尸王8	地图:H201	X:41	Y:162 
[2024/8/19 19:3:23] 物品:强效太阳水	怪物:2DB42BD0尸王8	地图:H201	X:41	Y:162 
[2024/8/19 19:3:23] 物品:强效太阳水	怪物:2DB42BD0尸王8	地图:H201	X:41	Y:162 
[2024/8/19 19:3:23] 物品:强效太阳水	怪物:2DB42BD0尸王8	地图:H201	X:41	Y:162 
[2024/8/19 19:3:23] 物品:强效金创药	怪物:2DB42BD0尸王8	地图:H201	X:41	Y:162 
[2024/8/19 19:3:23] 物品:强效金创药	怪物:2DB42BD0尸王8	地图:H201	X:41	Y:162 
[2024/8/19 19:3:23] 物品:强效魔法药	怪物:2DB42BD0尸王8	地图:H201	X:41	Y:162 
[2024/8/19 19:3:23] 物品:强效魔法药	怪物:2DB42BD0尸王8	地图:H201	X:41	Y:162 
[2024/8/19 19:3:23] 物品:骷髅戒指	怪物:2DB42BD0尸王8	地图:H201	X:41	Y:162 
[2024/8/19 19:3:23] 物品:道德戒指	怪物:2DB42BD0尸王8	地图:H201	X:41	Y:162 
[2024/8/19 19:3:25] 物品:强效太阳水	怪物:1A0F7730尸王8	地图:H201	X:42	Y:162 
[2024/8/19 19:3:25] 物品:强效太阳水	怪物:1A0F7730尸王8	地图:H201	X:42	Y:162 
[2024/8/19 19:3:25] 物品:强效太阳水	怪物:1A0F7730尸王8	地图:H201	X:42	Y:162 
[2024/8/19 19:3:25] 物品:强效太阳水	怪物:1A0F7730尸王8	地图:H201	X:42	Y:162 
[2024/8/19 19:3:25] 物品:强效太阳水	怪物:1A0F7730尸王8	地图:H201	X:42	Y:162 
[2024/8/19 19:3:25] 物品:强效金创药	怪物:1A0F7730尸王8	地图:H201	X:42	Y:162 
[2024/8/19 19:3:25] 物品:强效金创药	怪物:1A0F7730尸王8	地图:H201	X:42	Y:162 
[2024/8/19 19:3:25] 物品:强效魔法药	怪物:1A0F7730尸王8	地图:H201	X:42	Y:162 
[2024/8/19 19:3:25] 物品:强效魔法药	怪物:1A0F7730尸王8	地图:H201	X:42	Y:162 
[2024/8/19 19:3:25] 物品:黑色水晶戒指	怪物:1A0F7730尸王8	地图:H201	X:42	Y:162 
[2024/8/19 19:3:25] 物品:生铁戒指	怪物:1A0F7730尸王8	地图:H201	X:42	Y:162 
[2024/8/19 19:3:25] 物品:地狱雷光	怪物:1A0F7730尸王8	地图:H201	X:42	Y:162 
[2024/8/19 19:3:38] 物品:魔法药(小量)	怪物:18289CF0僵尸5	地图:H201	X:41	Y:162 
[2024/8/19 19:3:38] 物品:精神力药水	怪物:18289CF0僵尸5	地图:H201	X:41	Y:162 
[2024/8/19 19:3:41] 物品:强效太阳水	怪物:2AF84930尸王8	地图:H201	X:40	Y:162 
[2024/8/19 19:3:41] 物品:强效太阳水	怪物:2AF84930尸王8	地图:H201	X:40	Y:162 
[2024/8/19 19:3:41] 物品:强效太阳水	怪物:2AF84930尸王8	地图:H201	X:40	Y:162 
[2024/8/19 19:3:41] 物品:强效太阳水	怪物:2AF84930尸王8	地图:H201	X:40	Y:162 
[2024/8/19 19:3:41] 物品:强效太阳水	怪物:2AF84930尸王8	地图:H201	X:40	Y:162 
[2024/8/19 19:3:41] 物品:强效金创药	怪物:2AF84930尸王8	地图:H201	X:40	Y:162 
[2024/8/19 19:3:41] 物品:强效金创药	怪物:2AF84930尸王8	地图:H201	X:40	Y:162 
[2024/8/19 19:3:41] 物品:强效魔法药	怪物:2AF84930尸王8	地图:H201	X:40	Y:162 
[2024/8/19 19:3:41] 物品:强效魔法药	怪物:2AF84930尸王8	地图:H201	X:40	Y:162 
[2024/8/19 19:3:41] 物品:生铁戒指	怪物:2AF84930尸王8	地图:H201	X:40	Y:162 
[2024/8/19 19:3:41] 物品:黑檀手镯	怪物:2AF84930尸王8	地图:H201	X:40	Y:162 
[2024/8/19 19:3:59] 物品:强效太阳水	怪物:1EFC85B0尸王8	地图:H201	X:34	Y:161 
[2024/8/19 19:3:59] 物品:强效太阳水	怪物:1EFC85B0尸王8	地图:H201	X:34	Y:161 
[2024/8/19 19:3:59] 物品:强效太阳水	怪物:1EFC85B0尸王8	地图:H201	X:34	Y:161 
[2024/8/19 19:3:59] 物品:强效太阳水	怪物:1EFC85B0尸王8	地图:H201	X:34	Y:161 
[2024/8/19 19:3:59] 物品:强效太阳水	怪物:1EFC85B0尸王8	地图:H201	X:34	Y:161 
[2024/8/19 19:3:59] 物品:强效金创药	怪物:1EFC85B0尸王8	地图:H201	X:34	Y:161 
[2024/8/19 19:3:59] 物品:强效金创药	怪物:1EFC85B0尸王8	地图:H201	X:34	Y:161 
[2024/8/19 19:3:59] 物品:强效魔法药	怪物:1EFC85B0尸王8	地图:H201	X:34	Y:161 
[2024/8/19 19:3:59] 物品:强效魔法药	怪物:1EFC85B0尸王8	地图:H201	X:34	Y:161 
[2024/8/19 19:3:59] 物品:蛇眼戒指	怪物:1EFC85B0尸王8	地图:H201	X:34	Y:161 
[2024/8/19 19:3:59] 物品:蓝翡翠项链	怪物:1EFC85B0尸王8	地图:H201	X:34	Y:161 
[2024/8/19 19:3:59] 物品:魔力手镯	怪物:1EFC85B0尸王8	地图:H201	X:34	Y:161 
[2024/8/19 19:4:2] 物品:金创药(小量)	怪物:0D9DFF70僵尸4	地图:H201	X:33	Y:162 
[2024/8/19 19:4:18] 物品:强效太阳水	怪物:0D5EC640尸王8	地图:H201	X:34	Y:156 
[2024/8/19 19:4:18] 物品:强效太阳水	怪物:0D5EC640尸王8	地图:H201	X:34	Y:156 
[2024/8/19 19:4:18] 物品:强效太阳水	怪物:0D5EC640尸王8	地图:H201	X:34	Y:156 
[2024/8/19 19:4:18] 物品:强效太阳水	怪物:0D5EC640尸王8	地图:H201	X:34	Y:156 
[2024/8/19 19:4:18] 物品:强效太阳水	怪物:0D5EC640尸王8	地图:H201	X:34	Y:156 
[2024/8/19 19:4:18] 物品:强效金创药	怪物:0D5EC640尸王8	地图:H201	X:34	Y:156 
[2024/8/19 19:4:18] 物品:强效金创药	怪物:0D5EC640尸王8	地图:H201	X:34	Y:156 
[2024/8/19 19:4:18] 物品:强效魔法药	怪物:0D5EC640尸王8	地图:H201	X:34	Y:156 
[2024/8/19 19:4:18] 物品:强效魔法药	怪物:0D5EC640尸王8	地图:H201	X:34	Y:156 
[2024/8/19 19:4:18] 物品:黑檀手镯	怪物:0D5EC640尸王8	地图:H201	X:34	Y:156 
[2024/8/19 19:4:46] 物品:金创药(小量)	怪物:2375FCE0僵尸5	地图:H201	X:29	Y:150 
[2024/8/19 19:4:54] 物品:治愈术	怪物:190C4760僵尸1	地图:H201	X:31	Y:150 
[2024/8/19 19:4:55] 物品:强效太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:强效太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:强效太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:强效太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:强效太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:太阳水	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:金创药(中量)	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:金创药(中量)	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:强效金创药	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:强效金创药	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:强效金创药	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:魔法药(中量)	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:魔法药(中量)	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
[2024/8/19 19:4:55] 物品:强效魔法药	怪物:18124760沃玛卫士8	地图:H003	X:37	Y:59 
