[2024/8/19 20:0:0] 物品:金创药(小量)	怪物:28BC2210僵尸5	地图:H201	X:109	Y:137 
[2024/8/19 20:0:1] 物品:魔法药(中量)	怪物:1C0AB900恶灵尸王	地图:H201	X:52	Y:135 
[2024/8/19 20:0:1] 物品:隐身术	怪物:1C0AB900恶灵尸王	地图:H201	X:52	Y:135 
[2024/8/19 20:0:4] 物品:魔法药(小量)	怪物:3203CB40僵尸5	地图:H201	X:111	Y:139 
[2024/8/19 20:0:5] 物品:金创药(小量)	怪物:1C54CC80僵尸4	地图:H201	X:52	Y:133 
[2024/8/19 20:0:6] 物品:太阳水	怪物:1A5DAB00祖玛雕像8	地图:H204	X:66	Y:81 
[2024/8/19 20:0:6] 物品:凝霜	怪物:1A5DAB00祖玛雕像8	地图:H204	X:66	Y:81 
[2024/8/19 20:0:15] 物品:灵魂战衣(女)	怪物:1941F0F0骷髅刀斧手8	地图:H005	X:67	Y:183 
[2024/8/19 20:0:17] 物品:强效太阳水	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:强效太阳水	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:强效太阳水	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:强效太阳水	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:强效太阳水	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:强效金创药	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:强效金创药	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:强效魔法药	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:强效魔法药	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:蛇眼戒指	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:道德戒指	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:黑檀手镯	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:魔力手镯	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:17] 物品:召唤神兽	怪物:0517A730尸王8	地图:H201	X:45	Y:138 
[2024/8/19 20:0:18] 物品:太阳水	怪物:2A35D3B0僵尸5	地图:H201	X:45	Y:137 
[2024/8/19 20:0:18] 物品:太阳水	怪物:2A395FE0黑色恶蛆8	地图:H004	X:158	Y:114 
