[2024/8/19 21:0:3] 物品:蛇眼戒指	怪物:0D725750祖玛卫士8	地图:H204	X:70	Y:75 
[2024/8/19 21:0:5] 物品:强效太阳水	怪物:2875B320牛魔将军	地图:D2079	X:50	Y:25 
[2024/8/19 21:0:5] 物品:红宝石戒指	怪物:2875B320牛魔将军	地图:D2079	X:50	Y:25 
[2024/8/19 21:0:5] 物品:灵魂战衣(男)	怪物:2875B320牛魔将军	地图:D2079	X:50	Y:25 
[2024/8/19 21:0:5] 物品:蛇眼戒指	怪物:2875B320牛魔将军	地图:D2079	X:50	Y:25 
[2024/8/19 21:0:8] 物品:疾光电影	怪物:0D46C340恶灵尸王	地图:H201	X:20	Y:159 
[2024/8/19 21:0:8] 物品:诱惑之光	怪物:0D46C340恶灵尸王	地图:H201	X:20	Y:159 
[2024/8/19 21:0:8] 物品:大火球	怪物:0D46C340恶灵尸王	地图:H201	X:20	Y:159 
[2024/8/19 21:0:8] 物品:瞬息移动	怪物:0D46C340恶灵尸王	地图:H201	X:20	Y:159 
[2024/8/19 21:0:8] 物品:强效太阳水	怪物:2379E610尸王8	地图:H201	X:174	Y:91 
[2024/8/19 21:0:8] 物品:强效太阳水	怪物:2379E610尸王8	地图:H201	X:174	Y:91 
[2024/8/19 21:0:8] 物品:强效太阳水	怪物:2379E610尸王8	地图:H201	X:174	Y:91 
[2024/8/19 21:0:8] 物品:强效太阳水	怪物:2379E610尸王8	地图:H201	X:174	Y:91 
[2024/8/19 21:0:8] 物品:强效太阳水	怪物:2379E610尸王8	地图:H201	X:174	Y:91 
[2024/8/19 21:0:8] 物品:强效金创药	怪物:2379E610尸王8	地图:H201	X:174	Y:91 
[2024/8/19 21:0:8] 物品:强效金创药	怪物:2379E610尸王8	地图:H201	X:174	Y:91 
[2024/8/19 21:0:8] 物品:强效魔法药	怪物:2379E610尸王8	地图:H201	X:174	Y:91 
[2024/8/19 21:0:8] 物品:强效魔法药	怪物:2379E610尸王8	地图:H201	X:174	Y:91 
[2024/8/19 21:0:8] 物品:骷髅戒指	怪物:2379E610尸王8	地图:H201	X:174	Y:91 
[2024/8/19 21:0:8] 物品:生铁戒指	怪物:2379E610尸王8	地图:H201	X:174	Y:91 
[2024/8/19 21:0:8] 物品:凝霜	怪物:2379E610尸王8	地图:H201	X:174	Y:91 
[2024/8/19 21:0:8] 物品:降魔	怪物:2B36D5E0祖玛卫士8	地图:H204	X:42	Y:43 
[2024/8/19 21:0:8] 物品:坚固手套	怪物:2B36D5E0祖玛卫士8	地图:H204	X:42	Y:43 
[2024/8/19 21:0:8] 物品:黑檀手镯	怪物:2B36D5E0祖玛卫士8	地图:H204	X:42	Y:43 
[2024/8/19 21:0:9] 物品:强效太阳水	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:9] 物品:强效太阳水	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:9] 物品:强效太阳水	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:9] 物品:强效太阳水	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:9] 物品:强效太阳水	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:9] 物品:强效金创药	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:9] 物品:强效金创药	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:9] 物品:强效魔法药	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:9] 物品:强效魔法药	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:9] 物品:珍珠戒指	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:9] 物品:魅力戒指	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:9] 物品:黑檀手镯	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:9] 物品:魔力手镯	怪物:2E068160尸王8	地图:H201	X:173	Y:91 
[2024/8/19 21:0:10] 物品:地狱火	怪物:27097570僵尸4	地图:H201	X:20	Y:160 
[2024/8/19 21:0:11] 物品:强效金创药	怪物:2932A8E0恶灵尸王	地图:H201	X:173	Y:93 
[2024/8/19 21:0:11] 物品:幽灵盾	怪物:2932A8E0恶灵尸王	地图:H201	X:173	Y:93 
[2024/8/19 21:0:11] 物品:灵魂火符	怪物:2932A8E0恶灵尸王	地图:H201	X:173	Y:93 
[2024/8/19 21:0:11] 物品:诱惑之光	怪物:2932A8E0恶灵尸王	地图:H201	X:173	Y:93 
[2024/8/19 21:0:12] 物品:金创药(小量)	怪物:2DB1A9E0僵尸5	地图:H201	X:175	Y:94 
[2024/8/19 21:0:16] 物品:魅力戒指	怪物:1A36E020祖玛卫士8	地图:H204	X:43	Y:43 
[2024/8/19 21:0:16] 物品:金创药(小量)	怪物:2A33EB90僵尸5	地图:H201	X:169	Y:97 
[2024/8/19 21:0:18] 物品:金创药(小量)	怪物:27A001C0僵尸4	地图:H201	X:169	Y:97 
[2024/8/19 21:0:19] 物品:金创药(小量)	怪物:280A5830僵尸4	地图:H201	X:167	Y:96 
[2024/8/19 21:0:21] 物品:强效魔法药	怪物:1F082340牛魔祭司	地图:D2079	X:50	Y:28 
[2024/8/19 21:0:21] 物品:破魂	怪物:1F082340牛魔祭司	地图:D2079	X:50	Y:28 
[2024/8/19 21:0:22] 物品:灵魂项链	怪物:276507C0牛魔将军	地图:D2079	X:52	Y:25 
[2024/8/19 21:0:24] 物品:幽灵盾	怪物:1BD16C70恶灵尸王	地图:H201	X:167	Y:93 
[2024/8/19 21:0:24] 物品:灵魂火符	怪物:1BD16C70恶灵尸王	地图:H201	X:167	Y:93 
[2024/8/19 21:0:25] 物品:强效太阳水	怪物:284D7090牛魔祭司	地图:D2079	X:51	Y:28 
[2024/8/19 21:0:25] 物品:强效太阳水	怪物:284D7090牛魔祭司	地图:D2079	X:51	Y:28 
[2024/8/19 21:0:25] 物品:炼狱	怪物:284D7090牛魔祭司	地图:D2079	X:51	Y:28 
[2024/8/19 21:0:27] 物品:强效金创药	怪物:2766C200牛魔将军	地图:D2079	X:53	Y:26 
[2024/8/19 21:0:29] 物品:强效太阳水	怪物:286964C0牛魔祭司	地图:D2079	X:50	Y:25 
[2024/8/19 21:0:29] 物品:强效太阳水	怪物:286964C0牛魔祭司	地图:D2079	X:50	Y:25 
[2024/8/19 21:0:29] 物品:强效太阳水	怪物:286964C0牛魔祭司	地图:D2079	X:50	Y:25 
[2024/8/19 21:0:29] 物品:强效太阳水	怪物:1C83E150尸王8	地图:H201	X:33	Y:166 
[2024/8/19 21:0:29] 物品:强效太阳水	怪物:1C83E150尸王8	地图:H201	X:33	Y:166 
[2024/8/19 21:0:29] 物品:强效太阳水	怪物:1C83E150尸王8	地图:H201	X:33	Y:166 
[2024/8/19 21:0:29] 物品:强效太阳水	怪物:1C83E150尸王8	地图:H201	X:33	Y:166 
[2024/8/19 21:0:29] 物品:强效太阳水	怪物:1C83E150尸王8	地图:H201	X:33	Y:166 
[2024/8/19 21:0:29] 物品:强效金创药	怪物:1C83E150尸王8	地图:H201	X:33	Y:166 
[2024/8/19 21:0:29] 物品:强效金创药	怪物:1C83E150尸王8	地图:H201	X:33	Y:166 
[2024/8/19 21:0:29] 物品:强效魔法药	怪物:1C83E150尸王8	地图:H201	X:33	Y:166 
[2024/8/19 21:0:29] 物品:强效魔法药	怪物:1C83E150尸王8	地图:H201	X:33	Y:166 
[2024/8/19 21:0:29] 物品:骷髅戒指	怪物:1C83E150尸王8	地图:H201	X:33	Y:166 
[2024/8/19 21:0:29] 物品:道德戒指	怪物:1C83E150尸王8	地图:H201	X:33	Y:166 
[2024/8/19 21:0:29] 物品:黑檀手镯	怪物:1C83E150尸王8	地图:H201	X:33	Y:166 
[2024/8/19 21:0:31] 物品:白金项链	怪物:239F3380祖玛弓箭手8	地图:H204	X:40	Y:40 
[2024/8/19 21:0:31] 物品:蓝翡翠项链	怪物:239F3380祖玛弓箭手8	地图:H204	X:40	Y:40 
[2024/8/19 21:0:31] 物品:太阳水	怪物:23C1D120恶灵尸王	地图:H201	X:164	Y:88 
[2024/8/19 21:0:31] 物品:集体隐身术	怪物:23C1D120恶灵尸王	地图:H201	X:164	Y:88 
[2024/8/19 21:0:31] 物品:施毒术	怪物:23C1D120恶灵尸王	地图:H201	X:164	Y:88 
[2024/8/19 21:0:31] 物品:大火球	怪物:23C1D120恶灵尸王	地图:H201	X:164	Y:88 
[2024/8/19 21:0:31] 物品:召唤骷髅	怪物:23C1D120恶灵尸王	地图:H201	X:164	Y:88 
[2024/8/19 21:0:31] 物品:瞬息移动	怪物:23C1D120恶灵尸王	地图:H201	X:164	Y:88 
[2024/8/19 21:0:37] 物品:金创药(小量)	怪物:29E44450僵尸5	地图:H201	X:33	Y:165 
[2024/8/19 21:0:38] 物品:集体隐身术	怪物:27923C40恶灵尸王	地图:H201	X:34	Y:165 
[2024/8/19 21:0:38] 物品:大火球	怪物:27923C40恶灵尸王	地图:H201	X:34	Y:165 
[2024/8/19 21:0:38] 物品:召唤骷髅	怪物:27923C40恶灵尸王	地图:H201	X:34	Y:165 
[2024/8/19 21:0:39] 物品:魔法长袍(男)	怪物:0D6D63E0祖玛弓箭手8	地图:H204	X:8	Y:55 
[2024/8/19 21:0:42] 物品:强效金创药	怪物:22499950祖玛弓箭手	地图:H204	X:36	Y:34 
[2024/8/19 21:0:42] 物品:太阳水	怪物:22499950祖玛弓箭手	地图:H204	X:36	Y:34 
[2024/8/19 21:0:42] 物品:隐身术	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:42] 物品:地狱火	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:42] 物品:抗拒火环	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:42] 物品:精神力战法	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:42] 物品:火球术	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:42] 物品:治愈术	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:42] 物品:基本剑术	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:42] 物品:魔鬼项链	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:42] 物品:琥珀项链	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:42] 物品:凤凰明珠	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:坚固手套	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:灯笼项链	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:铁剑	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:短剑	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:轻型盔甲(男)	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:轻型盔甲(女)	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:青铜斧	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:黑檀项链	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:黄色水晶项链	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:黑色水晶项链	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:青铜头盔	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:金创药(小量)	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:金创药(小量)	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:金创药(小量)	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:金创药(小量)	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:魔法药(小量)	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:魔法药(小量)	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:魔法药(小量)	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:魔法药(小量)	怪物:27646C70僵尸50	地图:H201	X:34	Y:167 
[2024/8/19 21:0:43] 物品:精神力战法	怪物:29E44450僵尸5	地图:H201	X:33	Y:165 
[2024/8/19 21:0:46] 物品:蛇眼戒指	怪物:190831D0祖玛卫士8	地图:H204	X:11	Y:47 
[2024/8/19 21:0:51] 物品:金手镯	怪物:2909CC80祖玛卫士	地图:H204	X:37	Y:35 
[2024/8/19 21:0:52] 物品:施毒术	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:召唤骷髅	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:抗拒火环	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:精神力战法	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:火球术	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:治愈术	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:基本剑术	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:八荒	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:半月	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:凌风	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:魔鬼项链	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:琥珀项链	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:坚固手套	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:魔力手镯	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:灯笼项链	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:铁剑	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:短剑	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:轻型盔甲(男)	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:轻型盔甲(女)	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:青铜斧	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:黑檀项链	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:黄色水晶项链	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:黑色水晶项链	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:青铜头盔	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:金创药(小量)	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:金创药(小量)	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:金创药(小量)	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:金创药(小量)	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:魔法药(小量)	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:魔法药(小量)	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:魔法药(小量)	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:52] 物品:魔法药(小量)	怪物:2A3B5E30僵尸50	地图:H201	X:35	Y:150 
[2024/8/19 21:0:53] 物品:攻杀剑术	怪物:1ADCE7F0恶灵尸王	地图:H201	X:174	Y:106 
[2024/8/19 21:0:57] 物品:强效太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:强效太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
[2024/8/19 21:0:57] 物品:太阳水	怪物:0D9CB2A0白野猪8	地图:H204	X:19	Y:41 
