[2024/8/19 22:0:0] 物品:强效太阳水	怪物:280A5830祖玛雕像8	地图:H204	X:49	Y:10 
[2024/8/19 22:0:0] 物品:蛇眼戒指	怪物:280A5830祖玛雕像8	地图:H204	X:49	Y:10 
[2024/8/19 22:0:1] 物品:金戒指	怪物:296B32E0牛魔法师8	地图:H010	X:368	Y:29 
[2024/8/19 22:0:2] 物品:灵魂战衣(女)	怪物:2370B4F0祖玛卫士8	地图:H204	X:48	Y:10 
[2024/8/19 22:0:2] 物品:金创药(小量)	怪物:0D631A20僵尸4	地图:H201	X:76	Y:168 
[2024/8/19 22:0:3] 物品:魔法长袍(男)	怪物:1E8FB010牛魔侍卫8	地图:H010	X:367	Y:29 
[2024/8/19 22:0:9] 物品:强效太阳水	怪物:1CBE21F0牛魔将军0	地图:H010	X:369	Y:29 
[2024/8/19 22:0:9] 物品:强效太阳水	怪物:1CBE21F0牛魔将军0	地图:H010	X:369	Y:29 
[2024/8/19 22:0:9] 物品:太阳水	怪物:1CBE21F0牛魔将军0	地图:H010	X:369	Y:29 
[2024/8/19 22:0:9] 物品:躲避手链	怪物:1CBE21F0牛魔将军0	地图:H010	X:369	Y:29 
[2024/8/19 22:0:9] 物品:黑檀手镯	怪物:1CBE21F0牛魔将军0	地图:H010	X:369	Y:29 
[2024/8/19 22:0:13] 物品:强效太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:太阳水	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:金创药(中量)	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:金创药(中量)	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:金创药(中量)	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效金创药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效金创药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效金创药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:魔法药(中量)	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:魔法药(中量)	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:魔法药(中量)	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效魔法药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效魔法药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效魔法药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效金创药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效金创药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效金创药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效金创药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效金创药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
[2024/8/19 22:0:13] 物品:强效金创药	怪物:15B58290白野猪8	地图:H204	X:59	Y:16 
