[2024/8/19 4:0:6] 物品:魔法药(中量)	怪物:28F35F40祖玛雕像8	地图:H204	X:67	Y:27 
[2024/8/19 4:0:7] 物品:抗拒火环	怪物:296F01A0僵尸40	地图:H201	X:160	Y:35 
[2024/8/19 4:0:7] 物品:精神力战法	怪物:296F01A0僵尸40	地图:H201	X:160	Y:35 
[2024/8/19 4:0:7] 物品:火球术	怪物:296F01A0僵尸40	地图:H201	X:160	Y:35 
[2024/8/19 4:0:7] 物品:治愈术	怪物:296F01A0僵尸40	地图:H201	X:160	Y:35 
[2024/8/19 4:0:7] 物品:基本剑术	怪物:296F01A0僵尸40	地图:H201	X:160	Y:35 
[2024/8/19 4:0:9] 物品:太阳水	怪物:27857090僵尸5	地图:H201	X:160	Y:34 
[2024/8/19 4:0:10] 物品:金创药(中量)	怪物:1BE3CB20僵尸10	地图:H201	X:159	Y:36 
[2024/8/19 4:0:11] 物品:强效魔法药	怪物:28B77570魔龙刀兵2	地图:66	X:195	Y:40 
[2024/8/19 4:0:14] 物品:太阳水	怪物:058B95E0黑野猪8	地图:H002	X:220	Y:34 
[2024/8/19 4:0:15] 物品:太阳水	怪物:18D58BC0魔龙射手	地图:66	X:189	Y:40 
[2024/8/19 4:0:15] 物品:降魔	怪物:18D58BC0魔龙射手	地图:66	X:189	Y:40 
[2024/8/19 4:0:15] 物品:瞬息移动	怪物:18DAD3B0恶灵尸王	地图:H201	X:160	Y:36 
[2024/8/19 4:0:16] 物品:召唤骷髅	怪物:28D39480僵尸40	地图:H201	X:160	Y:35 
[2024/8/19 4:0:16] 物品:抗拒火环	怪物:28D39480僵尸40	地图:H201	X:160	Y:35 
[2024/8/19 4:0:16] 物品:精神力战法	怪物:28D39480僵尸40	地图:H201	X:160	Y:35 
[2024/8/19 4:0:16] 物品:火球术	怪物:28D39480僵尸40	地图:H201	X:160	Y:35 
[2024/8/19 4:0:16] 物品:治愈术	怪物:28D39480僵尸40	地图:H201	X:160	Y:35 
[2024/8/19 4:0:16] 物品:基本剑术	怪物:28D39480僵尸40	地图:H201	X:160	Y:35 
[2024/8/19 4:0:16] 物品:蓝色水晶戒指	怪物:28D39480僵尸40	地图:H201	X:160	Y:35 
[2024/8/19 4:0:21] 物品:太阳水	怪物:30F7C510黑野猪8	地图:H002	X:110	Y:273 
[2024/8/19 4:0:23] 物品:强效太阳水	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:强效太阳水	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:强效太阳水	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:强效太阳水	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:强效太阳水	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:强效金创药	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:强效金创药	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:强效魔法药	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:强效魔法药	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:死神手套	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:魅力戒指	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:蓝翡翠项链	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:黑檀手镯	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:23] 物品:魔力手镯	怪物:17BA0530尸王8	地图:H201	X:160	Y:36 
[2024/8/19 4:0:25] 物品:金创药(小量)	怪物:1A470BA0僵尸5	地图:H201	X:82	Y:91 
[2024/8/19 4:0:25] 物品:强效金创药	怪物:15D01170魔龙破甲兵	地图:66	X:190	Y:44 
[2024/8/19 4:0:25] 物品:骷髅头盔	怪物:15D01170魔龙破甲兵	地图:66	X:190	Y:44 
[2024/8/19 4:0:28] 物品:白金项链	怪物:1CB95020祖玛卫士8	地图:H204	X:74	Y:27 
[2024/8/19 4:0:28] 物品:蛇眼戒指	怪物:1CB95020祖玛卫士8	地图:H204	X:74	Y:27 
[2024/8/19 4:0:34] 物品:强效魔法药	怪物:1878DF80魔龙射手	地图:66	X:191	Y:50 
[2024/8/19 4:0:34] 物品:魔法手镯	怪物:30694CC0祖玛雕像8	地图:H204	X:74	Y:26 
[2024/8/19 4:0:36] 物品:强效太阳水	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:36] 物品:强效太阳水	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:36] 物品:强效太阳水	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:36] 物品:强效太阳水	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:36] 物品:强效太阳水	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:36] 物品:强效金创药	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:36] 物品:强效金创药	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:36] 物品:强效魔法药	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:36] 物品:强效魔法药	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:36] 物品:黑色水晶戒指	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:36] 物品:生铁戒指	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:36] 物品:黑檀手镯	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:36] 物品:魔力手镯	怪物:1CED0ED0尸王8	地图:H201	X:161	Y:41 
[2024/8/19 4:0:42] 物品:蛇眼戒指	怪物:1DF77FB0祖玛弓箭手8	地图:H204	X:81	Y:41 
[2024/8/19 4:0:42] 物品:强效太阳水	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:强效太阳水	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:强效太阳水	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:强效太阳水	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:强效太阳水	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:强效金创药	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:强效金创药	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:强效魔法药	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:强效魔法药	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:生铁戒指	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:凝霜	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:道德戒指	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:蓝翡翠项链	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:黑檀手镯	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:42] 物品:魔力手镯	怪物:1EC2DF80尸王8	地图:H201	X:161	Y:40 
[2024/8/19 4:0:44] 物品:施毒术	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:诱惑之光	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:抗拒火环	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:精神力战法	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:火球术	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:治愈术	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:基本剑术	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:八荒	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:蓝色水晶戒指	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:魔鬼项链	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
[2024/8/19 4:0:44] 物品:凤凰明珠	怪物:28E9EB90僵尸50	地图:H201	X:161	Y:41 
