[2024/8/19 5:0:0] 物品:强效魔法药	怪物:0D6D4DB0魔龙射手	地图:66	X:29	Y:220 
[2024/8/19 5:0:0] 物品:强效太阳水	怪物:0D6D4DB0魔龙射手	地图:66	X:29	Y:220 
[2024/8/19 5:0:0] 物品:重盔甲(女)	怪物:31D41040祖玛弓箭手8	地图:H204	X:65	Y:80 
[2024/8/19 5:0:9] 物品:强效金创药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效金创药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效金创药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效魔法药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效魔法药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效金创药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效金创药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效金创药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效金创药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效金创药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效魔法药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效魔法药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效金创药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效金创药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效魔法药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:强效魔法药	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:黑铁头盔(封印)	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:幽灵战衣(男)	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:群体治疗术	怪物:17E17340暗之牛魔王8	地图:H204	X:51	Y:92 
[2024/8/19 5:0:9] 物品:太阳水	怪物:244D5F40黑野猪8	地图:H002	X:255	Y:168 
[2024/8/19 5:0:21] 物品:强效魔法药	怪物:0D8A2350魔龙刀兵	地图:66	X:32	Y:217 
[2024/8/19 5:0:24] 物品:蓝色水晶戒指	怪物:0DA03ED0祖玛卫士8	地图:H204	X:31	Y:74 
[2024/8/19 5:0:27] 物品:灵魂战衣(女)	怪物:2117A0C0祖玛卫士8	地图:H204	X:29	Y:75 
[2024/8/19 5:0:31] 物品:强效太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:太阳水	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:金创药(中量)	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:金创药(中量)	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:金创药(中量)	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效金创药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效金创药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效金创药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:魔法药(中量)	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:魔法药(中量)	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:魔法药(中量)	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效魔法药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效魔法药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效魔法药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效金创药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效金创药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效金创药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效金创药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
[2024/8/19 5:0:31] 物品:强效金创药	怪物:0D9F3610白野猪8	地图:H204	X:29	Y:76 
