[2024/8/19 6:0:1] 物品:魔法药(小量)	怪物:190D3B70僵尸4	地图:H201	X:180	Y:58 
[2024/8/19 6:0:2] 物品:强效太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:强效太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:强效太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:强效太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:强效太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:太阳水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:金创药(中量)	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:金创药(中量)	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:强效金创药	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:强效金创药	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:强效金创药	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:魔法药(中量)	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:魔法药(中量)	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:强效魔法药	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:强效魔法药	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:强效魔法药	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:攻击神水	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:黑色水晶戒指	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:2] 物品:召唤神兽	怪物:30F44D90沃玛卫士8	地图:H204	X:53	Y:53 
[2024/8/19 6:0:6] 物品:强效太阳水	怪物:3087DAD0尸王8	地图:H201	X:179	Y:55 
[2024/8/19 6:0:6] 物品:强效太阳水	怪物:3087DAD0尸王8	地图:H201	X:179	Y:55 
[2024/8/19 6:0:6] 物品:强效太阳水	怪物:3087DAD0尸王8	地图:H201	X:179	Y:55 
[2024/8/19 6:0:6] 物品:强效太阳水	怪物:3087DAD0尸王8	地图:H201	X:179	Y:55 
[2024/8/19 6:0:6] 物品:强效太阳水	怪物:3087DAD0尸王8	地图:H201	X:179	Y:55 
[2024/8/19 6:0:6] 物品:强效金创药	怪物:3087DAD0尸王8	地图:H201	X:179	Y:55 
[2024/8/19 6:0:6] 物品:强效金创药	怪物:3087DAD0尸王8	地图:H201	X:179	Y:55 
[2024/8/19 6:0:6] 物品:强效魔法药	怪物:3087DAD0尸王8	地图:H201	X:179	Y:55 
[2024/8/19 6:0:6] 物品:强效魔法药	怪物:3087DAD0尸王8	地图:H201	X:179	Y:55 
[2024/8/19 6:0:6] 物品:死神手套	怪物:3087DAD0尸王8	地图:H201	X:179	Y:55 
[2024/8/19 6:0:6] 物品:魅力戒指	怪物:3087DAD0尸王8	地图:H201	X:179	Y:55 
[2024/8/19 6:0:8] 物品:金创药(小量)	怪物:1C9AE860僵尸4	地图:H201	X:179	Y:55 
[2024/8/19 6:0:14] 物品:强效太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:太阳水	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效金创药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效金创药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效金创药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效金创药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效金创药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效金创药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效金创药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效金创药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效金创药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效金创药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效魔法药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效魔法药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效魔法药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效魔法药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效魔法药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效魔法药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效魔法药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效魔法药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效魔法药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:强效魔法药	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
[2024/8/19 6:0:14] 物品:夏普儿手镯	怪物:283FFE20虹魔蝎卫8	地图:H204	X:53	Y:55 
