[2024/8/19 7:0:2] 物品:金创药(中量)	怪物:28E5A3E0祖玛雕像8	地图:H204	X:88	Y:51 
[2024/8/19 7:0:6] 物品:魔力手镯	怪物:29B15B00祖玛雕像8	地图:H204	X:91	Y:51 
[2024/8/19 7:0:12] 物品:金创药(中量)	怪物:1A4EB320祖玛弓箭手8	地图:H204	X:95	Y:53 
[2024/8/19 7:0:12] 物品:强效魔法药	怪物:27E945B0魔龙射手	地图:66	X:51	Y:116 
[2024/8/19 7:0:14] 物品:强效太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:强效太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
[2024/8/19 7:0:14] 物品:太阳水	怪物:1F0B15A0白野猪8	地图:H204	X:45	Y:52 
