[2024/8/19 8:0:11] 物品:瞬息移动	怪物:20AB5A50僵尸5	地图:H201	X:100	Y:58 
[2024/8/19 8:0:12] 物品:破魂	怪物:053B7B70祖玛卫士8	地图:H204	X:73	Y:23 
[2024/8/19 8:0:13] 物品:强效金创药	怪物:05973CE0魔龙刀兵	地图:66	X:106	Y:229 
[2024/8/19 8:0:15] 物品:强效太阳水	怪物:284175D0魔龙破甲兵	地图:66	X:104	Y:230 
[2024/8/19 8:0:22] 物品:金创药(中量)	怪物:062C4760祖玛卫士8	地图:H204	X:75	Y:23 
[2024/8/19 8:0:22] 物品:斩马刀	怪物:062C4760祖玛卫士8	地图:H204	X:75	Y:23 
[2024/8/19 8:0:22] 物品:金创药(小量)	怪物:225E4E70僵尸4	地图:H201	X:91	Y:22 
[2024/8/19 8:0:25] 物品:强效金创药	怪物:055C7860魔龙射手	地图:66	X:100	Y:224 
[2024/8/19 8:0:32] 物品:强效太阳水	怪物:2D6DAEA0尸王8	地图:H201	X:99	Y:17 
[2024/8/19 8:0:32] 物品:强效太阳水	怪物:2D6DAEA0尸王8	地图:H201	X:99	Y:17 
[2024/8/19 8:0:32] 物品:强效太阳水	怪物:2D6DAEA0尸王8	地图:H201	X:99	Y:17 
[2024/8/19 8:0:32] 物品:强效太阳水	怪物:2D6DAEA0尸王8	地图:H201	X:99	Y:17 
[2024/8/19 8:0:32] 物品:强效太阳水	怪物:2D6DAEA0尸王8	地图:H201	X:99	Y:17 
[2024/8/19 8:0:32] 物品:强效金创药	怪物:2D6DAEA0尸王8	地图:H201	X:99	Y:17 
[2024/8/19 8:0:32] 物品:强效金创药	怪物:2D6DAEA0尸王8	地图:H201	X:99	Y:17 
[2024/8/19 8:0:32] 物品:强效魔法药	怪物:2D6DAEA0尸王8	地图:H201	X:99	Y:17 
[2024/8/19 8:0:32] 物品:强效魔法药	怪物:2D6DAEA0尸王8	地图:H201	X:99	Y:17 
[2024/8/19 8:0:32] 物品:骷髅戒指	怪物:2D6DAEA0尸王8	地图:H201	X:99	Y:17 
[2024/8/19 8:0:32] 物品:黑檀手镯	怪物:2D6DAEA0尸王8	地图:H201	X:99	Y:17 
[2024/8/19 8:0:32] 物品:魔力手镯	怪物:2D6DAEA0尸王8	地图:H201	X:99	Y:17 
[2024/8/19 8:0:34] 物品:苹果	怪物:2DC67010魔龙破甲兵	地图:66	X:100	Y:225 
[2024/8/19 8:0:34] 物品:攻击力药水	怪物:1A84BB30僵尸4	地图:H201	X:100	Y:17 
[2024/8/19 8:0:34] 物品:魔法力药水	怪物:1A84BB30僵尸4	地图:H201	X:100	Y:17 
[2024/8/19 8:0:39] 物品:金创药(小量)	怪物:27A04450僵尸5	地图:H201	X:104	Y:15 
[2024/8/19 8:0:42] 物品:强效魔法药	怪物:1CAF4120魔龙刀兵1	地图:66	X:100	Y:224 
[2024/8/19 8:0:51] 物品:金创药(小量)	怪物:0D47A120僵尸4	地图:H201	X:107	Y:13 
[2024/8/19 8:0:51] 物品:强效魔法药	怪物:2DF89100魔龙刀兵	地图:66	X:100	Y:223 
[2024/8/19 8:0:53] 物品:强效太阳水	怪物:28FC19A0尸王8	地图:H201	X:107	Y:14 
[2024/8/19 8:0:53] 物品:强效太阳水	怪物:28FC19A0尸王8	地图:H201	X:107	Y:14 
[2024/8/19 8:0:53] 物品:强效太阳水	怪物:28FC19A0尸王8	地图:H201	X:107	Y:14 
[2024/8/19 8:0:53] 物品:强效太阳水	怪物:28FC19A0尸王8	地图:H201	X:107	Y:14 
[2024/8/19 8:0:53] 物品:强效太阳水	怪物:28FC19A0尸王8	地图:H201	X:107	Y:14 
[2024/8/19 8:0:53] 物品:强效金创药	怪物:28FC19A0尸王8	地图:H201	X:107	Y:14 
[2024/8/19 8:0:53] 物品:强效金创药	怪物:28FC19A0尸王8	地图:H201	X:107	Y:14 
[2024/8/19 8:0:53] 物品:强效魔法药	怪物:28FC19A0尸王8	地图:H201	X:107	Y:14 
[2024/8/19 8:0:53] 物品:强效魔法药	怪物:28FC19A0尸王8	地图:H201	X:107	Y:14 
[2024/8/19 8:0:53] 物品:黑檀手镯	怪物:28FC19A0尸王8	地图:H201	X:107	Y:14 
[2024/8/19 8:0:53] 物品:魔力手镯	怪物:28FC19A0尸王8	地图:H201	X:107	Y:14 
[2024/8/19 8:0:57] 物品:金创药(小量)	怪物:2A0B6230僵尸5	地图:H201	X:107	Y:15 
[2024/8/19 8:1:7] 物品:魔法药(小量)	怪物:0DCD7090僵尸4	地图:H201	X:114	Y:14 
[2024/8/19 8:1:8] 物品:太阳水	怪物:29796190蜈蚣	地图:D601	X:94	Y:116 
[2024/8/19 8:1:9] 物品:金创药(小量)	怪物:187964A0僵尸4	地图:H201	X:114	Y:10 
[2024/8/19 8:1:12] 物品:魔法长袍(女)	怪物:2DBFD710魔龙射手	地图:66	X:100	Y:217 
[2024/8/19 8:1:13] 物品:金戒指	怪物:18857ED0魔龙射手	地图:66	X:100	Y:218 
[2024/8/19 8:1:24] 物品:魔法药(小量)	怪物:28F31CB0僵尸4	地图:H201	X:120	Y:20 
[2024/8/19 8:1:26] 物品:骷髅头盔	怪物:307FB910黑野猪8	地图:H002	X:185	Y:111 
[2024/8/19 8:1:31] 物品:强效太阳水	怪物:05F364A0尸王8	地图:H201	X:121	Y:22 
[2024/8/19 8:1:31] 物品:强效太阳水	怪物:05F364A0尸王8	地图:H201	X:121	Y:22 
[2024/8/19 8:1:31] 物品:强效太阳水	怪物:05F364A0尸王8	地图:H201	X:121	Y:22 
[2024/8/19 8:1:31] 物品:强效太阳水	怪物:05F364A0尸王8	地图:H201	X:121	Y:22 
[2024/8/19 8:1:31] 物品:强效太阳水	怪物:05F364A0尸王8	地图:H201	X:121	Y:22 
[2024/8/19 8:1:31] 物品:强效金创药	怪物:05F364A0尸王8	地图:H201	X:121	Y:22 
[2024/8/19 8:1:31] 物品:强效金创药	怪物:05F364A0尸王8	地图:H201	X:121	Y:22 
[2024/8/19 8:1:31] 物品:强效魔法药	怪物:05F364A0尸王8	地图:H201	X:121	Y:22 
[2024/8/19 8:1:31] 物品:强效魔法药	怪物:05F364A0尸王8	地图:H201	X:121	Y:22 
[2024/8/19 8:1:31] 物品:骷髅戒指	怪物:05F364A0尸王8	地图:H201	X:121	Y:22 
[2024/8/19 8:1:31] 物品:珍珠戒指	怪物:05F364A0尸王8	地图:H201	X:121	Y:22 
[2024/8/19 8:1:31] 物品:黑檀手镯	怪物:05F364A0尸王8	地图:H201	X:121	Y:22 
[2024/8/19 8:1:34] 物品:抗拒火环	怪物:2DB2F530僵尸1	地图:H201	X:123	Y:24 
[2024/8/19 8:1:40] 物品:太阳水	怪物:2F3D7570黑野猪8	地图:H002	X:194	Y:106 
[2024/8/19 8:1:49] 物品:强效太阳水	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:强效太阳水	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:强效太阳水	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:强效太阳水	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:强效太阳水	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:强效金创药	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:强效金创药	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:强效魔法药	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:强效魔法药	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:黑色水晶戒指	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:生铁戒指	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:魔力手镯	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:群体治疗术	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:49] 物品:魔法盾	怪物:28B9E130尸王8	地图:H201	X:136	Y:28 
[2024/8/19 8:1:52] 物品:魔法药(小量)	怪物:30A322E0僵尸5	地图:H201	X:131	Y:24 
[2024/8/19 8:1:52] 物品:爆裂火焰	怪物:28F7B320僵尸4	地图:H201	X:135	Y:29 
[2024/8/19 8:1:58] 物品:强效太阳水	怪物:28F35F40尸王8	地图:H201	X:136	Y:29 
[2024/8/19 8:1:58] 物品:强效太阳水	怪物:28F35F40尸王8	地图:H201	X:136	Y:29 
[2024/8/19 8:1:58] 物品:强效太阳水	怪物:28F35F40尸王8	地图:H201	X:136	Y:29 
[2024/8/19 8:1:58] 物品:强效太阳水	怪物:28F35F40尸王8	地图:H201	X:136	Y:29 
[2024/8/19 8:1:58] 物品:强效太阳水	怪物:28F35F40尸王8	地图:H201	X:136	Y:29 
[2024/8/19 8:1:58] 物品:强效金创药	怪物:28F35F40尸王8	地图:H201	X:136	Y:29 
[2024/8/19 8:1:58] 物品:强效金创药	怪物:28F35F40尸王8	地图:H201	X:136	Y:29 
[2024/8/19 8:1:58] 物品:强效魔法药	怪物:28F35F40尸王8	地图:H201	X:136	Y:29 
[2024/8/19 8:1:58] 物品:强效魔法药	怪物:28F35F40尸王8	地图:H201	X:136	Y:29 
[2024/8/19 8:1:58] 物品:骷髅戒指	怪物:28F35F40尸王8	地图:H201	X:136	Y:29 
[2024/8/19 8:1:58] 物品:道德戒指	怪物:28F35F40尸王8	地图:H201	X:136	Y:29 
[2024/8/19 8:1:58] 物品:黑檀手镯	怪物:28F35F40尸王8	地图:H201	X:136	Y:29 
[2024/8/19 8:2:0] 物品:金创药(小量)	怪物:1A7B11C0僵尸5	地图:H201	X:131	Y:27 
[2024/8/19 8:2:0] 物品:魔法药(小量)	怪物:1A7B11C0僵尸5	地图:H201	X:131	Y:27 
[2024/8/19 8:2:0] 物品:抗拒火环	怪物:195117F0僵尸2	地图:D411	X:45	Y:23 
[2024/8/19 8:2:7] 物品:强效太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:强效太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:强效太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:强效太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:强效太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:太阳水	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:金创药(中量)	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:金创药(中量)	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:强效金创药	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:强效金创药	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:强效金创药	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:魔法药(中量)	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:魔法药(中量)	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:强效魔法药	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:强效魔法药	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:强效魔法药	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:八荒	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:魔法盾	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:火墙	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:7] 物品:神圣战甲术	怪物:2A312710沃玛卫士8	地图:H003	X:44	Y:42 
[2024/8/19 8:2:12] 物品:强效太阳水	怪物:2A00F050尸王8	地图:H201	X:136	Y:36 
[2024/8/19 8:2:12] 物品:强效太阳水	怪物:2A00F050尸王8	地图:H201	X:136	Y:36 
[2024/8/19 8:2:12] 物品:强效太阳水	怪物:2A00F050尸王8	地图:H201	X:136	Y:36 
[2024/8/19 8:2:12] 物品:强效太阳水	怪物:2A00F050尸王8	地图:H201	X:136	Y:36 
[2024/8/19 8:2:12] 物品:强效太阳水	怪物:2A00F050尸王8	地图:H201	X:136	Y:36 
[2024/8/19 8:2:12] 物品:强效金创药	怪物:2A00F050尸王8	地图:H201	X:136	Y:36 
[2024/8/19 8:2:12] 物品:强效金创药	怪物:2A00F050尸王8	地图:H201	X:136	Y:36 
[2024/8/19 8:2:12] 物品:强效魔法药	怪物:2A00F050尸王8	地图:H201	X:136	Y:36 
[2024/8/19 8:2:12] 物品:强效魔法药	怪物:2A00F050尸王8	地图:H201	X:136	Y:36 
[2024/8/19 8:2:12] 物品:魅力戒指	怪物:2A00F050尸王8	地图:H201	X:136	Y:36 
[2024/8/19 8:2:12] 物品:黑檀手镯	怪物:2A00F050尸王8	地图:H201	X:136	Y:36 
[2024/8/19 8:2:37] 物品:强效金创药	怪物:2BE5BA50魔龙巨蛾	地图:66	X:94	Y:220 
[2024/8/19 8:2:43] 物品:攻杀剑术	怪物:23593EF0恶灵尸王	地图:H201	X:152	Y:36 
[2024/8/19 8:2:48] 物品:强效魔法药	怪物:0D7ABC80魔龙刀兵	地图:66	X:92	Y:221 
[2024/8/19 8:2:52] 物品:强效太阳水	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:52] 物品:强效太阳水	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:52] 物品:强效太阳水	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:52] 物品:强效太阳水	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:52] 物品:强效太阳水	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:52] 物品:强效金创药	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:52] 物品:强效金创药	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:52] 物品:强效魔法药	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:52] 物品:强效魔法药	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:52] 物品:骷髅戒指	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:52] 物品:魅力戒指	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:52] 物品:魔力手镯	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:52] 物品:地狱雷光	怪物:18AEBCA0尸王8	地图:H201	X:152	Y:34 
[2024/8/19 8:2:55] 物品:强效太阳水	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:2:55] 物品:强效太阳水	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:2:55] 物品:强效太阳水	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:2:55] 物品:强效太阳水	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
[2024/8/19 8:2:55] 物品:强效太阳水	怪物:273ADD10尸王8	地图:H201	X:153	Y:35 
