[2024/8/20 1:0:0] 物品:道士手镯	怪物:2D701BE0魔龙破甲兵1	地图:65	X:213	Y:116 
[2024/8/20 1:0:15] 物品:强效太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:太阳水	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:金创药(中量)	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:金创药(中量)	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:金创药(中量)	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效金创药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效金创药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效金创药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:魔法药(中量)	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:魔法药(中量)	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:魔法药(中量)	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效魔法药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效魔法药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效魔法药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效金创药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效金创药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效金创药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效金创药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效金创药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效金创药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效魔法药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效魔法药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效魔法药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效魔法药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效魔法药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:强效魔法药	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
[2024/8/20 1:0:15] 物品:魔法长袍(男)	怪物:18DD8200白野猪8	地图:H204	X:19	Y:22 
