[2024/8/20 10:0:1] 物品:金创药(中量)	怪物:1BD6CED0祖玛弓箭手	地图:H204	X:44	Y:43 
[2024/8/20 10:0:2] 物品:强效太阳水	怪物:225D7090祖玛雕像	地图:H204	X:44	Y:41 
[2024/8/20 10:0:2] 物品:半月	怪物:225D7090祖玛雕像	地图:H204	X:44	Y:41 
[2024/8/20 10:0:7] 物品:强效魔法药	怪物:1A5FC240恶灵尸王	地图:H201	X:71	Y:182 
[2024/8/20 10:0:7] 物品:隐身术	怪物:1A5FC240恶灵尸王	地图:H201	X:71	Y:182 
[2024/8/20 10:0:7] 物品:雷电术	怪物:1A5FC240恶灵尸王	地图:H201	X:71	Y:182 
[2024/8/20 10:0:8] 物品:攻击力药水	怪物:1A044C00僵尸5	地图:H201	X:69	Y:182 
[2024/8/20 10:0:19] 物品:金创药(小量)	怪物:2A0B7860僵尸4	地图:H201	X:76	Y:176 
[2024/8/20 10:0:19] 物品:魔法药(小量)	怪物:2A0B7860僵尸4	地图:H201	X:76	Y:176 
[2024/8/20 10:0:21] 物品:太阳水	怪物:1FF04560祖玛弓箭手8	地图:H204	X:41	Y:40 
[2024/8/20 10:0:23] 物品:强效太阳水	怪物:299E10C0尸王8	地图:H201	X:70	Y:171 
[2024/8/20 10:0:23] 物品:强效太阳水	怪物:299E10C0尸王8	地图:H201	X:70	Y:171 
[2024/8/20 10:0:23] 物品:强效太阳水	怪物:299E10C0尸王8	地图:H201	X:70	Y:171 
[2024/8/20 10:0:23] 物品:强效太阳水	怪物:299E10C0尸王8	地图:H201	X:70	Y:171 
[2024/8/20 10:0:23] 物品:强效太阳水	怪物:299E10C0尸王8	地图:H201	X:70	Y:171 
[2024/8/20 10:0:23] 物品:强效金创药	怪物:299E10C0尸王8	地图:H201	X:70	Y:171 
[2024/8/20 10:0:23] 物品:强效金创药	怪物:299E10C0尸王8	地图:H201	X:70	Y:171 
[2024/8/20 10:0:23] 物品:强效魔法药	怪物:299E10C0尸王8	地图:H201	X:70	Y:171 
[2024/8/20 10:0:23] 物品:强效魔法药	怪物:299E10C0尸王8	地图:H201	X:70	Y:171 
[2024/8/20 10:0:23] 物品:魔鬼项链	怪物:23CF45B0祖玛弓箭手8	地图:H204	X:40	Y:38 
[2024/8/20 10:0:23] 物品:放大镜	怪物:23CF45B0祖玛弓箭手8	地图:H204	X:40	Y:38 
[2024/8/20 10:0:26] 物品:太阳水	怪物:18BF9100僵尸5	地图:H201	X:69	Y:172 
