[2024/8/20 11:0:18] 物品:金创药(小量)	怪物:28AC6E20僵尸4	地图:H201	X:95	Y:171 
[2024/8/20 11:0:19] 物品:强效太阳水	怪物:058F2210尸王8	地图:H201	X:91	Y:172 
[2024/8/20 11:0:19] 物品:强效太阳水	怪物:058F2210尸王8	地图:H201	X:91	Y:172 
[2024/8/20 11:0:19] 物品:强效太阳水	怪物:058F2210尸王8	地图:H201	X:91	Y:172 
[2024/8/20 11:0:19] 物品:强效太阳水	怪物:058F2210尸王8	地图:H201	X:91	Y:172 
[2024/8/20 11:0:19] 物品:强效太阳水	怪物:058F2210尸王8	地图:H201	X:91	Y:172 
[2024/8/20 11:0:19] 物品:强效金创药	怪物:058F2210尸王8	地图:H201	X:91	Y:172 
[2024/8/20 11:0:19] 物品:强效金创药	怪物:058F2210尸王8	地图:H201	X:91	Y:172 
[2024/8/20 11:0:19] 物品:强效魔法药	怪物:058F2210尸王8	地图:H201	X:91	Y:172 
[2024/8/20 11:0:19] 物品:强效魔法药	怪物:058F2210尸王8	地图:H201	X:91	Y:172 
[2024/8/20 11:0:19] 物品:生铁戒指	怪物:058F2210尸王8	地图:H201	X:91	Y:172 
[2024/8/20 11:0:19] 物品:魔力手镯	怪物:058F2210尸王8	地图:H201	X:91	Y:172 
[2024/8/20 11:0:24] 物品:强效太阳水	怪物:1B8E86C0尸王8	地图:H201	X:93	Y:173 
[2024/8/20 11:0:24] 物品:强效太阳水	怪物:1B8E86C0尸王8	地图:H201	X:93	Y:173 
[2024/8/20 11:0:24] 物品:强效太阳水	怪物:1B8E86C0尸王8	地图:H201	X:93	Y:173 
[2024/8/20 11:0:24] 物品:强效太阳水	怪物:1B8E86C0尸王8	地图:H201	X:93	Y:173 
[2024/8/20 11:0:24] 物品:强效太阳水	怪物:1B8E86C0尸王8	地图:H201	X:93	Y:173 
[2024/8/20 11:0:24] 物品:强效金创药	怪物:1B8E86C0尸王8	地图:H201	X:93	Y:173 
[2024/8/20 11:0:24] 物品:强效金创药	怪物:1B8E86C0尸王8	地图:H201	X:93	Y:173 
[2024/8/20 11:0:24] 物品:强效魔法药	怪物:1B8E86C0尸王8	地图:H201	X:93	Y:173 
[2024/8/20 11:0:24] 物品:强效魔法药	怪物:1B8E86C0尸王8	地图:H201	X:93	Y:173 
[2024/8/20 11:0:24] 物品:黑檀手镯	怪物:1B8E86C0尸王8	地图:H201	X:93	Y:173 
[2024/8/20 11:0:24] 物品:魔力手镯	怪物:1B8E86C0尸王8	地图:H201	X:93	Y:173 
[2024/8/20 11:0:26] 物品:强效太阳水	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:26] 物品:强效太阳水	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:26] 物品:强效太阳水	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:26] 物品:强效太阳水	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:26] 物品:强效太阳水	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:26] 物品:强效金创药	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:26] 物品:强效金创药	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:26] 物品:强效魔法药	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:26] 物品:强效魔法药	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:26] 物品:道德戒指	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:26] 物品:魅力戒指	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:26] 物品:蓝翡翠项链	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:26] 物品:黑檀手镯	怪物:28ECDC70尸王8	地图:H201	X:91	Y:171 
[2024/8/20 11:0:27] 物品:强效太阳水	怪物:2B9643B0魔龙射手1	地图:66	X:234	Y:116 
[2024/8/20 11:0:27] 物品:灵魂战衣(男)	怪物:2B9643B0魔龙射手1	地图:66	X:234	Y:116 
[2024/8/20 11:0:32] 物品:强效魔法药	怪物:286E2BD0魔龙邪眼	地图:66	X:247	Y:116 
[2024/8/20 11:0:32] 物品:强效太阳水	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:强效太阳水	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:强效太阳水	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:强效太阳水	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:强效太阳水	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:强效金创药	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:强效金创药	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:强效魔法药	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:强效魔法药	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:黑色水晶戒指	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:生铁戒指	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:道德戒指	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:魔力手镯	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:32] 物品:烈火剑法	怪物:03AB3E50尸王8	地图:H201	X:91	Y:170 
[2024/8/20 11:0:37] 物品:强效金创药	怪物:2817E750魔龙破甲兵	地图:66	X:248	Y:115 
[2024/8/20 11:0:42] 物品:强效金创药	怪物:202317D0魔龙射手	地图:66	X:247	Y:112 
[2024/8/20 11:0:42] 物品:强效魔法药	怪物:202317D0魔龙射手	地图:66	X:247	Y:112 
[2024/8/20 11:0:45] 物品:金创药(小量)	怪物:2D5843B0僵尸5	地图:H201	X:87	Y:172 
[2024/8/20 11:0:48] 物品:强效金创药	怪物:224D6820魔龙射手	地图:66	X:246	Y:119 
[2024/8/20 11:0:48] 物品:强效金创药	怪物:224D6820魔龙射手	地图:66	X:246	Y:119 
[2024/8/20 11:0:48] 物品:强效太阳水	怪物:224D6820魔龙射手	地图:66	X:246	Y:119 
[2024/8/20 11:0:54] 物品:强效太阳水	怪物:0D647D20白野猪0	地图:D717	X:26	Y:61 
[2024/8/20 11:0:54] 物品:强效太阳水	怪物:0D647D20白野猪0	地图:D717	X:26	Y:61 
[2024/8/20 11:0:54] 物品:强效太阳水	怪物:0D647D20白野猪0	地图:D717	X:26	Y:61 
[2024/8/20 11:0:54] 物品:太阳水	怪物:0D647D20白野猪0	地图:D717	X:26	Y:61 
[2024/8/20 11:0:54] 物品:太阳水	怪物:0D647D20白野猪0	地图:D717	X:26	Y:61 
[2024/8/20 11:0:54] 物品:太阳水	怪物:0D647D20白野猪0	地图:D717	X:26	Y:61 
[2024/8/20 11:0:54] 物品:太阳水	怪物:0D647D20白野猪0	地图:D717	X:26	Y:61 
[2024/8/20 11:0:54] 物品:魅力戒指	怪物:0D647D20白野猪0	地图:D717	X:26	Y:61 
[2024/8/20 11:0:56] 物品:疾光电影	怪物:1A044C00恶灵尸王	地图:H201	X:87	Y:167 
[2024/8/20 11:0:56] 物品:火墙	怪物:1A044C00恶灵尸王	地图:H201	X:87	Y:167 
[2024/8/20 11:0:56] 物品:大火球	怪物:1A044C00恶灵尸王	地图:H201	X:87	Y:167 
[2024/8/20 11:0:56] 物品:召唤骷髅	怪物:1A044C00恶灵尸王	地图:H201	X:87	Y:167 
[2024/8/20 11:0:59] 物品:强效金创药	怪物:19D29D90魔龙射手	地图:66	X:238	Y:125 
[2024/8/20 11:1:2] 物品:强效魔法药	怪物:27A6AB30魔龙射手	地图:66	X:240	Y:124 
[2024/8/20 11:1:5] 物品:魔法药(小量)	怪物:2E33E100僵尸4	地图:H201	X:82	Y:170 
[2024/8/20 11:1:9] 物品:骷髅头盔	怪物:034E8310魔龙射手2	地图:66	X:250	Y:118 
[2024/8/20 11:1:9] 物品:死神手套	怪物:034E8310魔龙射手2	地图:66	X:250	Y:118 
[2024/8/20 11:1:9] 物品:金创药(小量)	怪物:18035C20僵尸5	地图:H201	X:82	Y:170 
[2024/8/20 11:1:10] 物品:魔法药(小量)	怪物:181273C0僵尸5	地图:H201	X:82	Y:173 
[2024/8/20 11:1:12] 物品:金创药(小量)	怪物:2334B150僵尸5	地图:H201	X:84	Y:170 
[2024/8/20 11:1:21] 物品:强效太阳水	怪物:0D6F5040尸王8	地图:H201	X:75	Y:176 
[2024/8/20 11:1:21] 物品:强效太阳水	怪物:0D6F5040尸王8	地图:H201	X:75	Y:176 
[2024/8/20 11:1:21] 物品:强效太阳水	怪物:0D6F5040尸王8	地图:H201	X:75	Y:176 
[2024/8/20 11:1:21] 物品:强效太阳水	怪物:0D6F5040尸王8	地图:H201	X:75	Y:176 
[2024/8/20 11:1:21] 物品:强效太阳水	怪物:0D6F5040尸王8	地图:H201	X:75	Y:176 
[2024/8/20 11:1:21] 物品:强效金创药	怪物:0D6F5040尸王8	地图:H201	X:75	Y:176 
[2024/8/20 11:1:21] 物品:强效金创药	怪物:0D6F5040尸王8	地图:H201	X:75	Y:176 
[2024/8/20 11:1:21] 物品:强效魔法药	怪物:0D6F5040尸王8	地图:H201	X:75	Y:176 
[2024/8/20 11:1:21] 物品:强效魔法药	怪物:0D6F5040尸王8	地图:H201	X:75	Y:176 
[2024/8/20 11:1:21] 物品:蛇眼戒指	怪物:0D6F5040尸王8	地图:H201	X:75	Y:176 
[2024/8/20 11:1:21] 物品:生铁戒指	怪物:0D6F5040尸王8	地图:H201	X:75	Y:176 
[2024/8/20 11:1:21] 物品:蓝翡翠项链	怪物:0D6F5040尸王8	地图:H201	X:75	Y:176 
[2024/8/20 11:1:22] 物品:诱惑之光	怪物:2B3C0BE0僵尸1	地图:H201	X:75	Y:179 
[2024/8/20 11:1:24] 物品:强效太阳水	怪物:288E0A90尸王8	地图:H201	X:75	Y:175 
[2024/8/20 11:1:24] 物品:强效太阳水	怪物:288E0A90尸王8	地图:H201	X:75	Y:175 
[2024/8/20 11:1:24] 物品:强效太阳水	怪物:288E0A90尸王8	地图:H201	X:75	Y:175 
[2024/8/20 11:1:24] 物品:强效太阳水	怪物:288E0A90尸王8	地图:H201	X:75	Y:175 
[2024/8/20 11:1:24] 物品:强效太阳水	怪物:288E0A90尸王8	地图:H201	X:75	Y:175 
[2024/8/20 11:1:24] 物品:强效金创药	怪物:288E0A90尸王8	地图:H201	X:75	Y:175 
[2024/8/20 11:1:24] 物品:强效金创药	怪物:288E0A90尸王8	地图:H201	X:75	Y:175 
[2024/8/20 11:1:24] 物品:强效魔法药	怪物:288E0A90尸王8	地图:H201	X:75	Y:175 
[2024/8/20 11:1:24] 物品:强效魔法药	怪物:288E0A90尸王8	地图:H201	X:75	Y:175 
[2024/8/20 11:1:24] 物品:蛇眼戒指	怪物:288E0A90尸王8	地图:H201	X:75	Y:175 
[2024/8/20 11:1:24] 物品:凝霜	怪物:288E0A90尸王8	地图:H201	X:75	Y:175 
[2024/8/20 11:1:24] 物品:蓝翡翠项链	怪物:288E0A90尸王8	地图:H201	X:75	Y:175 
[2024/8/20 11:1:26] 物品:幽灵盾	怪物:27D1FA90僵尸1	地图:H201	X:75	Y:176 
[2024/8/20 11:1:34] 物品:金创药(小量)	怪物:2D5524F0僵尸5	地图:H201	X:73	Y:182 
[2024/8/20 11:1:34] 物品:太阳水	怪物:2D5524F0僵尸5	地图:H201	X:73	Y:182 
[2024/8/20 11:1:39] 物品:强效魔法药	怪物:1C606190魔龙破甲兵	地图:66	X:250	Y:99 
[2024/8/20 11:1:43] 物品:金创药(小量)	怪物:1EF9BFB0僵尸4	地图:H201	X:67	Y:172 
[2024/8/20 11:1:45] 物品:强效太阳水	怪物:307FA2E0尸王8	地图:H201	X:68	Y:173 
[2024/8/20 11:1:45] 物品:强效太阳水	怪物:307FA2E0尸王8	地图:H201	X:68	Y:173 
[2024/8/20 11:1:45] 物品:强效太阳水	怪物:307FA2E0尸王8	地图:H201	X:68	Y:173 
[2024/8/20 11:1:45] 物品:强效太阳水	怪物:307FA2E0尸王8	地图:H201	X:68	Y:173 
[2024/8/20 11:1:45] 物品:强效太阳水	怪物:307FA2E0尸王8	地图:H201	X:68	Y:173 
[2024/8/20 11:1:45] 物品:强效金创药	怪物:307FA2E0尸王8	地图:H201	X:68	Y:173 
[2024/8/20 11:1:45] 物品:强效金创药	怪物:307FA2E0尸王8	地图:H201	X:68	Y:173 
[2024/8/20 11:1:45] 物品:强效魔法药	怪物:307FA2E0尸王8	地图:H201	X:68	Y:173 
[2024/8/20 11:1:45] 物品:强效魔法药	怪物:307FA2E0尸王8	地图:H201	X:68	Y:173 
[2024/8/20 11:1:45] 物品:生铁戒指	怪物:307FA2E0尸王8	地图:H201	X:68	Y:173 
[2024/8/20 11:1:45] 物品:魔力手镯	怪物:307FA2E0尸王8	地图:H201	X:68	Y:173 
[2024/8/20 11:1:46] 物品:金创药(小量)	怪物:29FCAE60僵尸5	地图:H201	X:67	Y:173 
[2024/8/20 11:1:49] 物品:强效太阳水	怪物:2DE3F5B0尸王8	地图:H201	X:67	Y:174 
[2024/8/20 11:1:49] 物品:强效太阳水	怪物:2DE3F5B0尸王8	地图:H201	X:67	Y:174 
[2024/8/20 11:1:49] 物品:强效太阳水	怪物:2DE3F5B0尸王8	地图:H201	X:67	Y:174 
[2024/8/20 11:1:49] 物品:强效太阳水	怪物:2DE3F5B0尸王8	地图:H201	X:67	Y:174 
[2024/8/20 11:1:49] 物品:强效太阳水	怪物:2DE3F5B0尸王8	地图:H201	X:67	Y:174 
[2024/8/20 11:1:49] 物品:强效金创药	怪物:2DE3F5B0尸王8	地图:H201	X:67	Y:174 
[2024/8/20 11:1:49] 物品:强效金创药	怪物:2DE3F5B0尸王8	地图:H201	X:67	Y:174 
[2024/8/20 11:1:49] 物品:强效魔法药	怪物:2DE3F5B0尸王8	地图:H201	X:67	Y:174 
[2024/8/20 11:1:49] 物品:强效魔法药	怪物:2DE3F5B0尸王8	地图:H201	X:67	Y:174 
[2024/8/20 11:1:49] 物品:骷髅戒指	怪物:2DE3F5B0尸王8	地图:H201	X:67	Y:174 
[2024/8/20 11:1:49] 物品:蛇眼戒指	怪物:2DE3F5B0尸王8	地图:H201	X:67	Y:174 
[2024/8/20 11:2:0] 物品:刺杀剑术	怪物:051897B0僵尸5	地图:H201	X:63	Y:168 
[2024/8/20 11:2:7] 物品:强效太阳水	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:7] 物品:强效太阳水	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:7] 物品:强效太阳水	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
[2024/8/20 11:2:7] 物品:强效太阳水	怪物:28B65500尸王8	地图:H201	X:61	Y:167 
