[2024/8/20 12:0:15] 物品:施毒术	怪物:2D5AC5A0僵尸1	地图:H201	X:104	Y:18 
[2024/8/20 12:0:21] 物品:魔法长袍(男)	怪物:26656B50魔龙射手	地图:66	X:124	Y:116 
[2024/8/20 12:0:27] 物品:强效金创药	怪物:2386A5A0魔龙刀兵	地图:66	X:122	Y:117 
[2024/8/20 12:0:29] 物品:强效金创药	怪物:19EDA1F0魔龙邪眼	地图:66	X:123	Y:117 
[2024/8/20 12:0:34] 物品:强效魔法药	怪物:033683B0魔龙破甲兵	地图:66	X:126	Y:115 
[2024/8/20 12:0:39] 物品:幽灵盾	怪物:2DA0C2E0恶灵尸王	地图:H201	X:97	Y:33 
[2024/8/20 12:0:39] 物品:隐身术	怪物:2DA0C2E0恶灵尸王	地图:H201	X:97	Y:33 
[2024/8/20 12:0:39] 物品:灵魂火符	怪物:2DA0C2E0恶灵尸王	地图:H201	X:97	Y:33 
[2024/8/20 12:0:44] 物品:强效魔法药	怪物:2A9975D0魔龙射手1	地图:66	X:131	Y:109 
[2024/8/20 12:0:46] 物品:金创药(小量)	怪物:1D47D390僵尸5	地图:H201	X:97	Y:40 
[2024/8/20 12:0:46] 物品:太阳水	怪物:1D47D390僵尸5	地图:H201	X:97	Y:40 
[2024/8/20 12:0:49] 物品:泰坦戒指	怪物:2F480060魔龙射手	地图:66	X:131	Y:106 
[2024/8/20 12:0:55] 物品:金手镯	怪物:2ECC76C0魔龙破甲兵	地图:66	X:133	Y:106 
[2024/8/20 12:1:15] 物品:魔法药(小量)	怪物:19F61D50僵尸4	地图:H201	X:94	Y:58 
[2024/8/20 12:1:17] 物品:强效太阳水	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:17] 物品:强效太阳水	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:17] 物品:强效太阳水	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:17] 物品:强效太阳水	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:17] 物品:强效太阳水	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:17] 物品:强效金创药	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:17] 物品:强效金创药	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:17] 物品:强效魔法药	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:17] 物品:强效魔法药	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:17] 物品:珍珠戒指	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:17] 物品:魅力戒指	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:17] 物品:黑檀手镯	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:17] 物品:魔力手镯	怪物:1C7B3D20尸王8	地图:H201	X:92	Y:58 
[2024/8/20 12:1:22] 物品:强效金创药	怪物:1A5CB6F0魔龙射手	地图:66	X:136	Y:113 
[2024/8/20 12:1:22] 物品:强效魔法药	怪物:1A5CB6F0魔龙射手	地图:66	X:136	Y:113 
[2024/8/20 12:1:28] 物品:强效太阳水	怪物:0D763C40尸王8	地图:H201	X:99	Y:62 
[2024/8/20 12:1:28] 物品:强效太阳水	怪物:0D763C40尸王8	地图:H201	X:99	Y:62 
[2024/8/20 12:1:28] 物品:强效太阳水	怪物:0D763C40尸王8	地图:H201	X:99	Y:62 
[2024/8/20 12:1:28] 物品:强效太阳水	怪物:0D763C40尸王8	地图:H201	X:99	Y:62 
[2024/8/20 12:1:28] 物品:强效太阳水	怪物:0D763C40尸王8	地图:H201	X:99	Y:62 
[2024/8/20 12:1:28] 物品:强效金创药	怪物:0D763C40尸王8	地图:H201	X:99	Y:62 
[2024/8/20 12:1:28] 物品:强效金创药	怪物:0D763C40尸王8	地图:H201	X:99	Y:62 
[2024/8/20 12:1:28] 物品:强效魔法药	怪物:0D763C40尸王8	地图:H201	X:99	Y:62 
[2024/8/20 12:1:28] 物品:强效魔法药	怪物:0D763C40尸王8	地图:H201	X:99	Y:62 
[2024/8/20 12:1:28] 物品:蛇眼戒指	怪物:0D763C40尸王8	地图:H201	X:99	Y:62 
[2024/8/20 12:1:28] 物品:生铁戒指	怪物:0D763C40尸王8	地图:H201	X:99	Y:62 
[2024/8/20 12:1:28] 物品:黑檀手镯	怪物:0D763C40尸王8	地图:H201	X:99	Y:62 
[2024/8/20 12:1:29] 物品:金创药(小量)	怪物:27947D20僵尸3	地图:D401	X:57	Y:42 
[2024/8/20 12:1:31] 物品:金创药(小量)	怪物:19F61D50僵尸4	地图:H201	X:94	Y:58 
[2024/8/20 12:1:39] 物品:强效太阳水	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:39] 物品:强效太阳水	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:39] 物品:强效太阳水	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:39] 物品:强效太阳水	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:39] 物品:强效太阳水	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:39] 物品:强效金创药	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:39] 物品:强效金创药	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:39] 物品:强效魔法药	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:39] 物品:强效魔法药	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:39] 物品:珍珠戒指	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:39] 物品:凝霜	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:39] 物品:道德戒指	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:39] 物品:魔力手镯	怪物:1EF399E0尸王8	地图:H201	X:86	Y:60 
[2024/8/20 12:1:44] 物品:金创药(小量)	怪物:27947D20僵尸3	地图:D401	X:57	Y:42 
[2024/8/20 12:1:44] 物品:魔法药(小量)	怪物:27947D20僵尸3	地图:D401	X:57	Y:42 
[2024/8/20 12:1:47] 物品:精神力药水	怪物:31E6D8E0僵尸5	地图:H201	X:84	Y:59 
[2024/8/20 12:1:49] 物品:强效太阳水	怪物:302D8840尸王8	地图:H201	X:84	Y:59 
[2024/8/20 12:1:49] 物品:强效太阳水	怪物:302D8840尸王8	地图:H201	X:84	Y:59 
[2024/8/20 12:1:49] 物品:强效太阳水	怪物:302D8840尸王8	地图:H201	X:84	Y:59 
[2024/8/20 12:1:49] 物品:强效太阳水	怪物:302D8840尸王8	地图:H201	X:84	Y:59 
[2024/8/20 12:1:49] 物品:强效太阳水	怪物:302D8840尸王8	地图:H201	X:84	Y:59 
[2024/8/20 12:1:49] 物品:强效金创药	怪物:302D8840尸王8	地图:H201	X:84	Y:59 
[2024/8/20 12:1:49] 物品:强效金创药	怪物:302D8840尸王8	地图:H201	X:84	Y:59 
