[2024/8/20 14:0:1] 物品:金创药(中量)	怪物:27617A10沃玛勇士	地图:D024	X:56	Y:46 
[2024/8/20 14:0:1] 物品:魔法药(中量)	怪物:27617A10沃玛勇士	地图:D024	X:56	Y:46 
[2024/8/20 14:0:1] 物品:灯笼项链	怪物:27617A10沃玛勇士	地图:D024	X:56	Y:46 
[2024/8/20 14:0:1] 物品:银手镯	怪物:27617A10沃玛勇士	地图:D024	X:56	Y:46 
[2024/8/20 14:0:17] 物品:强效太阳水	怪物:0DB16420尸王8	地图:H201	X:122	Y:152 
[2024/8/20 14:0:17] 物品:强效太阳水	怪物:0DB16420尸王8	地图:H201	X:122	Y:152 
[2024/8/20 14:0:17] 物品:强效太阳水	怪物:0DB16420尸王8	地图:H201	X:122	Y:152 
[2024/8/20 14:0:17] 物品:强效太阳水	怪物:0DB16420尸王8	地图:H201	X:122	Y:152 
[2024/8/20 14:0:17] 物品:强效太阳水	怪物:0DB16420尸王8	地图:H201	X:122	Y:152 
[2024/8/20 14:0:17] 物品:强效金创药	怪物:0DB16420尸王8	地图:H201	X:122	Y:152 
[2024/8/20 14:0:17] 物品:强效金创药	怪物:0DB16420尸王8	地图:H201	X:122	Y:152 
[2024/8/20 14:0:17] 物品:强效魔法药	怪物:0DB16420尸王8	地图:H201	X:122	Y:152 
[2024/8/20 14:0:17] 物品:强效魔法药	怪物:0DB16420尸王8	地图:H201	X:122	Y:152 
[2024/8/20 14:0:17] 物品:蛇眼戒指	怪物:0DB16420尸王8	地图:H201	X:122	Y:152 
[2024/8/20 14:0:17] 物品:道德戒指	怪物:0DB16420尸王8	地图:H201	X:122	Y:152 
[2024/8/20 14:0:17] 物品:黑檀手镯	怪物:0DB16420尸王8	地图:H201	X:122	Y:152 
[2024/8/20 14:0:36] 物品:魔法药(中量)	怪物:307D53B0祖玛雕像8	地图:H204	X:89	Y:58 
[2024/8/20 14:0:36] 物品:降魔	怪物:307D53B0祖玛雕像8	地图:H204	X:89	Y:58 
[2024/8/20 14:0:42] 物品:白金项链	怪物:30099AE0祖玛卫士8	地图:H204	X:96	Y:52 
[2024/8/20 14:1:13] 物品:强效太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:强效太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:强效太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:强效太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:强效太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:强效太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:强效太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:强效太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:强效太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:强效太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:太阳水	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:强效金创药	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
[2024/8/20 14:1:13] 物品:强效金创药	怪物:1CB3F200祖玛卫士00	地图:H203	X:77	Y:17 
