[2024/8/20 15:0:3] 物品:金创药(小量)	怪物:1B029CF0僵尸3	地图:D401	X:128	Y:117 
[2024/8/20 15:0:7] 物品:强效金创药	怪物:27B548D0祖玛弓箭手	地图:H202	X:90	Y:22 
[2024/8/20 15:0:7] 物品:重盔甲(女)	怪物:27B548D0祖玛弓箭手	地图:H202	X:90	Y:22 
[2024/8/20 15:0:11] 物品:金创药(小量)	怪物:1B029CF0僵尸3	地图:D401	X:129	Y:118 
[2024/8/20 15:0:15] 物品:强效太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:太阳水	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:金创药(中量)	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:金创药(中量)	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:金创药(中量)	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效金创药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效金创药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效金创药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:魔法药(中量)	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:魔法药(中量)	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:魔法药(中量)	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效魔法药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效魔法药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效魔法药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效金创药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效金创药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效金创药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效金创药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效金创药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效金创药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效魔法药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效魔法药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效魔法药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效魔法药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效魔法药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:15] 物品:强效魔法药	怪物:19285040白野猪8	地图:H204	X:10	Y:55 
[2024/8/20 15:0:34] 物品:太阳水	怪物:2B5D7500祖玛弓箭手8	地图:H204	X:11	Y:53 
[2024/8/20 15:0:37] 物品:金创药(小量)	怪物:27C22210僵尸3	地图:D401	X:127	Y:114 
[2024/8/20 15:0:37] 物品:地狱火	怪物:27C22210僵尸3	地图:D401	X:127	Y:114 
[2024/8/20 15:0:43] 物品:强效太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:强效太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
[2024/8/20 15:0:43] 物品:太阳水	怪物:30DA8480白野猪8	地图:H204	X:76	Y:35 
