[2024/8/20 16:0:18] 物品:强效金创药	怪物:246345E0祖玛雕像8	地图:H204	X:79	Y:24 
[2024/8/20 16:0:46] 物品:强效太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:太阳水	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效金创药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效金创药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效金创药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效金创药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效金创药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效金创药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效金创药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效金创药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效金创药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效金创药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效魔法药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效魔法药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效魔法药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效魔法药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效魔法药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效魔法药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效魔法药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:46] 物品:强效魔法药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:强效魔法药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:强效魔法药	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:重盔甲(男)	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:魔法长袍(女)	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:偃月	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:破魂	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:降魔	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:斩马刀	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:修罗	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:凝霜	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:骷髅头盔	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:道士头盔	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:蓝翡翠项链	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:放大镜	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:竹笛	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:小手镯	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:魔法手镯	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:黑檀手镯	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:道士手镯	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:死神手套	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:金手镯	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:黑色水晶戒指	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:蛇眼戒指	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:珍珠戒指	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:金戒指	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:骷髅戒指	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:魅力戒指	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:道德戒指	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:降妖除魔戒指	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:47] 物品:魔法盾	怪物:2C72E9C0沃玛教主	地图:T119	X:25	Y:27 
[2024/8/20 16:0:51] 物品:金戒指	怪物:2F1EA8D0祖玛雕像8	地图:H204	X:89	Y:52 
[2024/8/20 16:0:58] 物品:金创药(中量)	怪物:1895C640祖玛卫士8	地图:H204	X:96	Y:52 
[2024/8/20 16:1:5] 物品:强效太阳水	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:强效太阳水	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:强效太阳水	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:强效太阳水	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:强效太阳水	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:强效太阳水	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:强效太阳水	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:强效太阳水	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:强效太阳水	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:强效太阳水	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:强效太阳水	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
[2024/8/20 16:1:5] 物品:强效太阳水	怪物:0DABEB90魔龙树妖	地图:H008	X:26	Y:42 
