[2024/8/20 18:0:0] 物品:修罗	怪物:290255A0祖玛雕像	地图:H204	X:23	Y:79 
[2024/8/20 18:0:0] 物品:道士手镯	怪物:290255A0祖玛雕像	地图:H204	X:23	Y:79 
[2024/8/20 18:0:0] 物品:魔法药(中量)	怪物:28967070祖玛卫士	地图:H204	X:23	Y:77 
[2024/8/20 18:0:2] 物品:蛇眼戒指	怪物:2DFD5040祖玛雕像	地图:H204	X:23	Y:78 
[2024/8/20 18:0:6] 物品:强效魔法药	怪物:063C72E0祖玛弓箭手	地图:H204	X:24	Y:80 
[2024/8/20 18:0:12] 物品:破魂	怪物:293386C0祖玛弓箭手	地图:H204	X:22	Y:81 
[2024/8/20 18:0:12] 物品:白色虎齿项链	怪物:293386C0祖玛弓箭手	地图:H204	X:22	Y:81 
[2024/8/20 18:0:14] 物品:道士手镯	怪物:051F99E0祖玛弓箭手	地图:H204	X:25	Y:77 
[2024/8/20 18:0:17] 物品:骷髅头盔	怪物:2E98BD60祖玛弓箭手	地图:H204	X:24	Y:77 
[2024/8/20 18:0:17] 物品:道士手镯	怪物:2E98BD60祖玛弓箭手	地图:H204	X:24	Y:77 
[2024/8/20 18:0:21] 物品:八荒	怪物:19EBD390祖玛弓箭手	地图:H204	X:21	Y:75 
[2024/8/20 18:0:48] 物品:强效太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:太阳水	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效金创药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效金创药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效金创药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效金创药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效金创药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效金创药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效金创药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效金创药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效金创药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效金创药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效魔法药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效魔法药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效魔法药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效魔法药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效魔法药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效魔法药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效魔法药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效魔法药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效魔法药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:强效魔法药	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:心灵手镯	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:白金项链	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:白色虎齿项链	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:48] 物品:蛇眼戒指	怪物:309523A0虹魔蝎卫8	地图:H204	X:21	Y:66 
[2024/8/20 18:0:54] 物品:魔法药(中量)	怪物:1CB155A0祖玛弓箭手8	地图:H204	X:13	Y:60 
[2024/8/20 18:1:11] 物品:八荒	怪物:290C4E70祖玛卫士8	地图:H204	X:44	Y:90 
[2024/8/20 18:1:22] 物品:强效太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:太阳水	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效金创药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效金创药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效金创药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效金创药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效金创药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效金创药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效金创药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效金创药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效金创药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效金创药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效魔法药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效魔法药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效魔法药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效魔法药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效魔法药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效魔法药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效魔法药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效魔法药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效魔法药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:强效魔法药	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:22] 物品:珍珠戒指	怪物:05CA4430虹魔蝎卫8	地图:H204	X:45	Y:90 
[2024/8/20 18:1:26] 物品:金创药(中量)	怪物:2FCE4D80祖玛弓箭手8	地图:H204	X:48	Y:94 
[2024/8/20 18:1:26] 物品:强效金创药	怪物:2FCE4D80祖玛弓箭手8	地图:H204	X:48	Y:94 
[2024/8/20 18:1:31] 物品:魔法药(中量)	怪物:2DE2EB70祖玛弓箭手8	地图:H204	X:55	Y:92 
[2024/8/20 18:1:56] 物品:强效太阳水	怪物:29566790祖玛弓箭手8	地图:H204	X:23	Y:38 
[2024/8/20 18:2:23] 物品:强效太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:强效太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:强效太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:强效太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:强效太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:太阳水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:金创药(中量)	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:金创药(中量)	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:强效金创药	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:强效金创药	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:强效金创药	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:魔法药(中量)	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:魔法药(中量)	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:强效魔法药	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:强效魔法药	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:强效魔法药	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:精神力药水	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:银蛇	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:幽灵项链	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:铂金戒指	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:道士头盔	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:金戒指	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:23] 物品:野蛮冲撞	怪物:2D402EC0沃玛卫士8	地图:H204	X:78	Y:76 
[2024/8/20 18:2:28] 物品:破魂	怪物:28AE9750祖玛卫士8	地图:H204	X:82	Y:83 
[2024/8/20 18:2:28] 物品:白色虎齿项链	怪物:28AE9750祖玛卫士8	地图:H204	X:82	Y:83 
[2024/8/20 18:2:31] 物品:道德戒指	怪物:27422790祖玛雕像8	地图:H204	X:81	Y:83 
[2024/8/20 18:2:47] 物品:强效太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:强效太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:强效太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:强效太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:强效太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:太阳水	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:金创药(中量)	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:金创药(中量)	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:强效金创药	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
[2024/8/20 18:2:47] 物品:强效金创药	怪物:2DCBB800沃玛卫士8	地图:H204	X:83	Y:64 
