[2024/8/20 20:0:1] 物品:治愈术	怪物:1C832FD0僵尸1	地图:H201	X:84	Y:79 
[2024/8/20 20:0:3] 物品:太阳水	怪物:1B8AC9F0僵尸3	地图:D401	X:141	Y:96 
[2024/8/20 20:0:6] 物品:魔法药(小量)	怪物:1B7AF5B0僵尸5	地图:H201	X:77	Y:80 
[2024/8/20 20:0:7] 物品:强效太阳水	怪物:2A5CDB60尸王8	地图:H201	X:78	Y:81 
[2024/8/20 20:0:7] 物品:强效太阳水	怪物:2A5CDB60尸王8	地图:H201	X:78	Y:81 
[2024/8/20 20:0:7] 物品:强效太阳水	怪物:2A5CDB60尸王8	地图:H201	X:78	Y:81 
[2024/8/20 20:0:7] 物品:强效太阳水	怪物:2A5CDB60尸王8	地图:H201	X:78	Y:81 
[2024/8/20 20:0:7] 物品:强效太阳水	怪物:2A5CDB60尸王8	地图:H201	X:78	Y:81 
[2024/8/20 20:0:7] 物品:强效金创药	怪物:2A5CDB60尸王8	地图:H201	X:78	Y:81 
[2024/8/20 20:0:7] 物品:强效金创药	怪物:2A5CDB60尸王8	地图:H201	X:78	Y:81 
[2024/8/20 20:0:7] 物品:强效魔法药	怪物:2A5CDB60尸王8	地图:H201	X:78	Y:81 
[2024/8/20 20:0:7] 物品:强效魔法药	怪物:2A5CDB60尸王8	地图:H201	X:78	Y:81 
[2024/8/20 20:0:7] 物品:魔力手镯	怪物:2A5CDB60尸王8	地图:H201	X:78	Y:81 
[2024/8/20 20:0:7] 物品:召唤神兽	怪物:2A5CDB60尸王8	地图:H201	X:78	Y:81 
[2024/8/20 20:0:9] 物品:金创药(小量)	怪物:2E05CFE0僵尸3	地图:D401	X:142	Y:95 
[2024/8/20 20:0:11] 物品:诱惑之光	怪物:1B8C1540恶灵尸王	地图:H201	X:76	Y:80 
[2024/8/20 20:0:11] 物品:召唤骷髅	怪物:1B8C1540恶灵尸王	地图:H201	X:76	Y:80 
[2024/8/20 20:0:16] 物品:金创药(小量)	怪物:29154B60僵尸4	地图:H201	X:73	Y:80 
[2024/8/20 20:0:23] 物品:灵魂火符	怪物:1E1B9500僵尸1	地图:H201	X:77	Y:72 
[2024/8/20 20:0:25] 物品:强效太阳水	怪物:2496CA80恶灵尸王	地图:H201	X:79	Y:74 
[2024/8/20 20:0:25] 物品:幽灵盾	怪物:2496CA80恶灵尸王	地图:H201	X:79	Y:74 
[2024/8/20 20:0:25] 物品:大火球	怪物:2496CA80恶灵尸王	地图:H201	X:79	Y:74 
[2024/8/20 20:0:25] 物品:瞬息移动	怪物:2496CA80恶灵尸王	地图:H201	X:79	Y:74 
[2024/8/20 20:0:33] 物品:金创药(小量)	怪物:1B7AF5B0僵尸5	地图:H201	X:75	Y:78 
[2024/8/20 20:0:33] 物品:瞬息移动	怪物:1B7AF5B0僵尸5	地图:H201	X:75	Y:78 
[2024/8/20 20:0:34] 物品:金创药(小量)	怪物:31E76F00僵尸5	地图:H201	X:81	Y:77 
[2024/8/20 20:0:36] 物品:魔法药(小量)	怪物:2CD06CB0僵尸5	地图:H201	X:70	Y:77 
[2024/8/20 20:0:39] 物品:金创药(小量)	怪物:0D497190僵尸4	地图:H201	X:76	Y:81 
[2024/8/20 20:0:49] 物品:金创药(小量)	怪物:1EFF9100僵尸4	地图:H201	X:88	Y:84 
[2024/8/20 20:0:49] 物品:魔法药(小量)	怪物:1EFF9100僵尸4	地图:H201	X:88	Y:84 
[2024/8/20 20:0:49] 物品:金创药(小量)	怪物:2A4CD680僵尸5	地图:H201	X:90	Y:83 
[2024/8/20 20:0:53] 物品:魔法药(小量)	怪物:2A6E1600僵尸4	地图:H201	X:88	Y:89 
[2024/8/20 20:0:53] 物品:集体隐身术	怪物:2A6E1600僵尸4	地图:H201	X:88	Y:89 
[2024/8/20 20:0:53] 物品:魔法药(小量)	怪物:27CFE790僵尸5	地图:H201	X:87	Y:92 
[2024/8/20 20:0:54] 物品:太阳水	怪物:21EE6F00僵尸5	地图:H201	X:90	Y:85 
