[2024/8/20 23:0:52] 物品:金创药(中量)	怪物:23A41B70祖玛弓箭手8	地图:H204	X:76	Y:21 
[2024/8/20 23:1:9] 物品:强效太阳水	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:强效太阳水	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:强效太阳水	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:强效太阳水	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:疗伤药	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:疗伤药	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:疗伤药	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:疗伤药	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:太阳水	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:太阳水	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:太阳水	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:太阳水	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:太阳水	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:太阳水	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:太阳水	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:强效金创药	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:强效金创药	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:强效魔法药	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:强效魔法药	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:强效金创药	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:强效金创药	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:强效魔法药	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:强效魔法药	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:躲避手链	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:灵魂战衣(男)	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:灵魂战衣(女)	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:偃月	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:破魂	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:降魔	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:斩马刀	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:修罗	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
[2024/8/20 23:1:9] 物品:骷髅头盔	怪物:23ABBA20牛魔王8	地图:H204	X:79	Y:21 
