[2024/8/20 3:0:0] 物品:白金项链	怪物:281FB9B0祖玛弓箭手8	地图:H204	X:20	Y:20 
[2024/8/20 3:0:6] 物品:强效太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:太阳水	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:金创药(中量)	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:金创药(中量)	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:金创药(中量)	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效金创药	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效金创药	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效金创药	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:魔法药(中量)	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:魔法药(中量)	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:魔法药(中量)	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效魔法药	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效魔法药	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效魔法药	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
[2024/8/20 3:0:6] 物品:强效金创药	怪物:284BB4D0白野猪8	地图:H204	X:21	Y:20 
