[2024/8/20 4:0:5] 物品:强效太阳水	怪物:19CF9500魔龙射手	地图:66	X:34	Y:49 
[2024/8/20 4:0:7] 物品:强效太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:太阳水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效金创药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效金创药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效金创药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效金创药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效金创药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效金创药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效金创药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效金创药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效金创药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效金创药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效魔法药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效魔法药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效魔法药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效魔法药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效魔法药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效魔法药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效魔法药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效魔法药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效魔法药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:强效魔法药	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:7] 物品:精神力药水	怪物:27C60150邪恶毒蛇	地图:D717	X:48	Y:35 
[2024/8/20 4:0:10] 物品:太阳水	怪物:29B2D870魔龙射手	地图:66	X:33	Y:42 
[2024/8/20 4:0:43] 物品:强效金创药	怪物:2834ADC0魔龙破甲兵	地图:66	X:31	Y:41 
[2024/8/20 4:0:43] 物品:死神手套	怪物:2834ADC0魔龙破甲兵	地图:66	X:31	Y:41 
[2024/8/20 4:0:44] 物品:强效金创药	怪物:0582C040魔龙邪眼1	地图:66	X:33	Y:43 
[2024/8/20 4:0:44] 物品:道士头盔	怪物:0582C040魔龙邪眼1	地图:66	X:33	Y:43 
[2024/8/20 4:1:5] 物品:死神手套	怪物:19C41290魔龙血蛙	地图:66	X:32	Y:43 
[2024/8/20 4:1:30] 物品:强效金创药	怪物:3078B190魔龙射手	地图:66	X:34	Y:43 
[2024/8/20 4:1:30] 物品:黑铁头盔	怪物:3078B190魔龙射手	地图:66	X:34	Y:43 
[2024/8/20 4:1:38] 物品:凝霜	怪物:30B74E40魔龙射手	地图:66	X:33	Y:48 
[2024/8/20 4:1:44] 物品:降魔	怪物:1ECA2F00魔龙射手	地图:66	X:34	Y:49 
[2024/8/20 4:1:49] 物品:布鞋	怪物:1840D710魔龙邪眼	地图:66	X:35	Y:48 
[2024/8/20 4:1:57] 物品:降妖除魔戒指	怪物:0DCE2210魔龙射手	地图:66	X:33	Y:47 
[2024/8/20 4:2:14] 物品:强效魔法药	怪物:293BE420魔龙射手	地图:66	X:36	Y:50 
[2024/8/20 4:2:19] 物品:强效金创药	怪物:24A93CA0魔龙射手	地图:66	X:35	Y:50 
[2024/8/20 4:2:19] 物品:强效金创药	怪物:24A93CA0魔龙射手	地图:66	X:35	Y:50 
[2024/8/20 4:2:19] 物品:布鞋	怪物:24A93CA0魔龙射手	地图:66	X:35	Y:50 
[2024/8/20 4:2:28] 物品:强效太阳水	怪物:2C7FFC40白野猪0	地图:D717	X:61	Y:52 
[2024/8/20 4:2:28] 物品:强效太阳水	怪物:2C7FFC40白野猪0	地图:D717	X:61	Y:52 
[2024/8/20 4:2:28] 物品:太阳水	怪物:2C7FFC40白野猪0	地图:D717	X:61	Y:52 
[2024/8/20 4:2:31] 物品:太阳水	怪物:20A63840黑色恶蛆	地图:D717	X:60	Y:51 
[2024/8/20 4:2:36] 物品:太阳水	怪物:2E102FB0魔龙射手1	地图:66	X:41	Y:43 
[2024/8/20 4:3:3] 物品:强效魔法药	怪物:1F98E9C0魔龙破甲兵	地图:66	X:43	Y:36 
[2024/8/20 4:3:10] 物品:魔法药(中量)	怪物:1BA13B70红野猪	地图:D717	X:55	Y:46 
[2024/8/20 4:3:31] 物品:坚固手套	怪物:2DF864A0魔龙血蛙	地图:66	X:59	Y:53 
[2024/8/20 4:3:42] 物品:强效魔法药	怪物:28C49160魔龙刀兵1	地图:66	X:65	Y:58 
[2024/8/20 4:3:46] 物品:太阳水	怪物:2DD65A80黑色恶蛆	地图:D717	X:50	Y:49 
[2024/8/20 4:3:47] 物品:黄色水晶项链	怪物:206E82E0黑色恶蛆	地图:D717	X:50	Y:48 
[2024/8/20 4:3:54] 物品:太阳水	怪物:1EF4E6B0魔龙射手2	地图:66	X:63	Y:63 
[2024/8/20 4:4:13] 物品:强效魔法药	怪物:2F091AB0魔龙刀兵	地图:66	X:58	Y:65 
[2024/8/20 4:4:32] 物品:魔法药(中量)	怪物:17BD4ED0红野猪	地图:D717	X:48	Y:56 
[2024/8/20 4:4:40] 物品:太阳水	怪物:2DF5CB00魔龙破甲兵	地图:66	X:64	Y:70 
[2024/8/20 4:4:57] 物品:强效金创药	怪物:270389B0魔龙射手	地图:66	X:57	Y:71 
[2024/8/20 4:5:16] 物品:鹿皮靴	怪物:1B74B610魔龙射手1	地图:66	X:50	Y:66 
[2024/8/20 4:5:24] 物品:强效金创药	怪物:282E83B0魔龙射手	地图:66	X:47	Y:64 
[2024/8/20 4:5:32] 物品:强效魔法药	怪物:295E4930魔龙破甲兵	地图:66	X:46	Y:62 
[2024/8/20 4:5:32] 物品:太阳水	怪物:295E4930魔龙破甲兵	地图:66	X:46	Y:62 
[2024/8/20 4:5:32] 物品:太阳水	怪物:295E4930魔龙破甲兵	地图:66	X:46	Y:62 
[2024/8/20 4:5:32] 物品:凝霜	怪物:295E4930魔龙破甲兵	地图:66	X:46	Y:62 
[2024/8/20 4:5:43] 物品:强效金创药	怪物:237C3D20魔龙刀兵1	地图:66	X:47	Y:64 
[2024/8/20 4:5:55] 物品:金创药(中量)	怪物:1B029CF0红野猪	地图:D717	X:44	Y:60 
[2024/8/20 4:6:1] 物品:魔法长袍(女)	怪物:295EE480魔龙射手	地图:66	X:46	Y:66 
[2024/8/20 4:6:4] 物品:回城卷	怪物:2A8B03F0蝙蝠	地图:D717	X:41	Y:59 
[2024/8/20 4:6:24] 物品:放大镜	怪物:31AB55D0祖玛卫士8	地图:H204	X:31	Y:69 
[2024/8/20 4:6:25] 物品:强效金创药	怪物:30D23860魔龙破甲兵	地图:66	X:44	Y:66 
[2024/8/20 4:6:25] 物品:太阳水	怪物:30D23860魔龙破甲兵	地图:66	X:44	Y:66 
[2024/8/20 4:6:25] 物品:放大镜	怪物:30D23860魔龙破甲兵	地图:66	X:44	Y:66 
[2024/8/20 4:6:28] 物品:太阳水	怪物:0D807150祖玛雕像8	地图:H204	X:66	Y:65 
[2024/8/20 4:6:29] 物品:强效太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:强效太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:强效太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:强效太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:强效太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:太阳水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:金创药(中量)	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:金创药(中量)	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:强效金创药	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:强效金创药	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:强效金创药	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:魔法药(中量)	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:魔法药(中量)	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:强效魔法药	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:强效魔法药	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:强效魔法药	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:攻击神水	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:躲避手链	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:魔鬼项链	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:小手镯	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:29] 物品:黑色水晶戒指	怪物:2A4C5160沃玛卫士8	地图:H204	X:24	Y:80 
[2024/8/20 4:6:31] 物品:太阳水	怪物:2A05B320魔龙射手	地图:66	X:47	Y:68 
[2024/8/20 4:6:31] 物品:死神手套	怪物:2A05B320魔龙射手	地图:66	X:47	Y:68 
[2024/8/20 4:6:31] 物品:灵魂战衣(女)	怪物:2A05B320魔龙射手	地图:66	X:47	Y:68 
[2024/8/20 4:6:36] 物品:强效太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:强效太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:强效太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:强效太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:强效太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:强效太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:强效太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:强效太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:强效太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:强效太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
[2024/8/20 4:6:36] 物品:太阳水	怪物:1E0E17D0白野猪8	地图:H204	X:62	Y:62 
