[2024/8/20 5:0:0] 物品:重盔甲(女)	怪物:1C32EEC0魔龙破甲兵	地图:66	X:68	Y:238 
[2024/8/20 5:0:13] 物品:强效金创药	怪物:28D2CCD0魔龙射手2	地图:66	X:71	Y:231 
[2024/8/20 5:0:16] 物品:强效太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:强效太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:强效太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:强效太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:强效太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:太阳水	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:金创药(中量)	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:金创药(中量)	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:强效金创药	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:强效金创药	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:强效金创药	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:魔法药(中量)	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:魔法药(中量)	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:强效魔法药	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:强效魔法药	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:强效魔法药	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:凤凰明珠	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:道德戒指	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:16] 物品:诱惑之光	怪物:188DD390沃玛卫士8	地图:H003	X:45	Y:86 
[2024/8/20 5:0:20] 物品:强效金创药	怪物:1C4B1200魔龙刀兵2	地图:66	X:71	Y:232 
[2024/8/20 5:0:32] 物品:太阳水	怪物:1EC286C0魔龙破甲兵	地图:66	X:70	Y:226 
[2024/8/20 5:0:32] 物品:强效金创药	怪物:1EC286C0魔龙破甲兵	地图:66	X:70	Y:226 
[2024/8/20 5:0:45] 物品:蓝翡翠项链	怪物:1A6D9C70魔龙血蛙	地图:66	X:69	Y:226 
[2024/8/20 5:0:49] 物品:强效太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:强效太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:强效太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:强效太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:强效太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:太阳水	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:金创药(中量)	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:金创药(中量)	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:强效金创药	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:强效金创药	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:强效金创药	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:魔法药(中量)	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:魔法药(中量)	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:强效魔法药	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:强效魔法药	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:强效魔法药	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
[2024/8/20 5:0:49] 物品:半月	怪物:2B4E0D90沃玛卫士8	地图:H003	X:74	Y:71 
