[2024/8/20 9:0:1] 物品:海魂	怪物:18800A80祖玛卫士8	地图:H204	X:36	Y:23 
[2024/8/20 9:0:3] 物品:魔法药(小量)	怪物:2B9D89F0僵尸4	地图:H201	X:180	Y:88 
[2024/8/20 9:0:9] 物品:灵魂火符	怪物:2B3B2E00恶灵尸王	地图:H201	X:172	Y:74 
[2024/8/20 9:0:9] 物品:大火球	怪物:2B3B2E00恶灵尸王	地图:H201	X:172	Y:74 
[2024/8/20 9:0:9] 物品:金创药(中量)	怪物:29E8AE60祖玛雕像8	地图:H204	X:42	Y:17 
[2024/8/20 9:0:11] 物品:强效太阳水	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:强效太阳水	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:强效太阳水	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:强效太阳水	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:强效太阳水	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:强效金创药	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:强效金创药	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:强效魔法药	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:强效魔法药	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:黑色水晶戒指	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:蛇眼戒指	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:珍珠戒指	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:道德戒指	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:黑檀手镯	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:11] 物品:魔力手镯	怪物:1BDD6650尸王8	地图:H201	X:172	Y:73 
[2024/8/20 9:0:14] 物品:金创药(小量)	怪物:2CAF3EF0僵尸5	地图:H201	X:170	Y:74 
[2024/8/20 9:0:15] 物品:魔法药(小量)	怪物:1F17FBC0僵尸4	地图:H201	X:171	Y:73 
[2024/8/20 9:0:18] 物品:太阳水	怪物:31F3DE20僵尸5	地图:H201	X:173	Y:74 
[2024/8/20 9:0:18] 物品:金创药(小量)	怪物:302CD6C0僵尸5	地图:H201	X:170	Y:74 
[2024/8/20 9:0:19] 物品:金创药(小量)	怪物:1BF2B320僵尸4	地图:H201	X:171	Y:73 
[2024/8/20 9:0:19] 物品:魔法药(小量)	怪物:1BF2B320僵尸4	地图:H201	X:171	Y:73 
[2024/8/20 9:0:21] 物品:金创药(小量)	怪物:1BF217D0僵尸4	地图:H201	X:169	Y:74 
[2024/8/20 9:0:22] 物品:金创药(小量)	怪物:19FEF5B0僵尸5	地图:H201	X:170	Y:73 
[2024/8/20 9:0:29] 物品:太阳水	怪物:2D541C30恶灵尸王	地图:H201	X:167	Y:69 
[2024/8/20 9:0:29] 物品:爆裂火焰	怪物:2D541C30恶灵尸王	地图:H201	X:167	Y:69 
[2024/8/20 9:0:29] 物品:集体隐身术	怪物:2D541C30恶灵尸王	地图:H201	X:167	Y:69 
[2024/8/20 9:0:29] 物品:雷电术	怪物:2D541C30恶灵尸王	地图:H201	X:167	Y:69 
[2024/8/20 9:0:29] 物品:诱惑之光	怪物:2D541C30恶灵尸王	地图:H201	X:167	Y:69 
[2024/8/20 9:0:29] 物品:地狱火	怪物:2D541C30恶灵尸王	地图:H201	X:167	Y:69 
[2024/8/20 9:0:29] 物品:大火球	怪物:2D541C30恶灵尸王	地图:H201	X:167	Y:69 
[2024/8/20 9:0:29] 物品:瞬息移动	怪物:2D541C30恶灵尸王	地图:H201	X:167	Y:69 
[2024/8/20 9:0:31] 物品:金创药(小量)	怪物:03423840僵尸4	地图:H201	X:166	Y:69 
[2024/8/20 9:0:31] 物品:魔法力药水	怪物:03423840僵尸4	地图:H201	X:166	Y:69 
[2024/8/20 9:0:32] 物品:雷电术	怪物:0620FD80僵尸1	地图:H201	X:167	Y:68 
[2024/8/20 9:0:35] 物品:金创药(小量)	怪物:2F33EB90僵尸4	地图:H201	X:170	Y:69 
[2024/8/20 9:0:36] 物品:强效太阳水	怪物:2051A900尸王8	地图:H201	X:166	Y:69 
[2024/8/20 9:0:36] 物品:强效太阳水	怪物:2051A900尸王8	地图:H201	X:166	Y:69 
[2024/8/20 9:0:36] 物品:强效太阳水	怪物:2051A900尸王8	地图:H201	X:166	Y:69 
[2024/8/20 9:0:36] 物品:强效太阳水	怪物:2051A900尸王8	地图:H201	X:166	Y:69 
[2024/8/20 9:0:36] 物品:强效太阳水	怪物:2051A900尸王8	地图:H201	X:166	Y:69 
[2024/8/20 9:0:36] 物品:强效金创药	怪物:2051A900尸王8	地图:H201	X:166	Y:69 
[2024/8/20 9:0:36] 物品:强效金创药	怪物:2051A900尸王8	地图:H201	X:166	Y:69 
[2024/8/20 9:0:36] 物品:强效魔法药	怪物:2051A900尸王8	地图:H201	X:166	Y:69 
[2024/8/20 9:0:36] 物品:强效魔法药	怪物:2051A900尸王8	地图:H201	X:166	Y:69 
