[2024/8/21 0:0:0] 物品:魔法药(小量)	怪物:2334F420僵尸5	地图:H201	X:77	Y:73 
[2024/8/21 0:0:1] 物品:强效太阳水	怪物:2AB30120牛魔祭司0	地图:H010	X:322	Y:281 
[2024/8/21 0:0:1] 物品:太阳水	怪物:2AB30120牛魔祭司0	地图:H010	X:322	Y:281 
[2024/8/21 0:0:1] 物品:太阳水	怪物:2AB30120牛魔祭司0	地图:H010	X:322	Y:281 
[2024/8/21 0:0:1] 物品:太阳水	怪物:2AB30120牛魔祭司0	地图:H010	X:322	Y:281 
[2024/8/21 0:0:1] 物品:灵魂战衣(女)	怪物:2AB30120牛魔祭司0	地图:H010	X:322	Y:281 
[2024/8/21 0:0:4] 物品:强效太阳水	怪物:25E85A60牛魔将军8	地图:H010	X:326	Y:282 
[2024/8/21 0:0:9] 物品:太阳水	怪物:291A8690魔龙射手2	地图:66	X:50	Y:251 
[2024/8/21 0:0:12] 物品:强效太阳水	怪物:257494B0牛魔祭司0	地图:H010	X:329	Y:281 
[2024/8/21 0:0:12] 物品:强效太阳水	怪物:257494B0牛魔祭司0	地图:H010	X:329	Y:281 
[2024/8/21 0:0:12] 物品:强效太阳水	怪物:257494B0牛魔祭司0	地图:H010	X:329	Y:281 
[2024/8/21 0:0:12] 物品:太阳水	怪物:257494B0牛魔祭司0	地图:H010	X:329	Y:281 
[2024/8/21 0:0:12] 物品:太阳水	怪物:257494B0牛魔祭司0	地图:H010	X:329	Y:281 
[2024/8/21 0:0:12] 物品:红宝石戒指	怪物:257494B0牛魔祭司0	地图:H010	X:329	Y:281 
[2024/8/21 0:0:12] 物品:降魔	怪物:257494B0牛魔祭司0	地图:H010	X:329	Y:281 
[2024/8/21 0:0:12] 物品:白金项链	怪物:257494B0牛魔祭司0	地图:H010	X:329	Y:281 
[2024/8/21 0:0:12] 物品:魔法手镯	怪物:257494B0牛魔祭司0	地图:H010	X:329	Y:281 
[2024/8/21 0:0:14] 物品:道士手镯	怪物:2BE14BB0牛魔侍卫8	地图:H010	X:330	Y:281 
[2024/8/21 0:0:18] 物品:金创药(小量)	怪物:233D4980僵尸4	地图:H201	X:97	Y:55 
[2024/8/21 0:0:18] 物品:魔法药(小量)	怪物:233D4980僵尸4	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:强效太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:强效太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:强效太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:强效太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:强效太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:太阳水	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:金创药(中量)	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:金创药(中量)	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:金创药(中量)	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:强效金创药	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:强效金创药	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:魔法药(中量)	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:魔法药(中量)	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:魔法药(中量)	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:强效魔法药	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:强效魔法药	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:魅力戒指	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:蓝色水晶戒指	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:神圣战甲术	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:诱惑之光	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:地狱火	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:大火球	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:抗拒火环	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:精神力战法	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:治愈术	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:基本剑术	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:20] 物品:火球术	怪物:23531260尸王	地图:H201	X:97	Y:55 
[2024/8/21 0:0:23] 物品:太阳水	怪物:25E2A380牛魔将军8	地图:H010	X:331	Y:285 
[2024/8/21 0:0:23] 物品:HP强化药水	怪物:25E2A380牛魔将军8	地图:H010	X:331	Y:285 
[2024/8/21 0:0:25] 物品:强效太阳水	怪物:2B669070牛魔将军8	地图:H010	X:331	Y:287 
[2024/8/21 0:0:25] 物品:太阳水	怪物:2B669070牛魔将军8	地图:H010	X:331	Y:287 
[2024/8/21 0:0:25] 物品:强效金创药	怪物:2B669070牛魔将军8	地图:H010	X:331	Y:287 
[2024/8/21 0:0:25] 物品:小手镯	怪物:2B669070牛魔将军8	地图:H010	X:331	Y:287 
[2024/8/21 0:0:26] 物品:强效太阳水	怪物:258A00F0牛魔将军0	地图:H010	X:332	Y:286 
[2024/8/21 0:0:26] 物品:强效太阳水	怪物:258A00F0牛魔将军0	地图:H010	X:332	Y:286 
[2024/8/21 0:0:26] 物品:强效太阳水	怪物:258A00F0牛魔将军0	地图:H010	X:332	Y:286 
[2024/8/21 0:0:26] 物品:太阳水	怪物:258A00F0牛魔将军0	地图:H010	X:332	Y:286 
[2024/8/21 0:0:26] 物品:太阳水	怪物:258A00F0牛魔将军0	地图:H010	X:332	Y:286 
[2024/8/21 0:0:26] 物品:三眼手镯	怪物:258A00F0牛魔将军0	地图:H010	X:332	Y:286 
[2024/8/21 0:0:26] 物品:躲避手链	怪物:258A00F0牛魔将军0	地图:H010	X:332	Y:286 
[2024/8/21 0:0:35] 物品:强效太阳水	怪物:257E7F30牛魔祭司0	地图:H010	X:337	Y:295 
[2024/8/21 0:0:35] 物品:强效太阳水	怪物:257E7F30牛魔祭司0	地图:H010	X:337	Y:295 
[2024/8/21 0:0:35] 物品:强效太阳水	怪物:257E7F30牛魔祭司0	地图:H010	X:337	Y:295 
[2024/8/21 0:0:35] 物品:太阳水	怪物:257E7F30牛魔祭司0	地图:H010	X:337	Y:295 
[2024/8/21 0:0:35] 物品:太阳水	怪物:257E7F30牛魔祭司0	地图:H010	X:337	Y:295 
[2024/8/21 0:0:35] 物品:记忆项链	怪物:257E7F30牛魔祭司0	地图:H010	X:337	Y:295 
[2024/8/21 0:0:35] 物品:黑檀手镯	怪物:257E7F30牛魔祭司0	地图:H010	X:337	Y:295 
[2024/8/21 0:0:35] 物品:黑色水晶戒指	怪物:257E7F30牛魔祭司0	地图:H010	X:337	Y:295 
[2024/8/21 0:0:35] 物品:降妖除魔戒指	怪物:257E7F30牛魔祭司0	地图:H010	X:337	Y:295 
[2024/8/21 0:0:36] 物品:金创药(小量)	怪物:25041C20僵尸4	地图:H201	X:109	Y:79 
[2024/8/21 0:0:42] 物品:太阳水	怪物:2B66FF60牛魔将军8	地图:H010	X:345	Y:295 
[2024/8/21 0:0:42] 物品:强效魔法药	怪物:2B66FF60牛魔将军8	地图:H010	X:345	Y:295 
[2024/8/21 0:0:42] 物品:强效金创药	怪物:2B66FF60牛魔将军8	地图:H010	X:345	Y:295 
[2024/8/21 0:0:42] 物品:精神力战法	怪物:2A8885C0僵尸4	地图:H201	X:101	Y:87 
[2024/8/21 0:0:44] 物品:太阳水	怪物:24481410僵尸5	地图:H201	X:100	Y:88 
[2024/8/21 0:0:46] 物品:重盔甲(女)	怪物:28D70D10祖玛卫士8	地图:H204	X:44	Y:44 
[2024/8/21 0:0:46] 物品:生铁戒指	怪物:28D70D10祖玛卫士8	地图:H204	X:44	Y:44 
[2024/8/21 0:0:47] 物品:强效金创药	怪物:23436DF0魔龙刀兵	地图:66	X:60	Y:254 
[2024/8/21 0:0:49] 物品:强效魔法药	怪物:25E28D50牛魔将军8	地图:H010	X:347	Y:299 
[2024/8/21 0:0:49] 物品:幽灵项链	怪物:25E28D50牛魔将军8	地图:H010	X:347	Y:299 
[2024/8/21 0:0:53] 物品:放大镜	怪物:28DF7C90祖玛卫士8	地图:H204	X:49	Y:52 
[2024/8/21 0:1:0] 物品:魔法药(小量)	怪物:24254160僵尸5	地图:H201	X:101	Y:106 
[2024/8/21 0:1:0] 物品:强效太阳水	怪物:2AC73840牛魔祭司8	地图:H010	X:351	Y:306 
[2024/8/21 0:1:0] 物品:强效太阳水	怪物:2AC73840牛魔祭司8	地图:H010	X:351	Y:306 
[2024/8/21 0:1:0] 物品:强效金创药	怪物:2AC73840牛魔祭司8	地图:H010	X:351	Y:306 
