[2024/8/21 17:0:1] 物品:灵魂战衣(男)	怪物:239AA2D0祖玛卫士83	地图:H008	X:38	Y:30 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:太阳水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效金创药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效金创药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效金创药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效金创药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效金创药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效金创药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效金创药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效金创药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效金创药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效金创药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效魔法药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效魔法药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效魔法药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效魔法药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效魔法药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效魔法药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效魔法药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效魔法药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效魔法药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效魔法药	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:攻击力药水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:攻击神水	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:魔法长袍(女)	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:灵魂战衣(女)	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:偃月	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:破魂	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:降魔	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:斩马刀	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:修罗	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:骷髅头盔	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:道士头盔	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:蓝翡翠项链	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:放大镜	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:竹笛	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:小手镯	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:魔法手镯	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:黑檀手镯	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:道士手镯	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:死神手套	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:金手镯	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:黑色水晶戒指	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:蛇眼戒指	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:珍珠戒指	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:金戒指	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:骷髅戒指	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:魅力戒指	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:道德戒指	怪物:18411E60沃玛教主	地图:H204	X:72	Y:73 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:25847090虹魔蝎卫80	地图:H008	X:42	Y:30 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:25847090虹魔蝎卫80	地图:H008	X:42	Y:30 
[2024/8/21 17:0:3] 物品:强效太阳水	怪物:25847090虹魔蝎卫80	地图:H008	X:42	Y:30 
[2024/8/21 17:0:3] 物品:幽灵战衣(女)	怪物:25847090虹魔蝎卫80	地图:H008	X:42	Y:30 
[2024/8/21 17:0:6] 物品:强效魔法药	怪物:2ABC1050魔龙射手	地图:66	X:187	Y:209 
[2024/8/21 17:0:6] 物品:重盔甲(男)	怪物:22D058D0祖玛弓箭手8	地图:H204	X:77	Y:69 
[2024/8/21 17:0:7] 物品:小手镯	怪物:239A1DB0祖玛卫士83	地图:H008	X:39	Y:29 
[2024/8/21 17:0:7] 物品:强效金创药	怪物:188F1DC0魔龙射手	地图:66	X:89	Y:116 
[2024/8/21 17:0:12] 物品:红宝石戒指	怪物:2C8D3660祖玛卫士83	地图:H008	X:39	Y:29 
[2024/8/21 17:0:13] 物品:强效太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:强效太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:强效太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:强效太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:强效太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:太阳水	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:金创药(中量)	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:金创药(中量)	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:强效金创药	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:强效金创药	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:强效金创药	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:魔法药(中量)	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:魔法药(中量)	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:强效魔法药	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:强效魔法药	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:强效魔法药	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:龙之戒指	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:13] 物品:隐身术	怪物:11F33000沃玛卫士8	地图:H204	X:82	Y:81 
[2024/8/21 17:0:17] 物品:强效金创药	怪物:2A460AF0魔龙射手	地图:66	X:183	Y:218 
[2024/8/21 17:0:17] 物品:强效魔法药	怪物:2A460AF0魔龙射手	地图:66	X:183	Y:218 
[2024/8/21 17:0:17] 物品:竹笛	怪物:2A460AF0魔龙射手	地图:66	X:183	Y:218 
[2024/8/21 17:0:23] 物品:强效金创药	怪物:2472B250魔龙刀兵1	地图:66	X:182	Y:217 
[2024/8/21 17:0:23] 物品:金创药(小量)	怪物:10115C60僵尸3	地图:D401	X:48	Y:88 
[2024/8/21 17:0:25] 物品:回城卷	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:回城卷	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:回城卷	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:回城卷	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:回城卷	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:回城卷	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
[2024/8/21 17:0:25] 物品:强效太阳水	怪物:28089F20重装使者	地图:H204	X:82	Y:81 
